,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OUAA,1SGCA,Crystal Structure Of Nocardiopsis Protease (Napase),1.4,178,181,44.4
1,2QA9E,1SGCA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,0.9,174,181,65.5
2,2H5CA,1SGCA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.1,172,181,36.0
3,5HMAA,1SGCA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,152,181,15.8
4,1ARBA,1SGCA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.0,150,181,17.3
5,2Z9IA,1SGCA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.1,148,181,25.7
6,3K6YA,1SGCA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,144,181,17.4
7,1AZZA,1SGCA,Fiddler Crab Collagenase Complexed To Ecotin,2.1,141,181,24.8
8,3LGIB,1SGCA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.2,141,181,15.6
9,3CP7A,1SGCA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,2.6,139,181,21.6
10,3H7OA,1SGCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.4,139,181,21.6
11,4FXGH,1SGCA,Complement C4 In Complex With Masp-2,2.3,139,181,18.7
12,1TE0A,1SGCA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.3,137,181,16.1
13,3TVJB,1SGCA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.4,137,181,19.7
14,1L1JA,1SGCA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,1.9,136,181,19.9
15,2AIQA,1SGCA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.4,136,181,20.6
16,1VZQH,1SGCA,Complex Of Thrombin With Designed Inhibitor 7165,2.5,135,181,20.0
17,4FLNA,1SGCA,Crystal Structure Of Plant Protease Deg2,2.0,135,181,17.8
18,1DDJA,1SGCA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.6,134,181,20.1
19,1EQ9A,1SGCA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.2,134,181,23.1
20,1GVKB,1SGCA,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.5,133,181,18.0
21,5HM2C,1SGCA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,133,181,15.0
22,2OQ5A,1SGCA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.1,132,181,19.7
23,2XW9A,1SGCA,Crystal Structure Of Complement Factor D Mutant S183a,2.6,132,181,16.7
24,1M9UA,1SGCA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.1,131,181,22.9
25,2IPHA,1SGCA,X-Ray Structure At 1.75 A Resolution Of A Norovirus Protease Linked To An Active Site Directed Peptide Inhibitor,2.9,131,181,10.7
26,3H7TA,1SGCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.1,131,181,16.8
27,2WV5D,1SGCA,Crystal Structure Of Foot-And-Mouth Disease Virus 3c Protease In Complex With A Decameric Peptide Corresponding To The Vp1-2a Cleavage Junction With A Gln To Glu Substitution At P1,2.4,131,181,16.0
28,4I8HA,1SGCA,Bovine Trypsin At 0.75 Resolution,2.1,131,181,21.4
29,4CR9A,1SGCA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.4,131,181,19.8
30,4CREA,1SGCA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.3,131,181,19.8
31,5BPEA,1SGCA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.4,131,181,13.7
32,5HU6C,1SGCA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.2,131,181,15.3
33,1PQAA,1SGCA,Trypsin With Pmsf At Atomic Resolution,2.2,130,181,22.3
34,1P3CA,1SGCA,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,130,181,23.8
35,2QXIA,1SGCA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.2,130,181,23.8
36,3TJNB,1SGCA,"Htra1 Catalytic Domain, Apo Form",1.8,130,181,18.5
37,4Z6AH,1SGCA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.4,130,181,16.9
38,2OLGA,1SGCA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.5,129,181,21.7
39,4INKA,1SGCA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,2.0,128,181,15.6
40,4XSKU,1SGCA,"Structure Of Paitrap, An Upa Mutant",2.2,128,181,19.5
41,4AFQA,1SGCA,Human Chymase - Fynomer Complex,1.8,127,181,18.1
42,2HALA,1SGCA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,127,181,12.6
43,3BEUA,1SGCA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.2,126,181,23.0
44,5DG6A,1SGCA,"2.35a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (21-mer) Inhibitor",2.7,125,181,10.4
45,1FUJA,1SGCA,Pr3 (Myeloblastin),2.5,124,181,21.8
46,1WCZA,1SGCA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.9,122,181,18.0
47,2HLCA,1SGCA,Hl Collagenase Structure At 1.7a Resolution,2.0,121,181,22.3
48,2XYAA,1SGCA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.3,119,181,16.0
49,2QV1B,1SGCA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.4,118,181,13.6
50,5EPYA,1SGCA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.2,118,181,12.7
51,1AGJA,1SGCA,Epidermolytic Toxin A From Staphylococcus Aureus,1.9,115,181,14.8
52,2W5EA,1SGCA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.2,114,181,14.9
53,1LVMA,1SGCA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.5,114,181,13.2
54,2GGVB,1SGCA,"Crystal Structure Of The West Nile Virus Ns2b-Ns3 Protease, His51ala Mutant",2.2,113,181,13.3
55,4WMEA,1SGCA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.2,113,181,11.5
56,2HRVA,1SGCA,2a Cysteine Proteinase From Human Rhinovirus 2,2.4,111,181,15.3
57,4XFQA,1SGCA,Crystal Structure Basis For Pedv 3c Like Protease,2.3,111,181,9.9
58,1Z8RA,1SGCA,2a Cysteine Proteinase From Human Coxsackievirus B4 (Strain Jvb  BENSCHOTEN  NEW YORK  51),2.5,99,181,15.2
59,2YEWD,1SGCA,Modeling Barmah Forest Virus Structural Proteins,3.8,96,181,14.6
60,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
61,5HM2E,2QA9E,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.8,145,185,17.2
62,1YM0A,2QA9E,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",2.5,143,185,20.3
63,2J92A,5HMAA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,168,191,16.7
64,2F91A,5HMAA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.7,165,191,16.4
65,4JCNA,5HMAA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.4,165,191,19.4
66,2B9LA,5HMAA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,3.1,164,191,15.2
67,1ZYOA,5HMAA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.1,161,191,14.3
68,4A5TS,5HMAA,Structural Basis For The Conformational Modulation,2.9,160,191,19.4
69,1FIZA,5HMAA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.3,158,191,13.3
70,3WOKA,5HMAA,Crystal Structure Of The Dap Bii (space),2.3,158,191,19.6
71,1EAXA,5HMAA,Crystal Structure Of Mtsp1 (Matriptase),2.4,157,191,12.7
72,4LK4A,5HMAA,Structure Of Vibrio Cholerae Vesb Protease,2.3,157,191,17.2
73,4RI0A,5HMAA,"Serine Protease Htra3, Mutationally Inactivated",1.6,156,191,28.8
74,3NXPA,5HMAA,Crystal Structure Of Human Prethrombin-1,2.7,153,191,16.3
75,4MNWA,5HMAA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.6,153,191,20.3
76,4WVPE,5HMAA,Crystal Structure Of An Activity-based Probe Hne Complex,2.3,153,191,17.6
77,5EDMA,5HMAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.9,153,191,15.0
78,3F1SB,5HMAA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,152,191,13.8
79,5EDKA,5HMAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.8,151,191,15.9
80,1PQ7A,5HMAA,"Trypsin At 0.8 A, Ph5  BORAX",2.2,150,191,21.3
81,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
82,3UFAA,5HMAA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.0,147,191,19.7
83,3WY8A,5HMAA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,146,191,17.1
84,5AVDA,5HMAA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.3,144,191,16.0
85,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
86,2XRCB,3H7OA,Human Complement Factor I,2.5,176,228,29.5
87,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
88,2XWBF,2AIQA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,187,231,21.9
