,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4Z6AH,1AUTC,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,226,250,39.8
1,1VZQH,1AUTC,Complex Of Thrombin With Designed Inhibitor 7165,1.1,225,250,42.7
2,5AVDA,1AUTC,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,224,250,32.1
3,1FIZA,1AUTC,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,222,250,31.5
4,3TVJB,1AUTC,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,222,250,37.4
5,1EAXA,1AUTC,Crystal Structure Of Mtsp1 (Matriptase),1.1,221,250,36.2
6,4FXGH,1AUTC,Complement C4 In Complex With Masp-2,1.3,220,250,36.8
7,2F91A,1AUTC,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,218,250,34.4
8,2OQ5A,1AUTC,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,217,250,33.2
9,1M9UA,1AUTC,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,216,250,30.6
10,1AZZA,1AUTC,Fiddler Crab Collagenase Complexed To Ecotin,1.6,215,250,31.2
11,2XW9A,1AUTC,Crystal Structure Of Complement Factor D Mutant S183a,1.4,214,250,30.4
12,4I8HA,1AUTC,Bovine Trypsin At 0.75 Resolution,1.1,214,250,38.8
13,5EDMA,1AUTC,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.8,214,250,42.5
14,2HLCA,1AUTC,Hl Collagenase Structure At 1.7a Resolution,1.8,213,250,29.1
15,2QXIA,1AUTC,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,213,250,38.5
16,3H7TA,1AUTC,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,213,250,25.4
17,4AFQA,1AUTC,Human Chymase - Fynomer Complex,1.6,212,250,29.7
18,1PQ7A,1AUTC,"Trypsin At 0.8 A, Ph5  BORAX",1.7,210,250,33.3
19,2AIQA,1AUTC,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,210,250,31.9
20,5EDKA,1AUTC,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.8,210,250,41.9
21,4WVPE,1AUTC,Crystal Structure Of An Activity-based Probe Hne Complex,1.4,209,250,28.7
22,1DDJA,1AUTC,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,208,250,34.6
23,4XSKU,1AUTC,"Structure Of Paitrap, An Upa Mutant",1.8,208,250,34.6
24,1EQ9A,1AUTC,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,207,250,34.3
25,2B9LA,1AUTC,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.2,207,250,31.4
26,3NXPA,1AUTC,Crystal Structure Of Human Prethrombin-1,1.6,206,250,42.7
27,4A5TS,1AUTC,Structural Basis For The Conformational Modulation,1.8,206,250,35.4
