,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5HM2E,2J92A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,0.9,201,209,79.6
1,2HALA,2J92A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.1,187,209,20.9
2,5BPEA,2J92A,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.1,171,209,18.1
3,5HMAA,2J92A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,168,209,16.7
4,3LGIB,2J92A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.0,167,209,14.4
5,1L1JA,2J92A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,166,209,14.5
6,4RI0A,2J92A,"Serine Protease Htra3, Mutationally Inactivated",3.0,165,209,14.5
7,1LVMA,2J92A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.5,163,209,14.7
8,2XYAA,2J92A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.1,163,209,17.2
9,5AVDA,2J92A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,162,209,11.7
10,1TE0A,2J92A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",3.1,161,209,14.3
11,4XSKU,2J92A,"Structure Of Paitrap, An Upa Mutant",3.0,161,209,11.8
12,2OLGA,2J92A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.0,160,209,13.8
13,3K6YA,2J92A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.7,159,209,10.7
14,4MNWA,2J92A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,3.0,157,209,11.5
15,1WCZA,2J92A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.4,156,209,12.8
16,1EAXA,2J92A,Crystal Structure Of Mtsp1 (Matriptase),3.0,154,209,11.0
17,2OQ5A,2J92A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.0,153,209,13.7
18,3BEUA,2J92A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,3.0,153,209,17.0
