,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2QXIA,1JRSA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.2,221,223,44.3
1,5AVDA,1JRSA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.2,221,223,38.5
2,1FIZA,1JRSA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,220,223,37.7
3,1EAXA,1JRSA,Crystal Structure Of Mtsp1 (Matriptase),0.9,219,223,40.2
4,4XSKU,1JRSA,"Structure Of Paitrap, An Upa Mutant",1.7,218,223,38.1
5,1AZZA,1JRSA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,217,223,35.9
6,1VZQH,1JRSA,Complex Of Thrombin With Designed Inhibitor 7165,1.1,217,223,39.2
7,4AFQA,1JRSA,Human Chymase - Fynomer Complex,1.5,217,223,37.3
8,4Z6AH,1JRSA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.1,217,223,42.4
9,2AIQA,1JRSA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,215,223,38.6
10,2XW9A,1JRSA,Crystal Structure Of Complement Factor D Mutant S183a,1.1,215,223,35.8
11,3TVJB,1JRSA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.3,214,223,36.4
12,4FXGH,1JRSA,Complement C4 In Complex With Masp-2,1.3,214,223,36.0
13,1PQ7A,1JRSA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,213,223,43.2
14,2F91A,1JRSA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.0,213,223,46.5
15,1M9UA,1JRSA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,212,223,32.1
16,5EDMA,1JRSA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,212,223,38.2
17,2OQ5A,1JRSA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.1,210,223,39.0
18,4WVPE,1JRSA,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,210,223,32.9
19,1EQ9A,1JRSA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.0,207,223,34.3
20,3BEUA,1JRSA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,207,223,32.9
21,3H7TA,1JRSA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,207,223,28.5
22,1DDJA,1JRSA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,206,223,42.2
23,2HLCA,1JRSA,Hl Collagenase Structure At 1.7a Resolution,1.4,203,223,32.5
24,3H7OA,1JRSA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,203,223,26.6
25,4MNWA,1JRSA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.3,202,223,40.1
26,4A5TS,1JRSA,Structural Basis For The Conformational Modulation,1.6,201,223,42.3
27,5EDKA,1JRSA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.9,201,223,38.3
28,2B9LA,1JRSA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,200,223,29.5
29,3NXPA,1JRSA,Crystal Structure Of Human Prethrombin-1,1.7,200,223,39.5
30,2OLGA,1JRSA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,195,223,31.3
31,5HU6C,1JRSA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,194,223,33.5
32,3F1SB,1JRSA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,189,223,23.8
33,3WY8A,1JRSA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,187,223,13.9
34,4LK4A,1JRSA,Structure Of Vibrio Cholerae Vesb Protease,1.6,186,223,34.9
35,1P3CA,1JRSA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,171,223,18.7
36,1AGJA,1JRSA,Epidermolytic Toxin A From Staphylococcus Aureus,2.5,168,223,14.9
37,1WCZA,1JRSA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,166,223,13.3
38,5HMAA,1JRSA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,164,223,17.7
39,3LGIB,1JRSA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,163,223,16.6
40,4FLNA,1JRSA,Crystal Structure Of Plant Protease Deg2,2.8,162,223,14.8
41,1ARBA,1JRSA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,160,223,16.2
42,2XRCB,1JRSA,Human Complement Factor I,1.7,159,223,34.6
43,1ZYOA,1JRSA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,158,223,13.9
44,3WOKA,1JRSA,Crystal Structure Of The Dap Bii (space),2.5,158,223,17.1
45,4RI0A,1JRSA,"Serine Protease Htra3, Mutationally Inactivated",2.6,158,223,15.2
46,2Z9IA,1JRSA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,154,223,16.9
47,3K6YA,1JRSA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,154,223,19.5
48,1L1JA,1JRSA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.5,152,223,15.1
49,1TE0A,1JRSA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.4,152,223,17.1
50,3UFAA,1JRSA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.8,152,223,16.4
51,1LVMA,1JRSA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,149,223,12.8
52,2QA9E,1JRSA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.7,143,223,18.2
53,2XYAA,1JRSA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,142,223,16.9
54,2W5EA,1JRSA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.3,139,223,14.4
55,4WMEA,1JRSA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,136,223,8.8
56,2OUAA,1JRSA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,135,223,20.7
57,2HALA,1JRSA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,135,223,16.3
58,2PKAB,1JRSA,Kallikrein A (E.C.3.4.21.8),1.2,130,223,43.8
59,1WYKA,1JRSA,Sindbis Virus Capsid Protein (114-264),3.1,130,223,13.8
60,5BPEA,1JRSA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.4,130,223,16.9
61,2J92A,1JRSA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.5,127,223,14.2
62,4XFQA,1JRSA,Crystal Structure Basis For Pedv 3c Like Protease,2.4,127,223,10.2
63,1MBMB,1JRSA,Nsp4 Proteinase From Equine Arteritis Virus,2.8,125,223,12.8
64,5EU8A,1JRSA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.3,125,223,10.4
65,4X2VB,1JRSA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.6,124,223,12.1
66,5HM2E,1JRSA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,124,223,15.3
67,3FANA,1JRSA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.7,122,223,18.0
68,5EPNA,1JRSA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.9,120,223,13.3
69,5DGJA,1JRSA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.5,120,223,11.7
70,2H5CA,1JRSA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.1,119,223,21.0
71,5EQQA,1JRSA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.9,119,223,12.6
72,2YOLA,1JRSA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.5,118,223,12.7
73,4ZROA,1JRSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.2,117,223,10.3
74,1AKSA,1JRSA,Crystal Structure Of The First Active Autolysate Form Of The Porcine Alpha Trypsin,0.4,116,223,79.3
75,5ETXC,1JRSA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.7,116,223,12.9
76,4I8HA,2QXIA,Bovine Trypsin At 0.75 Resolution,1.2,221,224,44.3
77,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
78,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
79,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
80,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
81,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
82,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
83,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
84,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
85,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
86,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
87,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
88,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
89,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
90,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
91,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
92,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
93,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
94,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
95,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
96,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
97,2AYWA,1WYKA,Crystal Structure Of The Complex Formed Between Trypsin And A Designed Synthetic Highly Potent Inhibitor In The Presence Of Benzamidine At 0.97 A Resolution,3.1,125,152,13.6
98,2R3UA,1WYKA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,12.8
99,1A5HA,1WYKA,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,3.0,119,152,14.3
100,1FUJB,1WYKA,Pr3 (Myeloblastin),2.7,117,152,14.5
101,5ETXB,1WYKA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.8,116,152,15.5
102,1GVKB,1WYKA,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.6,115,152,13.0
103,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
104,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
105,1CU1A,5EPNA,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,0.9,189,197,86.2
106,1YPHC,1AKSA,High Resolution Structure Of Bovine Alpha-Chymotrypsin,0.8,101,125,44.6
107,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
108,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
109,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
110,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
111,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
112,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
113,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
114,4FLNC,4INKA,Crystal Structure Of Plant Protease Deg2,1.7,154,205,23.4
115,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
116,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
