,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,3RP2A,Human Chymase - Fynomer Complex,0.8,219,224,60.7
1,1EAXA,3RP2A,Crystal Structure Of Mtsp1 (Matriptase),1.4,218,224,29.8
2,1VZQH,3RP2A,Complex Of Thrombin With Designed Inhibitor 7165,1.7,218,224,30.3
3,1AZZA,3RP2A,Fiddler Crab Collagenase Complexed To Ecotin,1.2,217,224,37.3
4,1FIZA,3RP2A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,216,224,34.7
5,2F91A,3RP2A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,216,224,28.7
6,2XW9A,3RP2A,Crystal Structure Of Complement Factor D Mutant S183a,1.6,216,224,34.7
7,4I8HA,3RP2A,Bovine Trypsin At 0.75 Resolution,1.3,216,224,34.3
8,4Z6AH,3RP2A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,216,224,29.2
9,4MNWA,3RP2A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,215,224,30.2
10,5AVDA,3RP2A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,215,224,34.0
11,1M9UA,3RP2A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,214,224,27.6
12,2AIQA,3RP2A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.6,214,224,27.6
13,2QXIA,3RP2A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,214,224,34.6
14,3TVJB,3RP2A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,214,224,27.6
15,4XSKU,3RP2A,"Structure Of Paitrap, An Upa Mutant",1.6,214,224,29.9
16,2OQ5A,3RP2A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,213,224,31.0
17,3H7TA,3RP2A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.6,212,224,26.4
18,4FXGH,3RP2A,Complement C4 In Complex With Masp-2,1.5,212,224,27.4
19,1PQ7A,3RP2A,"Trypsin At 0.8 A, Ph5  BORAX",1.6,210,224,24.3
20,2HLCA,3RP2A,Hl Collagenase Structure At 1.7a Resolution,1.4,209,224,29.7
21,4WVPE,3RP2A,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,209,224,33.5
22,1EQ9A,3RP2A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.5,207,224,30.9
23,3BEUA,3RP2A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,205,224,26.8
24,3H7OA,3RP2A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.8,205,224,23.4
25,5EDMA,3RP2A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,204,224,30.9
26,2OLGA,3RP2A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.9,202,224,29.7
27,3NXPA,3RP2A,Crystal Structure Of Human Prethrombin-1,1.9,197,224,31.5
28,1DDJA,3RP2A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.7,193,224,37.3
29,5EDKA,3RP2A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.7,193,224,32.6
30,2B9LA,3RP2A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.2,192,224,29.2
31,4A5TS,3RP2A,Structural Basis For The Conformational Modulation,1.8,189,224,38.6
32,3F1SB,3RP2A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,187,224,23.5
33,5HU6C,3RP2A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,187,224,26.7
34,3WY8A,3RP2A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,185,224,13.0
35,4LK4A,3RP2A,Structure Of Vibrio Cholerae Vesb Protease,1.7,181,224,29.3
36,4JCNA,3RP2A,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.1,178,224,15.2
37,1P3CA,3RP2A,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,175,224,17.1
38,1AGJA,3RP2A,Epidermolytic Toxin A From Staphylococcus Aureus,2.4,174,224,12.1
39,2XRCB,3RP2A,Human Complement Factor I,2.2,171,224,28.7
40,3LGIB,3RP2A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.7,167,224,16.2
41,4FLNA,3RP2A,Crystal Structure Of Plant Protease Deg2,2.7,167,224,15.0
42,1TE0A,3RP2A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,159,224,16.4
43,1ZYOA,3RP2A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,159,224,13.8
44,1ARBA,3RP2A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,157,224,17.2
45,3UFAA,3RP2A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.7,156,224,14.7
46,1L1JA,3RP2A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.4,155,224,21.9
47,4RI0A,3RP2A,"Serine Protease Htra3, Mutationally Inactivated",2.4,154,224,18.8
48,5HMAA,3RP2A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,154,224,17.5
49,3WOKA,3RP2A,Crystal Structure Of The Dap Bii (space),2.5,151,224,15.9
50,1LVMA,3RP2A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.6,150,224,15.3
51,3K6YA,3RP2A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.9,150,224,19.3
52,5HM2E,3RP2A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.4,147,224,12.2
53,2J92A,3RP2A,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,146,224,13.7
54,2XYAA,3RP2A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,146,224,15.8
55,5BPEA,3RP2A,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,142,224,13.4
56,2HALA,3RP2A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.8,132,224,11.4
57,4WMEA,3RP2A,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.3,130,224,9.2
58,2H5CA,3RP2A,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.9,129,224,20.9
59,2OUAA,3RP2A,Crystal Structure Of Nocardiopsis Protease (Napase),2.0,129,224,17.1
60,2QA9E,3RP2A,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.1,128,224,19.5
61,4ZROA,3RP2A,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.4,123,224,9.8
62,1MBMB,3RP2A,Nsp4 Proteinase From Equine Arteritis Virus,2.5,122,224,17.2
63,2QV1B,3RP2A,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.5,119,224,18.5
64,1YPHC,3RP2A,High Resolution Structure Of Bovine Alpha-Chymotrypsin,0.9,117,224,40.2
65,4XFQA,3RP2A,Crystal Structure Basis For Pedv 3c Like Protease,2.8,117,224,10.3
66,5EU8A,3RP2A,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.4,116,224,10.3
67,5DGJA,3RP2A,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,114,224,16.7
68,4X2VB,3RP2A,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.5,113,224,15.9
69,1WCZA,4AFQA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,180,226,14.4
70,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
71,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
72,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
73,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
74,2XWBF,2XW9A,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.1,180,228,23.3
75,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
76,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
77,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
78,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
79,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
80,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
81,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
82,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
83,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
84,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
85,4INKA,4JCNA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.4,171,216,31.6
86,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
