,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4FXGH,1ELVA,Complement C4 In Complex With Masp-2,1.5,217,333,39.2
1,3TVJB,1ELVA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,215,333,40.0
2,1VZQH,1ELVA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,214,333,38.8
3,4Z6AH,1ELVA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.9,213,333,34.7
4,1M9UA,1ELVA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.9,211,333,27.5
5,1FIZA,1ELVA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.8,209,333,31.1
6,4AFQA,1ELVA,Human Chymase - Fynomer Complex,1.7,208,333,28.4
7,5AVDA,1ELVA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.9,208,333,30.3
8,2OQ5A,1ELVA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.8,207,333,34.3
9,3H7TA,1ELVA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,207,333,25.1
10,1EAXA,1ELVA,Crystal Structure Of Mtsp1 (Matriptase),1.5,206,333,35.0
11,2HLCA,1ELVA,Hl Collagenase Structure At 1.7a Resolution,1.8,205,333,30.7
12,2QXIA,1ELVA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.8,205,333,33.2
13,1EQ9A,1ELVA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.9,204,333,30.4
14,4I8HA,1ELVA,Bovine Trypsin At 0.75 Resolution,1.6,204,333,36.3
15,5EDMA,1ELVA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,204,333,39.2
16,2AIQA,1ELVA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,202,333,29.7
17,3NXPA,1ELVA,Crystal Structure Of Human Prethrombin-1,2.3,202,333,39.6
18,1AZZA,1ELVA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,201,333,27.9
19,1PQ7A,1ELVA,"Trypsin At 0.8 A, Ph5  BORAX",1.7,200,333,32.5
20,4WVPE,1ELVA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,199,333,23.6
21,2F91A,1ELVA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,197,333,35.5
22,2XW9A,1ELVA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,197,333,30.5
23,3H7OA,1ELVA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.6,196,333,30.1
24,4XSKU,1ELVA,"Structure Of Paitrap, An Upa Mutant",1.9,196,333,29.1
25,5EDKA,1ELVA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,195,333,40.5
26,5HU6C,1ELVA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,195,333,38.5
27,4LK4A,1ELVA,Structure Of Vibrio Cholerae Vesb Protease,2.2,194,333,28.9
28,2OLGA,1ELVA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.6,193,333,32.1
29,4MNWA,1ELVA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,191,333,30.4
30,2B9LA,1ELVA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,188,333,31.4
31,3BEUA,1ELVA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,188,333,33.0
32,3F1SB,1ELVA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,188,333,25.0
33,1DDJA,1ELVA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,187,333,37.4
34,4A5TS,1ELVA,Structural Basis For The Conformational Modulation,2.1,187,333,38.0
35,1P3CA,1ELVA,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,172,333,18.6
36,3WY8A,1ELVA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.4,171,333,11.7
37,1AGJA,1ELVA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,167,333,18.6
38,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
39,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
40,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
41,1WCZA,1M9UA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,187,241,12.3
42,1ARBA,1M9UA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.0,181,241,16.6
43,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
44,2XRCB,4AFQA,Human Complement Factor I,2.1,171,226,28.7
45,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
46,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
47,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
48,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
49,3LGIB,2QXIA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.7,169,224,17.2
50,3UFAA,1AZZA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.2,171,226,14.0
51,5HMAA,1AZZA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,170,226,12.4
52,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
53,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
54,3K6YA,1P3CA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,167,215,20.4
55,1TE0A,1P3CA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,166,215,13.9
56,1ZYOA,1P3CA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.9,165,215,19.4
