,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4Z6AH,1Q3XA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.7,231,328,34.6
1,1VZQH,1Q3XA,Complex Of Thrombin With Designed Inhibitor 7165,1.3,227,328,36.6
2,1EAXA,1Q3XA,Crystal Structure Of Mtsp1 (Matriptase),1.3,226,328,31.0
3,3H7TA,1Q3XA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.1,225,328,26.2
4,5EDMA,1Q3XA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,224,328,36.2
5,5AVDA,1Q3XA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.7,222,328,32.0
6,1M9UA,1Q3XA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.8,221,328,29.4
7,2F91A,1Q3XA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.7,221,328,35.3
8,2OQ5A,1Q3XA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,220,328,30.9
9,1FIZA,1Q3XA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,218,328,34.9
10,1PQ7A,1Q3XA,"Trypsin At 0.8 A, Ph5  BORAX",1.8,218,328,38.5
11,3NXPA,1Q3XA,Crystal Structure Of Human Prethrombin-1,2.1,218,328,35.8
12,5EDKA,1Q3XA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,218,328,36.7
13,2HLCA,1Q3XA,Hl Collagenase Structure At 1.7a Resolution,1.8,217,328,30.9
14,1AZZA,1Q3XA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,216,328,31.5
15,2AIQA,1Q3XA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,216,328,31.9
16,2QXIA,1Q3XA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,215,328,34.0
17,4I8HA,1Q3XA,Bovine Trypsin At 0.75 Resolution,1.2,215,328,36.7
18,1EQ9A,1Q3XA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.7,213,328,30.5
19,4AFQA,1Q3XA,Human Chymase - Fynomer Complex,1.5,213,328,26.8
20,2XW9A,1Q3XA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,212,328,26.4
21,2B9LA,1Q3XA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.6,210,328,34.3
22,3H7OA,1Q3XA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,210,328,27.1
23,4WVPE,1Q3XA,Crystal Structure Of An Activity-based Probe Hne Complex,1.9,209,328,25.4
24,1DDJA,1Q3XA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.9,205,328,32.2
25,3BEUA,1Q3XA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.9,203,328,33.5
26,2OLGA,1Q3XA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,202,328,32.2
27,4A5TS,1Q3XA,Structural Basis For The Conformational Modulation,2.0,202,328,32.7
28,4XSKU,1Q3XA,"Structure Of Paitrap, An Upa Mutant",1.7,202,328,30.2
29,4MNWA,1Q3XA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,200,328,30.5
30,3F1SB,1Q3XA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,199,328,22.6
31,5HU6C,1Q3XA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.5,198,328,34.3
