,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3LGIB,1LCYA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.4,183,325,36.1
1,4RI0A,1LCYA,"Serine Protease Htra3, Mutationally Inactivated",1.4,179,325,65.9
2,1TE0A,1LCYA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.1,178,325,36.0
3,1LVMA,1LCYA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.4,175,325,13.1
4,1L1JA,1LCYA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,1.4,174,325,43.1
5,2HALA,1LCYA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.3,167,325,10.8
6,3K6YA,1LCYA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.9,166,325,30.7
7,1ARBA,1LCYA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,163,325,14.1
8,2Z9IA,3LGIB,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,1.3,180,237,40.6
9,4FLNA,1TE0A,Crystal Structure Of Plant Protease Deg2,3.5,270,318,17.8
10,2J92A,2HALA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.1,187,212,20.9
11,5HM2E,2HALA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.1,187,212,19.8
12,5HMAA,2HALA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,170,212,15.3
13,5BPEA,2HALA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.1,167,212,21.6
14,1FIZA,2HALA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,3.0,166,212,12.7
15,2XYAA,2HALA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.1,163,212,21.5
16,4Z6AH,2HALA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,3.3,162,212,12.3
17,5EDKA,2HALA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),3.3,162,212,13.6
18,1EAXA,2HALA,Crystal Structure Of Mtsp1 (Matriptase),3.2,161,212,11.8
19,1VZQH,2HALA,Complex Of Thrombin With Designed Inhibitor 7165,3.2,160,212,15.0
20,5EDMA,2HALA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),3.2,160,212,13.8
21,5AVDA,2J92A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,162,209,11.7
22,4XSKU,2J92A,"Structure Of Paitrap, An Upa Mutant",3.0,161,209,11.8
23,2OLGA,2J92A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.0,160,209,13.8
24,4MNWA,2J92A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,3.0,157,209,11.5
25,1M9UA,5HM2E,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,3.0,162,209,14.8
26,4JCNA,5HM2E,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.5,158,209,13.3
27,1P3CA,5HM2E,Glutamyl Endopeptidase From Bacillus Intermedius,2.9,157,209,15.9
28,5HU6C,5HM2E,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.8,157,209,13.4
29,3H7OA,5HMAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),3.0,174,191,19.0
30,1AZZA,5HMAA,Fiddler Crab Collagenase Complexed To Ecotin,2.8,170,191,12.4
31,1AGJA,5HMAA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,168,191,15.5
