,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5AVDA,1SGFG,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,224,237,32.6
1,2QXIA,1SGFG,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,223,237,46.6
2,4I8HA,1SGFG,Bovine Trypsin At 0.75 Resolution,1.3,223,237,42.2
3,1EAXA,1SGFG,Crystal Structure Of Mtsp1 (Matriptase),1.3,221,237,34.4
4,4Z6AH,1SGFG,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,221,237,37.1
5,1AZZA,1SGFG,Fiddler Crab Collagenase Complexed To Ecotin,1.7,220,237,34.5
6,1VZQH,1SGFG,Complex Of Thrombin With Designed Inhibitor 7165,1.4,220,237,32.7
7,1M9UA,1SGFG,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,219,237,28.3
8,2AIQA,1SGFG,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,219,237,39.7
9,2F91A,1SGFG,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,219,237,35.2
10,4AFQA,1SGFG,Human Chymase - Fynomer Complex,1.4,217,237,34.6
11,1FIZA,1SGFG,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,216,237,35.2
12,3TVJB,1SGFG,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,216,237,33.3
13,2XW9A,1SGFG,Crystal Structure Of Complement Factor D Mutant S183a,1.6,215,237,36.3
14,1PQ7A,1SGFG,"Trypsin At 0.8 A, Ph5  BORAX",1.6,214,237,31.8
15,4FXGH,1SGFG,Complement C4 In Complex With Masp-2,1.4,214,237,33.2
16,2OQ5A,1SGFG,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,213,237,31.5
17,3H7TA,1SGFG,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.1,213,237,24.4
18,1EQ9A,1SGFG,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,210,237,33.3
19,3BEUA,1SGFG,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,209,237,30.6
20,4WVPE,1SGFG,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,209,237,29.2
21,5EDMA,1SGFG,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,209,237,32.5
22,3NXPA,1SGFG,Crystal Structure Of Human Prethrombin-1,2.0,207,237,32.9
23,3H7OA,1SGFG,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,205,237,29.3
24,2HLCA,1SGFG,Hl Collagenase Structure At 1.7a Resolution,1.8,202,237,27.2
25,1DDJA,1SGFG,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,202,237,41.6
26,4A5TS,1SGFG,Structural Basis For The Conformational Modulation,2.0,202,237,42.1
27,4MNWA,1SGFG,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,202,237,36.6
28,4XSKU,1SGFG,"Structure Of Paitrap, An Upa Mutant",1.5,202,237,36.1
29,2OLGA,1SGFG,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,201,237,30.8
30,5EDKA,1SGFG,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.9,200,237,33.5
31,2B9LA,1SGFG,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,195,237,33.8
32,5HU6C,1SGFG,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,194,237,28.4
33,3F1SB,1SGFG,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,192,237,22.9
34,4LK4A,1SGFG,Structure Of Vibrio Cholerae Vesb Protease,1.8,190,237,27.4
35,1ARBA,1SGFG,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.9,176,237,17.0
36,1AGJA,1SGFG,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,173,237,19.1
37,1P3CA,1SGFG,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,173,237,17.9
38,3WY8A,1SGFG,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,171,237,14.6
39,3LGIB,1SGFG,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,170,237,19.4
40,1WCZA,1SGFG,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,168,237,14.9
41,4FLNA,1SGFG,Crystal Structure Of Plant Protease Deg2,2.8,167,237,16.8
42,3K6YA,1SGFG,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.7,165,237,20.6
43,1ZYOA,1SGFG,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,161,237,15.5
44,5HMAA,1SGFG,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,160,237,18.8
45,2XRCB,1SGFG,Human Complement Factor I,1.9,158,237,36.1
46,2Z9IA,1SGFG,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.6,156,237,16.0
47,3WOKA,1SGFG,Crystal Structure Of The Dap Bii (space),2.3,156,237,16.0
48,4RI0A,1SGFG,"Serine Protease Htra3, Mutationally Inactivated",2.6,156,237,14.1
49,1TE0A,1SGFG,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.4,155,237,21.3
50,3UFAA,1SGFG,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.9,155,237,16.1
51,1LVMA,1SGFG,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,153,237,14.4
52,1L1JA,1SGFG,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.4,150,237,18.7
53,2J92A,1SGFG,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.6,145,237,15.2
54,5HM2E,1SGFG,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.7,145,237,16.6
55,2H5CA,1SGFG,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.5,143,237,19.6
56,2XYAA,1SGFG,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,141,237,17.7
57,2HALA,1SGFG,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.5,141,237,13.5
58,2W5EA,1SGFG,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.3,140,237,12.1
59,5BPEA,1SGFG,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,140,237,20.7
60,4WMEA,1SGFG,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,136,237,10.3
61,2QA9E,1SGFG,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.3,135,237,20.0
62,2OUAA,1SGFG,Crystal Structure Of Nocardiopsis Protease (Napase),2.2,134,237,20.1
63,2PKAB,1SGFG,Kallikrein A (E.C.3.4.21.8),0.6,131,237,64.1
64,1WYKA,1SGFG,Sindbis Virus Capsid Protein (114-264),2.9,124,237,14.5
65,5EU8A,1SGFG,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.3,124,237,13.7
66,5DGJA,1SGFG,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.5,122,237,13.9
