,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4I8HA,1LO6A,Bovine Trypsin At 0.75 Resolution,1.3,219,223,44.7
1,1AZZA,1LO6A,Fiddler Crab Collagenase Complexed To Ecotin,1.7,218,223,32.1
2,2F91A,1LO6A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.2,217,223,34.6
3,4XSKU,1LO6A,"Structure Of Paitrap, An Upa Mutant",1.9,217,223,38.7
4,1EAXA,1LO6A,Crystal Structure Of Mtsp1 (Matriptase),1.3,216,223,35.6
5,2QXIA,1LO6A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,216,223,43.1
6,5AVDA,1LO6A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,216,223,36.1
7,1FIZA,1LO6A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,215,223,32.6
8,3TVJB,1LO6A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.6,215,223,34.9
9,4AFQA,1LO6A,Human Chymase - Fynomer Complex,1.8,215,223,34.0
10,4Z6AH,1LO6A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,215,223,38.1
11,2AIQA,1LO6A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,214,223,39.3
12,4FXGH,1LO6A,Complement C4 In Complex With Masp-2,1.5,214,223,34.6
13,2XW9A,1LO6A,Crystal Structure Of Complement Factor D Mutant S183a,1.3,213,223,40.8
14,1VZQH,1LO6A,Complex Of Thrombin With Designed Inhibitor 7165,1.3,212,223,38.2
15,1M9UA,1LO6A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.4,210,223,30.0
16,2HLCA,1LO6A,Hl Collagenase Structure At 1.7a Resolution,1.7,208,223,28.8
17,2OQ5A,1LO6A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,208,223,34.1
18,3H7TA,1LO6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,208,223,23.1
19,4WVPE,1LO6A,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,207,223,29.5
20,1EQ9A,1LO6A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,206,223,32.0
21,1PQ7A,1LO6A,"Trypsin At 0.8 A, Ph5  BORAX",1.5,206,223,34.5
22,3BEUA,1LO6A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,206,223,30.1
23,3H7OA,1LO6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,204,223,27.5
24,1DDJA,1LO6A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.9,203,223,37.4
25,4MNWA,1LO6A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,203,223,39.4
26,5EDMA,1LO6A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.8,203,223,37.9
27,4A5TS,1LO6A,Structural Basis For The Conformational Modulation,2.0,201,223,36.8
28,3NXPA,1LO6A,Crystal Structure Of Human Prethrombin-1,1.8,197,223,38.6
29,5EDKA,1LO6A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.7,197,223,39.1
30,2B9LA,1LO6A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.8,195,223,30.3
