,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2F91A,1A0LA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,227,244,37.4
1,1VZQH,1A0LA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,226,244,36.7
2,3TVJB,1A0LA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,225,244,32.4
3,1FIZA,1A0LA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,223,244,35.9
4,1EAXA,1A0LA,Crystal Structure Of Mtsp1 (Matriptase),1.2,223,244,43.0
5,1M9UA,1A0LA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,222,244,30.2
6,5AVDA,1A0LA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,221,244,42.1
7,4Z6AH,1A0LA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,221,244,37.1
8,4FXGH,1A0LA,Complement C4 In Complex With Masp-2,1.7,220,244,32.7
9,4MNWA,1A0LA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,220,244,35.0
10,1PQ7A,1A0LA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,218,244,33.5
11,4XSKU,1A0LA,"Structure Of Paitrap, An Upa Mutant",1.4,218,244,35.3
12,2OQ5A,1A0LA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.2,217,244,42.4
13,1EQ9A,1A0LA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,215,244,34.4
14,3H7TA,1A0LA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,214,244,24.8
15,2B9LA,1A0LA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,213,244,31.5
16,4I8HA,1A0LA,Bovine Trypsin At 0.75 Resolution,1.4,212,244,41.0
17,2HLCA,1A0LA,Hl Collagenase Structure At 1.7a Resolution,2.0,211,244,31.8
18,5EDMA,1A0LA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,211,244,37.9
19,3H7OA,1A0LA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,210,244,27.1
20,2XW9A,1A0LA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,209,244,36.4
21,5HU6C,1A0LA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.7,209,244,27.3
22,1AZZA,1A0LA,Fiddler Crab Collagenase Complexed To Ecotin,1.6,207,244,40.1
23,2QXIA,1A0LA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,207,244,39.1
24,2XWBF,1A0LA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,206,244,24.3
25,4WVPE,1A0LA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,206,244,32.5
26,3NXPA,1A0LA,Crystal Structure Of Human Prethrombin-1,2.0,205,244,38.5
27,4AFQA,1A0LA,Human Chymase - Fynomer Complex,1.7,205,244,35.1
28,2AIQA,1A0LA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,203,244,33.5
29,5EDKA,1A0LA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.0,203,244,38.4
30,1DDJA,1A0LA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.7,202,244,43.1
31,4A5TS,1A0LA,Structural Basis For The Conformational Modulation,1.8,202,244,42.6
32,3BEUA,1A0LA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,197,244,34.5
33,2OLGA,1A0LA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.9,193,244,33.2
34,3F1SB,1A0LA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,193,244,23.8
35,4LK4A,1A0LA,Structure Of Vibrio Cholerae Vesb Protease,2.0,188,244,33.5
36,1WCZA,1A0LA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,180,244,15.0
37,1ARBA,1A0LA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,171,244,16.4
38,2XRCB,1A0LA,Human Complement Factor I,1.9,167,244,38.9
39,3LGIB,1A0LA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,165,244,15.8
40,1ZYOA,1A0LA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,163,244,14.1
41,4RI0A,1A0LA,"Serine Protease Htra3, Mutationally Inactivated",2.8,163,244,17.8
42,4FLNA,1A0LA,Crystal Structure Of Plant Protease Deg2,2.8,162,244,19.1
43,1P3CA,1A0LA,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,159,244,15.1
44,1TE0A,1A0LA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,158,244,15.8
45,5HM2E,1A0LA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.0,157,244,12.1
46,2Z9IA,1A0LA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,154,244,19.5
47,3WY8A,1A0LA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,153,244,14.4
48,5HMAA,1A0LA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.2,153,244,19.0
49,3UFAA,1A0LA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.8,150,244,16.7
50,1L1JA,1A0LA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.5,147,244,17.7
51,1AGJA,1A0LA,Epidermolytic Toxin A From Staphylococcus Aureus,1.9,146,244,16.4
52,5BPEA,1A0LA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.8,146,244,15.8
53,2J92A,1A0LA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.6,145,244,13.8
54,1LVMA,1A0LA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.2,145,244,11.7
55,3K6YA,1A0LA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.1,145,244,24.8
56,2XYAA,1A0LA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,145,244,14.5
57,2QA9E,1A0LA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.8,137,244,18.2
58,2H5CA,1A0LA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.3,135,244,17.8
59,3WOKA,1A0LA,Crystal Structure Of The Dap Bii (space),2.1,132,244,18.9
60,2OUAA,1A0LA,Crystal Structure Of Nocardiopsis Protease (Napase),2.2,129,244,20.2
61,1WYKA,1A0LA,Sindbis Virus Capsid Protein (114-264),3.0,125,244,13.6
62,4X2VB,1A0LA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,3.0,125,244,18.4
63,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
64,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
65,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
66,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
67,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
68,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
69,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
70,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
71,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
72,2W5EA,1ZYOA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.9,148,191,18.9
73,2HALA,5HM2E,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.1,187,209,19.8
74,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
75,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
76,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
77,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
78,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
79,5DGJA,5BPEA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,146,180,11.6
80,4WMEA,5BPEA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,138,180,9.4
81,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
82,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
83,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
84,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
85,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
86,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
87,1MBMA,1WYKA,Nsp4 Proteinase From Equine Arteritis Virus,3.0,125,152,16.8
88,2AYWA,1WYKA,Crystal Structure Of The Complex Formed Between Trypsin And A Designed Synthetic Highly Potent Inhibitor In The Presence Of Benzamidine At 0.97 A Resolution,3.1,125,152,13.6
89,2R3UA,1WYKA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,12.8
90,1A5HA,1WYKA,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,3.0,119,152,14.3
91,3FANA,1WYKA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),3.2,119,152,14.3
92,2YOLA,1WYKA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.6,118,152,14.4
93,1FUJB,1WYKA,Pr3 (Myeloblastin),2.7,117,152,14.5
94,5ETXB,1WYKA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.8,116,152,15.5
95,1GVKB,1WYKA,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.6,115,152,13.0
96,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
97,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
98,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
99,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
100,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
101,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
102,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
103,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
104,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
105,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
106,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
107,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
108,4FLNC,4INKA,Crystal Structure Of Plant Protease Deg2,1.7,154,205,23.4
109,1CU1A,5ETXB,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,0.9,191,194,85.9
110,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
111,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
