,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,1PFXC,Complex Of Thrombin With Designed Inhibitor 7165,1.7,230,235,37.8
1,4Z6AH,1PFXC,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.4,229,235,42.4
2,1EAXA,1PFXC,Crystal Structure Of Mtsp1 (Matriptase),1.4,227,235,39.2
3,4XSKU,1PFXC,"Structure Of Paitrap, An Upa Mutant",2.5,227,235,31.3
4,3TVJB,1PFXC,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,224,235,37.5
5,5AVDA,1PFXC,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.8,224,235,36.2
6,5EDMA,1PFXC,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.3,224,235,38.8
7,2F91A,1PFXC,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,223,235,41.3
8,4FXGH,1PFXC,Complement C4 In Complex With Masp-2,1.8,223,235,37.2
9,2OQ5A,1PFXC,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.8,222,235,38.3
10,1M9UA,1PFXC,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.9,221,235,29.9
11,1FIZA,1PFXC,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,220,235,36.4
12,2AIQA,1PFXC,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,220,235,28.2
13,1AZZA,1PFXC,Fiddler Crab Collagenase Complexed To Ecotin,1.8,218,235,31.2
14,2QXIA,1PFXC,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.8,218,235,31.7
15,4I8HA,1PFXC,Bovine Trypsin At 0.75 Resolution,1.4,218,235,45.0
16,3H7TA,1PFXC,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,217,235,25.3
17,1EQ9A,1PFXC,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.8,216,235,31.0
18,1PQ7A,1PFXC,"Trypsin At 0.8 A, Ph5  BORAX",1.8,216,235,34.7
19,2XW9A,1PFXC,Crystal Structure Of Complement Factor D Mutant S183a,1.7,216,235,35.2
20,2HLCA,1PFXC,Hl Collagenase Structure At 1.7a Resolution,2.1,214,235,32.7
21,4AFQA,1PFXC,Human Chymase - Fynomer Complex,1.7,213,235,33.3
22,3NXPA,1PFXC,Crystal Structure Of Human Prethrombin-1,2.0,212,235,38.7
23,3H7OA,1PFXC,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,211,235,27.5
24,4WVPE,1PFXC,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,211,235,29.4
25,4MNWA,1PFXC,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.0,210,235,33.3
26,5EDKA,1PFXC,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,210,235,39.5
27,1DDJA,1PFXC,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,207,235,35.7
28,2B9LA,1PFXC,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.2,205,235,31.7
29,4A5TS,1PFXC,Structural Basis For The Conformational Modulation,2.1,205,235,37.6
30,4LK4A,1PFXC,Structure Of Vibrio Cholerae Vesb Protease,2.2,205,235,34.1
31,3BEUA,1PFXC,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,202,235,35.6
32,2XWBF,1PFXC,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.1,202,235,24.8
33,2OLGA,1PFXC,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,200,235,35.5
34,3F1SB,1PFXC,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,199,235,29.1
35,5HU6C,1PFXC,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,198,235,32.8
36,3WY8A,1PFXC,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,179,235,11.7
37,1P3CA,1PFXC,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,177,235,15.8
38,1ARBA,1PFXC,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.0,175,235,14.3
39,1WCZA,1PFXC,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,172,235,11.0
40,2XRCB,1PFXC,Human Complement Factor I,2.2,170,235,34.1
41,1AGJA,1PFXC,Epidermolytic Toxin A From Staphylococcus Aureus,2.2,165,235,16.4
42,4FLNC,1PFXC,Crystal Structure Of Plant Protease Deg2,2.9,165,235,14.5
43,1L1JA,1PFXC,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,3.0,160,235,13.8
44,3UFAA,1PFXC,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.0,160,235,14.4
45,1ZYOA,1PFXC,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,159,235,15.1
46,5HM2E,1PFXC,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.2,159,235,13.2
47,2J92A,1PFXC,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.1,156,235,15.4
48,3LGIB,1PFXC,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.4,154,235,16.2
49,3WOKA,1PFXC,Crystal Structure Of The Dap Bii (space),2.8,154,235,17.5
50,4RI0A,1PFXC,"Serine Protease Htra3, Mutationally Inactivated",2.7,154,235,14.9
51,2HALA,1PFXC,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.0,153,235,11.1
52,1TE0A,1PFXC,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,152,235,16.4
53,1LVMA,1PFXC,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,152,235,12.5
54,5HMAA,1PFXC,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,152,235,17.1
55,2Z9IA,1PFXC,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,148,235,18.2
56,3K6YA,1PFXC,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,145,235,18.6
57,2XYAA,1PFXC,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.1,144,235,16.7
58,2H5DA,1PFXC,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",2.8,143,235,16.8
59,2W5EA,1PFXC,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,137,235,13.9
60,4X2VB,1PFXC,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.7,132,235,14.4
61,5BPEA,1PFXC,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,132,235,15.9
62,2OUAA,1PFXC,Crystal Structure Of Nocardiopsis Protease (Napase),2.4,131,235,16.0
63,4WMEA,1PFXC,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,131,235,9.9
64,1MBMB,1PFXC,Nsp4 Proteinase From Equine Arteritis Virus,2.9,130,235,16.2
65,2QA9E,1PFXC,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.5,130,235,13.8
66,5DGJA,1PFXC,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,126,235,14.3
67,1WYKB,1PFXC,Sindbis Virus Capsid Protein (114-264),3.1,125,235,12.0
68,5EU8A,1PFXC,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.3,124,235,10.5
69,2QV1B,1PFXC,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.9,122,235,14.8
70,4ZROA,1PFXC,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.5,120,235,10.8
71,4XFQA,1PFXC,Crystal Structure Basis For Pedv 3c Like Protease,2.1,118,235,10.2
72,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
73,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
74,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
75,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
76,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
77,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
78,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
79,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
80,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
81,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
82,4FLNA,1P3CA,Crystal Structure Of Plant Protease Deg2,2.2,163,215,17.2
83,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
84,1LCYA,2HALA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.3,167,212,10.8
85,2H5CA,5HMAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,156,191,14.1
86,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
87,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
88,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
89,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
90,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
91,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
92,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
93,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
94,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
95,4NSVB,1WYKB,Lysobacter Enzymogenes Lysc Endoproteinase K30r Mutant Covalently Inhibited By Tlck,3.4,131,152,12.2
96,1DDJD,1WYKB,Crystal Structure Of Human Plasminogen Catalytic Domain,3.2,127,152,6.3
97,3QO6B,1WYKB,Crystal Structure Analysis Of The Plant Protease Deg1,3.0,127,152,12.6
98,2R3UA,1WYKB,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,13.6
99,1HJ9A,1WYKB,Atomic Resolution Structures Of Trypsin Provide Insight Into Structural Radiation Damage,2.9,124,152,16.1
100,1A5HA,1WYKB,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,2.8,120,152,13.3
101,1TRYA,1WYKB,Structure Of Inhibited Trypsin From Fusarium Oxysporum At 1.55 Angstroms,2.8,120,152,16.7
102,2J92B,1WYKB,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.1,119,152,11.8
103,3BN9B,1WYKB,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,2.6,119,152,15.1
104,3U1IB,1WYKB,Dengue Virus Protease Covalently Bound To A Peptide,2.8,119,152,14.3
105,1FUJB,1WYKB,Pr3 (Myeloblastin),2.8,118,152,11.9
106,2QY0B,1WYKB,Active Dimeric Structure Of The Catalytic Domain Of C1r Reveals Enzyme-Product Like Contacts,3.0,117,152,11.1
107,1GVKB,1WYKB,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.5,116,152,12.9
108,1CU1A,2QV1B,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,1.0,181,181,87.8
109,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
110,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
111,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
112,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
113,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
114,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
115,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
116,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
117,2YOLA,3U1IB,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",1.2,158,191,53.2
118,2VBCA,3U1IB,Crystal Structure Of The Ns3 Protease-Helicase From Dengue Virus,1.4,150,191,70.7
