,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4NSVB,2SNVA,Lysobacter Enzymogenes Lysc Endoproteinase K30r Mutant Covalently Inhibited By Tlck,3.6,130,151,11.5
1,3BEUA,2SNVA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,3.2,128,151,13.3
2,3LGIB,2SNVA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.2,127,151,13.4
3,2AIQA,2SNVA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,3.2,126,151,15.1
4,4XFQA,2SNVA,Crystal Structure Basis For Pedv 3c Like Protease,3.2,126,151,15.1
5,1L1JA,2SNVA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,3.2,125,151,11.2
6,4RI0A,2SNVA,"Serine Protease Htra3, Mutationally Inactivated",3.2,125,151,9.6
7,1PQAA,2SNVA,Trypsin With Pmsf At Atomic Resolution,3.2,124,151,16.1
8,1AZZA,2SNVA,Fiddler Crab Collagenase Complexed To Ecotin,3.0,123,151,15.4
9,1YM0A,2SNVA,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",3.1,123,151,11.4
10,1ZYOA,2SNVA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,123,151,15.4
11,2XW9A,2SNVA,Crystal Structure Of Complement Factor D Mutant S183a,3.2,123,151,13.8
12,3S9CA,2SNVA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",3.0,123,151,14.6
13,5EU8A,2SNVA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,3.1,123,151,13.0
14,1DDJB,2SNVA,Crystal Structure Of Human Plasminogen Catalytic Domain,3.2,121,151,6.6
15,1VZQH,2SNVA,Complex Of Thrombin With Designed Inhibitor 7165,3.1,121,151,15.7
16,3SO3A,2SNVA,Structures Of Fab-Protease Complexes Reveal A Highly Specific Non- Canonical Mechanism Of Inhibition,3.2,121,151,14.9
17,4FXGH,2SNVA,Complement C4 In Complex With Masp-2,3.1,121,151,12.4
18,4WMEA,2SNVA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.9,121,151,12.4
19,2HLCA,2SNVA,Hl Collagenase Structure At 1.7a Resolution,3.2,120,151,10.8
20,2R9PC,2SNVA,Human Mesotrypsin Complexed With Bovine Pancreatic Trypsin Inhibitor(Bpti),3.0,120,151,11.7
21,2W5ED,2SNVA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,3.3,120,151,14.2
22,3K6YA,2SNVA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.9,120,151,19.2
23,4ZROA,2SNVA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.8,120,151,12.5
24,1TE0B,2SNVA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,119,151,11.8
25,2IN2A,2SNVA,Nmr Structure Of The Apo Human Rhinovirus 3c Protease (Serotype 14),2.8,119,151,10.9
26,2J92A,2SNVA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.2,119,151,11.8
27,4MNWA,2SNVA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,3.0,119,151,10.1
28,3H7OB,2SNVA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),3.4,118,151,9.3
29,1QA7B,2SNVA,Crystal Complex Of The 3c Proteinase From Hepatitis A Virus With Its Inhibitor And Implications For The Polyprotein Processing In Hav,3.2,118,151,10.2
30,5HU6C,2SNVA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,3.0,118,151,10.2
31,3H7TA,2SNVA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),3.3,117,151,10.3
32,3U1IB,2SNVA,Dengue Virus Protease Covalently Bound To A Peptide,2.6,117,151,16.2
33,4AG2B,2SNVA,Human Chymase - Fynomer Complex,3.1,117,151,14.5
34,5AVDA,2SNVA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.7,117,151,13.7
35,1M9UA,2SNVA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.9,116,151,11.2
36,2OLGA,2SNVA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.4,116,151,12.1
37,2Z7FE,2SNVA,Crystal Structure Of The Complex Of Human Neutrophil Elastase With 12SLPI,2.9,116,151,16.4
38,1FIZA,2SNVA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.8,115,151,13.9
39,2QY0B,2SNVA,Active Dimeric Structure Of The Catalytic Domain Of C1r Reveals Enzyme-Product Like Contacts,3.0,115,151,11.3
40,5HM2E,2SNVA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.1,114,151,12.3
41,1WCZA,2SNVA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.7,109,151,16.5
