,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,1YM0A,Complex Of Thrombin With Designed Inhibitor 7165,1.5,231,238,32.5
1,2F91A,1YM0A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,231,238,42.0
2,1EAXA,1YM0A,Crystal Structure Of Mtsp1 (Matriptase),1.3,230,238,32.2
3,1FIZA,1YM0A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,229,238,31.4
4,4XSKU,1YM0A,"Structure Of Paitrap, An Upa Mutant",1.7,229,238,28.8
5,5AVDA,1YM0A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,228,238,30.3
6,4Z6AH,1YM0A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,228,238,34.2
7,1M9UA,1YM0A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,226,238,36.3
8,4MNWA,1YM0A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,226,238,29.6
9,3TVJB,1YM0A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,225,238,30.7
10,4FXGH,1YM0A,Complement C4 In Complex With Masp-2,1.7,224,238,30.4
11,2OQ5A,1YM0A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,223,238,33.6
12,1AZZA,1YM0A,Fiddler Crab Collagenase Complexed To Ecotin,1.6,221,238,35.3
13,4I8HA,1YM0A,Bovine Trypsin At 0.75 Resolution,1.4,221,238,38.0
14,2QXIA,1YM0A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,219,238,30.6
15,3BEUA,1YM0A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,219,238,31.1
16,3NXPA,1YM0A,Crystal Structure Of Human Prethrombin-1,2.0,219,238,32.9
