,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2F91A,1SGTA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,218,223,39.4
1,2OQ5A,1SGTA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,213,223,33.8
2,2QXIA,1SGTA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,210,223,31.9
3,4I8HA,1SGTA,Bovine Trypsin At 0.75 Resolution,1.4,209,223,34.4
4,5AVDA,1SGTA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,208,223,34.6
5,1AZZA,1SGTA,Fiddler Crab Collagenase Complexed To Ecotin,1.9,207,223,32.4
6,1EAXA,1SGTA,Crystal Structure Of Mtsp1 (Matriptase),1.5,207,223,33.8
7,2AIQA,1SGTA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.9,207,223,30.9
8,1EQ9A,1SGTA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,206,223,32.5
9,4Z6AH,1SGTA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.4,206,223,35.9
10,3TVJB,1SGTA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.6,205,223,34.6
11,4FXGH,1SGTA,Complement C4 In Complex With Masp-2,1.5,204,223,33.8
12,2XW9A,1SGTA,Crystal Structure Of Complement Factor D Mutant S183a,1.8,202,223,26.2
13,4WVPE,1SGTA,Crystal Structure Of An Activity-based Probe Hne Complex,2.3,201,223,25.4
14,1M9UA,1SGTA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,200,223,30.5
15,1VZQH,1SGTA,Complex Of Thrombin With Designed Inhibitor 7165,1.5,200,223,34.5
16,2B9LA,1SGTA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.4,198,223,30.3
17,1PQ7A,1SGTA,"Trypsin At 0.8 A, Ph5  BORAX",1.4,197,223,46.7
18,2HLCA,1SGTA,Hl Collagenase Structure At 1.7a Resolution,1.9,196,223,27.6
19,4MNWA,1SGTA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,195,223,30.3
20,4XSKU,1SGTA,"Structure Of Paitrap, An Upa Mutant",1.6,195,223,28.7
21,1DDJA,1SGTA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.2,194,223,33.0
22,1FIZA,1SGTA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,194,223,39.2
23,3H7OA,1SGTA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,194,223,26.3
24,3H7TA,1SGTA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,194,223,23.7
25,5HU6C,1SGTA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.1,194,223,24.2
26,4LK4A,1SGTA,Structure Of Vibrio Cholerae Vesb Protease,1.9,191,223,34.0
27,5EDKA,1SGTA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.4,190,223,33.7
28,5EDMA,1SGTA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,190,223,33.2
29,4AFQA,1SGTA,Human Chymase - Fynomer Complex,1.4,189,223,31.7
30,4A5TS,1SGTA,Structural Basis For The Conformational Modulation,2.1,187,223,34.8
31,3WY8A,1SGTA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,186,223,15.1
32,1WCZA,1SGTA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.4,182,223,14.3
33,2OLGA,1SGTA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,181,223,29.3
34,2XWBF,1SGTA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,181,223,26.5
35,1P3CA,1SGTA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,180,223,21.7
36,3NXPA,1SGTA,Crystal Structure Of Human Prethrombin-1,1.9,180,223,33.3
37,1AGJA,1SGTA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,178,223,15.7
38,3UFAA,1SGTA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.4,173,223,12.1
39,3F1SB,1SGTA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,170,223,21.8
40,3LGIB,1SGTA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,167,223,14.4
41,2XRCB,1SGTA,Human Complement Factor I,1.9,167,223,29.9
42,3WOKA,1SGTA,Crystal Structure Of The Dap Bii (space),2.4,163,223,17.2
43,1ARBA,1SGTA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,160,223,18.8
44,4FLNA,1SGTA,Crystal Structure Of Plant Protease Deg2,2.7,160,223,15.6
45,1L1JA,1SGTA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,156,223,19.9
46,1LVMA,1SGTA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,154,223,12.3
47,5HMAA,1SGTA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,154,223,18.8
48,5HM2E,1SGTA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.0,154,223,14.3
49,1TE0A,1SGTA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,153,223,14.4
50,3K6YA,1SGTA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,153,223,22.2
51,2Z9IA,1SGTA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.1,151,223,16.6
52,2J92A,1SGTA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.7,149,223,14.1
53,4RI0A,1SGTA,"Serine Protease Htra3, Mutationally Inactivated",2.0,145,223,16.6
54,4WMEA,1SGTA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,143,223,9.8
55,2XYAA,1SGTA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,142,223,14.1
56,2OUAA,1SGTA,Crystal Structure Of Nocardiopsis Protease (Napase),2.7,141,223,20.6
57,2HALA,1SGTA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.9,141,223,12.1
58,5BPEA,1SGTA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,141,223,13.5
59,1ZYOA,1SGTA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.3,140,223,15.0
60,2W5EA,1SGTA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.2,138,223,15.2
61,2H5CA,1SGTA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,133,223,15.8
62,1WYKA,1SGTA,Sindbis Virus Capsid Protein (114-264),3.3,130,223,13.1
63,2PKAB,1SGTA,Kallikrein A (E.C.3.4.21.8),2.3,126,223,27.0
64,4X2VB,1SGTA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.8,125,223,16.8
65,4XFQA,1SGTA,Crystal Structure Basis For Pedv 3c Like Protease,2.2,125,223,14.4
66,4ZROA,1SGTA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.1,124,223,12.1
67,5EU8A,1SGTA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.1,124,223,11.3
68,2QA9E,1SGTA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.2,122,223,21.3
69,5DGJA,1SGTA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,119,223,13.4
70,2QV1B,1SGTA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.5,118,223,11.9
71,1MBMB,1SGTA,Nsp4 Proteinase From Equine Arteritis Virus,2.3,116,223,19.0
72,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
73,3BEUA,2F91A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,217,237,36.4
74,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
75,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
76,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
77,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
78,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
79,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
80,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
81,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
82,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
83,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
84,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
85,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
86,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
87,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
88,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
89,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
90,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
91,3QO6B,1WYKA,Crystal Structure Analysis Of The Plant Protease Deg1,3.2,129,152,11.6
92,4NSYB,1WYKA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,3.5,129,152,10.9
93,1DUAA,1WYKA,Crystal Structure Of Exfoliative Toxin A,3.2,128,152,10.9
94,2AYWA,1WYKA,Crystal Structure Of The Complex Formed Between Trypsin And A Designed Synthetic Highly Potent Inhibitor In The Presence Of Benzamidine At 0.97 A Resolution,3.1,125,152,13.6
95,2R3UA,1WYKA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,3.0,125,152,12.8
96,1FY4A,1WYKA,Fusarium Oxysporum Trypsin At Atomic Resolution,3.1,122,152,16.4
97,1A5HA,1WYKA,Catalytic Domain Of Human Two-Chain Tissue Plasminogen Activator Complex Of A Bis-Benzamidine,3.0,119,152,14.3
98,2YOLA,1WYKA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.6,118,152,14.4
99,1FUJB,1WYKA,Pr3 (Myeloblastin),2.7,117,152,14.5
100,5ETXB,1WYKA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.8,116,152,15.5
101,1GVKB,1WYKA,Porcine Pancreatic Elastase Acyl Enzyme At 0.95 A Resolution,2.6,115,152,13.0
102,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
103,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
104,1CU1A,2QV1B,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,1.0,181,181,87.8
105,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
106,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
107,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
108,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
109,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
110,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
111,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
112,4FLNC,4INKA,Crystal Structure Of Plant Protease Deg2,1.7,154,205,23.4
113,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
114,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
