,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3TVJB,1HYLA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,218,230,30.3
1,1VZQH,1HYLA,Complex Of Thrombin With Designed Inhibitor 7165,2.0,217,230,29.0
2,4FXGH,1HYLA,Complement C4 In Complex With Masp-2,1.8,217,230,30.0
3,1PQ7A,1HYLA,"Trypsin At 0.8 A, Ph5  BORAX",2.0,214,230,28.5
4,2OQ5A,1HYLA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.8,214,230,29.4
5,3H7OA,1HYLA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,213,230,25.4
6,3H7TA,1HYLA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,213,230,25.8
7,5AVDA,1HYLA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.9,213,230,31.5
8,5EDMA,1HYLA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.5,213,230,29.6
9,1FIZA,1HYLA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,212,230,28.3
10,1EAXA,1HYLA,Crystal Structure Of Mtsp1 (Matriptase),1.7,212,230,34.0
11,4Z6AH,1HYLA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.9,211,230,30.3
12,1AZZA,1HYLA,Fiddler Crab Collagenase Complexed To Ecotin,1.3,209,230,38.8
13,3NXPA,1HYLA,Crystal Structure Of Human Prethrombin-1,2.5,209,230,30.1
14,1M9UA,1HYLA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,208,230,29.3
15,2QXIA,1HYLA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,208,230,28.8
16,1EQ9A,1HYLA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.5,207,230,34.8
17,4AFQA,1HYLA,Human Chymase - Fynomer Complex,1.6,206,230,29.1
18,2F91A,1HYLA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.6,204,230,31.9
19,4I8HA,1HYLA,Bovine Trypsin At 0.75 Resolution,1.4,204,230,32.4
20,2XW9A,1HYLA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,203,230,30.5
21,2AIQA,1HYLA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.0,202,230,23.8
22,4WVPE,1HYLA,Crystal Structure Of An Activity-based Probe Hne Complex,1.9,200,230,28.0
