,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,2RDLA,Human Chymase - Fynomer Complex,0.8,223,226,71.3
1,1EAXA,2RDLA,Crystal Structure Of Mtsp1 (Matriptase),1.5,218,226,27.1
2,1VZQH,2RDLA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,218,226,25.2
3,1AZZA,2RDLA,Fiddler Crab Collagenase Complexed To Ecotin,1.4,217,226,29.5
4,3TVJB,2RDLA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,217,226,26.3
5,4Z6AH,2RDLA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,217,226,28.1
6,5AVDA,2RDLA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,216,226,34.3
7,4XSKU,2RDLA,"Structure Of Paitrap, An Upa Mutant",1.8,216,226,28.7
8,2AIQA,2RDLA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,215,226,30.2
9,2QXIA,2RDLA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,215,226,33.0
10,4FXGH,2RDLA,Complement C4 In Complex With Masp-2,1.5,215,226,26.0
11,4I8HA,2RDLA,Bovine Trypsin At 0.75 Resolution,1.4,215,226,34.4
12,1FIZA,2RDLA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,214,226,29.9
13,2XW9A,2RDLA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,214,226,36.0
14,4MNWA,2RDLA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.9,214,226,29.0
15,3H7TA,2RDLA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.6,212,226,23.6
16,1M9UA,2RDLA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,211,226,28.4
17,1PQ7A,2RDLA,"Trypsin At 0.8 A, Ph5  BORAX",1.8,211,226,23.2
18,2F91A,2RDLA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,211,226,27.5
19,2OQ5A,2RDLA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,210,226,27.6
20,2HLCA,2RDLA,Hl Collagenase Structure At 1.7a Resolution,1.6,209,226,25.8
21,1EQ9A,2RDLA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.7,207,226,28.5
22,4WVPE,2RDLA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,207,226,35.7
23,3H7OA,2RDLA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,205,226,22.9
24,3NXPA,2RDLA,Crystal Structure Of Human Prethrombin-1,2.1,203,226,26.1
25,5EDKA,2RDLA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,202,226,25.7
26,2OLGA,2RDLA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,201,226,29.4
27,1DDJA,2RDLA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,197,226,34.5
28,5EDMA,2RDLA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,195,226,26.2
29,3BEUA,2RDLA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.4,194,226,26.3
30,5HU6C,2RDLA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,193,226,26.9
31,4A5TS,2RDLA,Structural Basis For The Conformational Modulation,1.8,187,226,36.9
32,3F1SB,2RDLA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,186,226,21.0
33,2B9LA,2RDLA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.9,183,226,26.2
34,4LK4A,2RDLA,Structure Of Vibrio Cholerae Vesb Protease,1.9,182,226,28.0
35,1WCZA,2RDLA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,181,226,13.8
36,1AGJA,2RDLA,Epidermolytic Toxin A From Staphylococcus Aureus,2.2,173,226,17.3
37,1P3CA,2RDLA,Glutamyl Endopeptidase From Bacillus Intermedius,1.9,173,226,16.8
38,2XRCB,2RDLA,Human Complement Factor I,2.0,170,226,24.1
39,4FLNA,2RDLA,Crystal Structure Of Plant Protease Deg2,2.7,169,226,16.6
40,3LGIB,2RDLA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,167,226,17.4
41,3WY8A,2RDLA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,165,226,14.5
42,1TE0A,2RDLA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,164,226,17.7
43,1L1JA,2RDLA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,158,226,22.2
44,2Z9IA,2RDLA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,158,226,15.2
45,3UFAA,2RDLA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.7,156,226,14.1
46,4RI0A,2RDLA,"Serine Protease Htra3, Mutationally Inactivated",2.4,156,226,19.9
47,5HMAA,2RDLA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,155,226,17.4
48,1ARBA,2RDLA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.3,152,226,17.8
49,3K6YA,2RDLA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.0,151,226,21.2
50,1ZYOA,2RDLA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,150,226,15.3
51,1LVMA,2RDLA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.7,150,226,14.0
52,2XYAA,2RDLA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,146,226,14.4
53,3WOKA,2RDLA,Crystal Structure Of The Dap Bii (space),2.2,144,226,16.0
54,5BPEA,2RDLA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,141,226,13.5
55,2HALA,2RDLA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.7,140,226,12.1
56,2J92A,2RDLA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.2,134,226,13.4
57,5HM2E,2RDLA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.3,133,226,11.3
58,2QA9E,2RDLA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.1,132,226,17.4
59,4WMEA,2RDLA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.1,130,226,11.5
60,2H5CA,2RDLA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.0,128,226,23.4
61,2W5EA,2RDLA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.0,126,226,14.3
62,2OUAA,2RDLA,Crystal Structure Of Nocardiopsis Protease (Napase),1.8,125,226,18.4
63,4X2VB,2RDLA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.5,123,226,13.8
64,5EU8A,2RDLA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.0,123,226,12.2
65,4XFQA,2RDLA,Crystal Structure Basis For Pedv 3c Like Protease,2.1,122,226,13.1
