,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1WCZA,1P3EA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,196,215,22.4
1,3WY8A,1P3EA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.1,193,215,19.7
2,1AGJA,1P3EA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,188,215,25.5
3,2HLCA,1P3EA,Hl Collagenase Structure At 1.7a Resolution,2.3,187,215,18.2
4,1EQ9A,1P3EA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.5,186,215,17.2
5,1AZZA,1P3EA,Fiddler Crab Collagenase Complexed To Ecotin,2.1,185,215,20.0
6,3H7OA,1P3EA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.7,184,215,14.7
7,4LK4A,1P3EA,Structure Of Vibrio Cholerae Vesb Protease,2.9,184,215,14.7
8,1EAXA,1P3EA,Crystal Structure Of Mtsp1 (Matriptase),2.5,182,215,15.4
9,3UFAA,1P3EA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.1,181,215,22.1
10,2AIQA,1P3EA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.4,178,215,19.7
11,5HU6C,1P3EA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,3.0,178,215,14.6
12,2OQ5A,1P3EA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.2,177,215,15.8
13,3H7TA,1P3EA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,177,215,18.1
14,4WVPE,1P3EA,Crystal Structure Of An Activity-based Probe Hne Complex,2.3,177,215,15.8
15,1PQ7A,1P3EA,"Trypsin At 0.8 A, Ph5  BORAX",2.1,176,215,19.9
16,1M9UA,1P3EA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.1,175,215,20.6
17,3BEUA,1P3EA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.0,175,215,21.1
18,4AFQA,1P3EA,Human Chymase - Fynomer Complex,2.1,175,215,19.4
19,2XW9A,1P3EA,Crystal Structure Of Complement Factor D Mutant S183a,2.2,173,215,14.5
20,2QXIA,1P3EA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.1,172,215,16.3
21,4Z6AH,1P3EA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.2,172,215,15.7
22,1FIZA,1P3EA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.2,171,215,16.4
23,3NXPA,1P3EA,Crystal Structure Of Human Prethrombin-1,3.0,171,215,13.5
24,4I8HA,1P3EA,Bovine Trypsin At 0.75 Resolution,2.0,171,215,18.7
25,2F91A,1P3EA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.2,169,215,13.0
