,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2AIQA,1OP0A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.1,226,234,69.5
1,4I8HA,1OP0A,Bovine Trypsin At 0.75 Resolution,1.4,221,234,41.2
2,4Z6AH,1OP0A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,221,234,32.6
3,1VZQH,1OP0A,Complex Of Thrombin With Designed Inhibitor 7165,1.6,220,234,34.1
4,2QXIA,1OP0A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.8,220,234,36.4
5,3TVJB,1OP0A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.9,219,234,30.6
6,1M9UA,1OP0A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.9,218,234,26.1
7,3H7TA,1OP0A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,218,234,23.4
8,1AZZA,1OP0A,Fiddler Crab Collagenase Complexed To Ecotin,1.9,217,234,34.6
9,1EAXA,1OP0A,Crystal Structure Of Mtsp1 (Matriptase),1.4,217,234,33.6
10,2F91A,1OP0A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.7,217,234,31.8
11,4FXGH,1OP0A,Complement C4 In Complex With Masp-2,1.7,214,234,29.4
12,5AVDA,1OP0A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,214,234,31.8
13,4AFQA,1OP0A,Human Chymase - Fynomer Complex,1.6,213,234,33.3
14,5EDMA,1OP0A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,212,234,34.9
15,1FIZA,1OP0A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,211,234,33.6
16,1EQ9A,1OP0A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.8,210,234,24.8
17,2XW9A,1OP0A,Crystal Structure Of Complement Factor D Mutant S183a,1.7,210,234,30.5
18,2OQ5A,1OP0A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,208,234,32.2
19,3BEUA,1OP0A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.9,208,234,29.3
20,2HLCA,1OP0A,Hl Collagenase Structure At 1.7a Resolution,2.2,207,234,28.5
21,1PQ7A,1OP0A,"Trypsin At 0.8 A, Ph5  BORAX",1.7,207,234,30.9
22,3H7OA,1OP0A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,205,234,22.9
23,4WVPE,1OP0A,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,204,234,27.9
24,5EDKA,1OP0A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,200,234,36.5
25,3NXPA,1OP0A,Crystal Structure Of Human Prethrombin-1,2.0,199,234,36.7
26,4A5TS,1OP0A,Structural Basis For The Conformational Modulation,2.1,199,234,35.7
27,2OLGA,1OP0A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.9,198,234,29.3
28,1DDJA,1OP0A,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,197,234,36.0
29,4MNWA,1OP0A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,195,234,32.3
30,4XSKU,1OP0A,"Structure Of Paitrap, An Upa Mutant",1.7,193,234,32.1
31,2B9LA,1OP0A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,192,234,30.2
32,3F1SB,1OP0A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,192,234,16.7
33,2XWBF,1OP0A,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,191,234,24.6
34,4LK4A,1OP0A,Structure Of Vibrio Cholerae Vesb Protease,2.1,190,234,25.8
35,3WY8A,1OP0A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,183,234,14.2
36,5HU6C,1OP0A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,183,234,29.5
