,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3UFAA,2VIDA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.3,189,204,49.7
1,1WCZA,2VIDA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,187,204,28.3
2,1P3CA,2VIDA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,183,204,27.9
3,1AGJA,2VIDA,Epidermolytic Toxin A From Staphylococcus Aureus,2.2,176,204,30.7
4,3BEUA,2VIDA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.3,172,204,17.4
5,2F91A,2VIDA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.4,170,204,21.2
6,3WY8A,2VIDA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.4,169,204,17.2
7,1AZZA,2VIDA,Fiddler Crab Collagenase Complexed To Ecotin,1.9,168,204,17.3
8,4Z6AH,2VIDA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.3,164,204,10.4
9,1M9UA,2VIDA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.0,163,204,15.3
10,1EAXA,2VIDA,Crystal Structure Of Mtsp1 (Matriptase),2.1,162,204,17.3
11,3H7OA,2VIDA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.4,162,204,16.0
12,2OQ5A,2VIDA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.9,161,204,14.3
13,4XSKU,2VIDA,"Structure Of Paitrap, An Upa Mutant",2.1,161,204,12.4
14,3H7TA,2VIDA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,160,204,18.1
15,4LK4A,2VIDA,Structure Of Vibrio Cholerae Vesb Protease,2.1,160,204,16.2
16,4WVPE,2VIDA,Crystal Structure Of An Activity-based Probe Hne Complex,2.0,160,204,15.0
17,2HLCA,2VIDA,Hl Collagenase Structure At 1.7a Resolution,2.1,159,204,17.0
18,1EQ9A,2VIDA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.9,159,204,17.0
19,1PQ7A,2VIDA,"Trypsin At 0.8 A, Ph5  BORAX",2.0,159,204,21.4
20,2AIQA,2VIDA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.1,159,204,13.8
