,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1M9UA,1ARCA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.9,178,268,18.5
1,1EQ9A,1ARCA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.7,177,268,16.9
2,2F91A,1ARCA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",3.0,175,268,14.3
3,2QXIA,1ARCA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.9,174,268,19.0
4,3TVJB,1ARCA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.9,173,268,17.3
5,1FIZA,1ARCA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.9,172,268,12.2
6,3H7OA,1ARCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.7,172,268,14.0
7,1PQ7A,1ARCA,"Trypsin At 0.8 A, Ph5  BORAX",2.7,171,268,17.0
8,2OQ5A,1ARCA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.6,171,268,15.2
9,4A5TS,1ARCA,Structural Basis For The Conformational Modulation,3.3,171,268,16.4
10,5AVDA,1ARCA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,170,268,14.1
11,2HLCA,1ARCA,Hl Collagenase Structure At 1.7a Resolution,2.9,168,268,14.3
12,1EAXA,1ARCA,Crystal Structure Of Mtsp1 (Matriptase),2.7,168,268,15.5
13,3H7TA,1ARCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.9,168,268,11.3
14,4FXGH,1ARCA,Complement C4 In Complex With Masp-2,3.0,168,268,16.7
15,4WVPE,1ARCA,Crystal Structure Of An Activity-based Probe Hne Complex,2.7,168,268,16.1
16,4Z6AH,1ARCA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.6,168,268,14.3
17,5HU6C,1ARCA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.5,168,268,13.1
18,3LGIB,1ARCA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,167,268,15.0
19,3WOKA,1ARCA,Crystal Structure Of The Dap Bii (space),2.6,167,268,16.8
20,4FLNA,1ARCA,Crystal Structure Of Plant Protease Deg2,2.6,166,268,10.8
21,1L1JA,1ARCA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,165,268,14.5
22,3BEUA,1ARCA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,3.1,165,268,18.8
23,4RI0A,1ARCA,"Serine Protease Htra3, Mutationally Inactivated",2.9,165,268,15.2
24,1AZZA,1ARCA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,164,268,18.3
25,2AIQA,1ARCA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.8,164,268,19.5
26,3K6YA,1ARCA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.6,164,268,13.4
27,1AGJA,1ARCA,Epidermolytic Toxin A From Staphylococcus Aureus,2.9,163,268,16.0
28,4AFQA,1ARCA,Human Chymase - Fynomer Complex,2.7,162,268,15.4
29,3WY8A,1ARCA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,162,268,16.0
30,1P3CA,1ARCA,Glutamyl Endopeptidase From Bacillus Intermedius,2.6,161,268,13.7
31,1SSXA,1ARCA,0.83a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 8,2.8,161,268,16.8
32,2XW9A,1ARCA,Crystal Structure Of Complement Factor D Mutant S183a,2.7,161,268,15.5
33,5EDKA,1ARCA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),3.0,161,268,16.1
34,4I8HA,1ARCA,Bovine Trypsin At 0.75 Resolution,2.6,159,268,17.0
35,2QA9E,1ARCA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,3.1,157,268,19.1
36,5EDMA,1ARCA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.8,157,268,16.6
37,2B9LA,1ARCA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.7,156,268,18.6
38,2OLGA,1ARCA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.8,156,268,15.4
39,5HMAA,1ARCA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.6,155,268,13.5
40,1DDJA,1ARCA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.9,154,268,18.2
41,1WCZA,1ARCA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.7,153,268,17.6
42,2Z9IA,1ARCA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,153,268,13.7
43,3NXPA,1ARCA,Crystal Structure Of Human Prethrombin-1,2.5,152,268,16.4
44,1TE0A,1ARCA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,151,268,13.9
45,4MNWA,1ARCA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.4,150,268,16.7
46,4WMEA,1ARCA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.9,150,268,10.0
47,5EU8A,1ARCA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,3.1,150,268,10.0
48,1VZQH,1ARCA,Complex Of Thrombin With Designed Inhibitor 7165,2.6,149,268,17.4
49,5BPEA,1ARCA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.5,149,268,15.4
