,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OQ5A,1GVZA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.2,211,237,26.5
1,4I8HA,1GVZA,Bovine Trypsin At 0.75 Resolution,1.7,211,237,36.5
2,4MNWA,1GVZA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.3,211,237,28.4
3,4XSKU,1GVZA,"Structure Of Paitrap, An Upa Mutant",2.4,211,237,28.0
4,1EAXA,1GVZA,Crystal Structure Of Mtsp1 (Matriptase),1.8,210,237,28.6
5,1FIZA,1GVZA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.9,209,237,30.1
6,5AVDA,1GVZA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.7,209,237,33.0
7,2XW9A,1GVZA,Crystal Structure Of Complement Factor D Mutant S183a,1.8,208,237,35.6
8,2F91A,1GVZA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.8,207,237,30.0
9,2QXIA,1GVZA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,207,237,41.1
10,3H7TA,1GVZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.5,206,237,22.8
11,4FXGH,1GVZA,Complement C4 In Complex With Masp-2,1.9,206,237,28.2
12,1M9UA,1GVZA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,205,237,26.8
13,2AIQA,1GVZA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.0,205,237,34.6
14,4AFQA,1GVZA,Human Chymase - Fynomer Complex,1.7,205,237,39.0
15,1AZZA,1GVZA,Fiddler Crab Collagenase Complexed To Ecotin,1.8,204,237,34.8
16,1DDJA,1GVZA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.1,204,237,37.3
17,1VZQH,1GVZA,Complex Of Thrombin With Designed Inhibitor 7165,1.8,204,237,29.4
18,4Z6AH,1GVZA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,204,237,34.3
19,3NXPA,1GVZA,Crystal Structure Of Human Prethrombin-1,2.3,203,237,26.1
20,1EQ9A,1GVZA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.9,202,237,28.7
21,1PQ7A,1GVZA,"Trypsin At 0.8 A, Ph5  BORAX",1.9,202,237,26.2
22,3H7OA,1GVZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.4,201,237,27.4
