,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OQ5A,1ZYOA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.8,166,191,16.3
1,1PQ7A,1ZYOA,"Trypsin At 0.8 A, Ph5  BORAX",2.6,165,191,16.4
2,1P3CA,1ZYOA,Glutamyl Endopeptidase From Bacillus Intermedius,2.9,165,191,19.4
3,4I8HA,1ZYOA,Bovine Trypsin At 0.75 Resolution,2.8,165,191,14.5
4,5AVDA,1ZYOA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,165,191,14.5
5,2HLCA,1ZYOA,Hl Collagenase Structure At 1.7a Resolution,2.8,164,191,14.0
6,1EAXA,1ZYOA,Crystal Structure Of Mtsp1 (Matriptase),2.7,164,191,15.2
7,1EQ9A,1ZYOA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.7,163,191,12.9
8,3H7TA,1ZYOA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.9,163,191,9.8
9,4Z6AH,1ZYOA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.8,163,191,12.3
10,1AZZA,1ZYOA,Fiddler Crab Collagenase Complexed To Ecotin,2.7,162,191,16.7
11,4WVPE,1ZYOA,Crystal Structure Of An Activity-based Probe Hne Complex,2.5,162,191,13.6
12,2XW9A,1ZYOA,Crystal Structure Of Complement Factor D Mutant S183a,2.7,161,191,13.0
13,3WOKA,1ZYOA,Crystal Structure Of The Dap Bii (space),3.2,161,191,13.7
14,5HMAA,1ZYOA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),3.1,161,191,14.3
15,1FIZA,1ZYOA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.5,160,191,17.5
16,4FXGH,1ZYOA,Complement C4 In Complex With Masp-2,2.7,160,191,15.0
17,3WY8A,1ZYOA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.1,160,191,13.1
18,2QXIA,1ZYOA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.8,159,191,18.2
19,1DDJA,1ZYOA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.7,158,191,13.3
20,1M9UA,1ZYOA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.5,158,191,15.2
21,1VZQH,1ZYOA,Complex Of Thrombin With Designed Inhibitor 7165,2.4,158,191,13.9
22,2F91A,1ZYOA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.7,158,191,13.3
23,2AIQA,1ZYOA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.7,157,191,17.2
24,3UFAA,1ZYOA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.6,157,191,19.1
25,2OLGA,1ZYOA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.6,155,191,14.2
26,1AGJA,1ZYOA,Epidermolytic Toxin A From Staphylococcus Aureus,3.2,154,191,16.2
27,3NXPA,1ZYOA,Crystal Structure Of Human Prethrombin-1,2.9,154,191,15.6
28,3TVJB,1ZYOA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.5,154,191,15.6
29,4A5TS,1ZYOA,Structural Basis For The Conformational Modulation,2.7,154,191,14.9
30,5HU6C,1ZYOA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.7,152,191,13.2
31,2W5EA,1ZYOA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.9,148,191,18.9
32,3H7OA,1ZYOA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.9,148,191,13.5
33,1ARBA,1ZYOA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,147,191,16.3
34,4AFQA,1ZYOA,Human Chymase - Fynomer Complex,2.5,147,191,15.0
35,4MNWA,1ZYOA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.4,147,191,15.0
36,5EDKA,1ZYOA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.8,147,191,13.6
37,5EDMA,1ZYOA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.6,147,191,15.0
38,1WCZA,1ZYOA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.6,146,191,21.9
39,3K6YA,1ZYOA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.8,146,191,18.5
40,2XYAA,1ZYOA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.3,145,191,12.4
41,4XSKU,1ZYOA,"Structure Of Paitrap, An Upa Mutant",2.2,145,191,14.5
42,4LK4A,1ZYOA,Structure Of Vibrio Cholerae Vesb Protease,2.6,144,191,17.4
43,3F1SB,1ZYOA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.7,141,191,7.1
44,3BEUA,1ZYOA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.3,140,191,15.7
45,2OUAA,1ZYOA,Crystal Structure Of Nocardiopsis Protease (Napase),3.0,138,191,15.2
46,1TE0A,1ZYOA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,137,191,18.2
47,2B9LA,1ZYOA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,3.0,137,191,14.6
48,3M7UA,1ZYOA,Crystal Structure Of Alpha-Lytic Protease Sb1+2 R64aE182Q MUTANT,2.9,137,191,10.2
49,4WMEA,1ZYOA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,3.3,135,191,9.6
50,3MMGB,1ZYOA,Crystal Structure Of Tobacco Vein Mottling Virus Protease,2.9,134,191,15.7
51,5BPEA,1ZYOA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,3.0,134,191,14.9
52,5HM2E,1ZYOA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,134,191,10.4
53,4RI0A,1ZYOA,"Serine Protease Htra3, Mutationally Inactivated",2.5,132,191,13.6
54,3LGIB,1ZYOA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,131,191,17.6
55,1L1JA,1ZYOA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,130,191,18.5
56,2QA9E,1ZYOA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,3.0,129,191,22.5
57,2XRCB,1ZYOA,Human Complement Factor I,2.2,126,191,19.0
58,2QV1B,1ZYOA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.5,125,191,14.4
59,5EPNA,1ZYOA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.4,125,191,14.4
60,5EQQA,1ZYOA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.3,125,191,13.6
61,5ETXC,1ZYOA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.4,125,191,15.2
62,1MBMB,1ZYOA,Nsp4 Proteinase From Equine Arteritis Virus,2.6,124,191,17.7
63,5EPYA,1ZYOA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.3,124,191,13.7
64,2YOLA,1ZYOA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.6,123,191,12.2
65,5EU8A,1ZYOA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.8,123,191,17.1
66,5DGJA,1ZYOA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.8,122,191,13.9
67,4XFQA,1ZYOA,Crystal Structure Basis For Pedv 3c Like Protease,2.6,120,191,14.2
68,4X2VB,1ZYOA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.7,119,191,18.5
69,1WYKA,1ZYOA,Sindbis Virus Capsid Protein (114-264),2.3,116,191,17.2
70,2HRVB,1ZYOA,2a Cysteine Proteinase From Human Rhinovirus 2,2.5,114,191,14.0
71,2HALA,1ZYOA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.4,113,191,16.8
72,4ZROA,1ZYOA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.4,113,191,18.6
73,4FVBA,1ZYOA,Crystal Structure Of Ev71 2a Proteinase C110a Mutant,2.1,102,191,12.7
74,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
75,2Z9IA,1P3CA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,164,215,18.3
76,4FLNA,1P3CA,Crystal Structure Of Plant Protease Deg2,2.2,163,215,17.2
77,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
78,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
79,2XWBF,3H7TA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.0,189,235,20.1
80,2J92A,5HMAA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,168,191,16.7
81,1LVMA,5HMAA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,162,191,16.0
82,2H5CA,5HMAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,156,191,14.1
83,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
84,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
85,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
86,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
87,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
88,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
89,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
90,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
91,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
