,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4XSKU,1ELCA,"Structure Of Paitrap, An Upa Mutant",1.5,235,240,29.8
1,1FIZA,1ELCA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,233,240,33.5
2,4MNWA,1ELCA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,233,240,30.5
3,1EAXA,1ELCA,Crystal Structure Of Mtsp1 (Matriptase),1.1,226,240,34.5
4,1VZQH,1ELCA,Complex Of Thrombin With Designed Inhibitor 7165,1.5,225,240,31.6
5,2F91A,1ELCA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.1,225,240,35.1
6,2OQ5A,1ELCA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.4,225,240,32.0
7,4Z6AH,1ELCA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.2,225,240,33.8
8,3TVJB,1ELCA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,223,240,31.8
9,2XW9A,1ELCA,Crystal Structure Of Complement Factor D Mutant S183a,1.1,222,240,33.3
10,1AZZA,1ELCA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,221,240,34.8
11,2QXIA,1ELCA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,221,240,29.9
12,4FXGH,1ELCA,Complement C4 In Complex With Masp-2,1.7,220,240,31.8
13,4I8HA,1ELCA,Bovine Trypsin At 0.75 Resolution,1.2,220,240,38.6
14,1M9UA,1ELCA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,219,240,36.5
15,4AFQA,1ELCA,Human Chymase - Fynomer Complex,1.7,218,240,35.3
16,5EDMA,1ELCA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,216,240,30.6
17,2HLCA,1ELCA,Hl Collagenase Structure At 1.7a Resolution,1.9,215,240,31.2
18,1EQ9A,1ELCA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,214,240,35.0
19,3NXPA,1ELCA,Crystal Structure Of Human Prethrombin-1,2.3,214,240,31.8
20,1PQ7A,1ELCA,"Trypsin At 0.8 A, Ph5  BORAX",1.3,213,240,30.5
21,2AIQA,1ELCA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.6,213,240,32.9
22,1DDJA,1ELCA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,211,240,38.9
23,3H7TA,1ELCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,210,240,24.3
24,4WVPE,1ELCA,Crystal Structure Of An Activity-based Probe Hne Complex,1.3,210,240,39.5
25,5EDKA,1ELCA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,210,240,31.0
26,4A5TS,1ELCA,Structural Basis For The Conformational Modulation,1.5,208,240,38.9
27,2OLGA,1ELCA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,206,240,30.1
28,3H7OA,1ELCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,205,240,26.8
29,2B9LA,1ELCA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.7,202,240,27.7
30,3F1SB,1ELCA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,202,240,19.8
31,5HU6C,1ELCA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.0,196,240,28.6
32,3BEUA,1ELCA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.3,195,240,36.4
33,4LK4A,1ELCA,Structure Of Vibrio Cholerae Vesb Protease,1.8,186,240,30.6
34,1WCZA,1ELCA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,181,240,13.3
35,2XRCB,1ELCA,Human Complement Factor I,2.1,180,240,29.4
36,3WY8A,1ELCA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,179,240,15.1
37,3LGIB,1ELCA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,173,240,11.6
38,1ARBA,1ELCA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,167,240,14.4
39,1AGJA,1ELCA,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,165,240,13.3
40,1TE0A,1ELCA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,165,240,11.5
41,5HM2E,1ELCA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,165,240,10.9
42,4FLNA,1ELCA,Crystal Structure Of Plant Protease Deg2,2.7,164,240,15.9
43,4RI0A,1ELCA,"Serine Protease Htra3, Mutationally Inactivated",2.6,163,240,13.5
44,1P3CA,1ELCA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,161,240,17.4
45,2J92A,1ELCA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,161,240,11.2
46,2Z9IA,1ELCA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,161,240,17.4
47,1L1JA,1ELCA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,160,240,12.5
48,1ZYOA,1ELCA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,160,240,14.4
