,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5BPEA,1CQQA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,1.0,179,180,49.2
1,5HM2E,1CQQA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.0,169,180,17.2
2,2J92A,1CQQA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),1.9,168,180,17.9
3,1L1JA,1CQQA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,165,180,14.5
4,2HALA,1CQQA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,1.9,165,180,21.2
5,5HMAA,1CQQA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,161,180,14.3
6,2Z9IA,1CQQA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.7,160,180,13.1
7,3K6YA,1CQQA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.9,158,180,13.3
8,3LGIB,1CQQA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,156,180,12.8
9,4FLNA,1CQQA,Crystal Structure Of Plant Protease Deg2,2.9,155,180,9.7
10,1AGJA,1CQQA,Epidermolytic Toxin A From Staphylococcus Aureus,2.9,154,180,11.7
11,1TE0A,1CQQA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",3.0,154,180,11.7
12,1ARBA,1CQQA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.5,152,180,17.8
13,2QA9E,1CQQA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.9,151,180,13.2
14,1PQ7A,1CQQA,"Trypsin At 0.8 A, Ph5  BORAX",2.8,150,180,16.0
15,2H5CA,1CQQA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.9,150,180,10.0
16,2OLGA,1CQQA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.1,150,180,15.3
17,2OQ5A,1CQQA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.0,150,180,12.0
18,1LVMA,1CQQA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.4,150,180,14.0
19,1WCZA,1CQQA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.6,148,180,14.9
20,2W5EA,1CQQA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.7,148,180,19.6
21,3H7OA,1CQQA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.8,148,180,12.8
22,3H7TA,1CQQA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.8,148,180,10.8
23,4RI0A,1CQQA,"Serine Protease Htra3, Mutationally Inactivated",2.9,148,180,12.8
24,2OUAA,1CQQA,Crystal Structure Of Nocardiopsis Protease (Napase),2.7,146,180,12.3
25,4AFQA,1CQQA,Human Chymase - Fynomer Complex,2.8,146,180,15.8
26,5HU6C,1CQQA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.9,146,180,6.8
27,1EAXA,1CQQA,Crystal Structure Of Mtsp1 (Matriptase),2.7,144,180,12.5
28,1M9UA,1CQQA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.7,144,180,12.5
29,2AIQA,1CQQA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.6,143,180,18.2
30,5AVDA,1CQQA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,143,180,11.2
31,4XSKU,1CQQA,"Structure Of Paitrap, An Upa Mutant",2.9,143,180,16.8
32,5DGJA,1CQQA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,143,180,14.7
33,1DDJA,1CQQA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.9,142,180,14.1
34,4I8HA,1CQQA,Bovine Trypsin At 0.75 Resolution,2.8,142,180,16.2
35,1AZZA,1CQQA,Fiddler Crab Collagenase Complexed To Ecotin,2.5,141,180,12.8
36,4MNWA,1CQQA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.8,141,180,17.0
37,4WVPE,1CQQA,Crystal Structure Of An Activity-based Probe Hne Complex,2.5,141,180,14.9
38,3UFAA,1CQQA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.8,140,180,12.9
39,3WY8A,1CQQA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,140,180,7.9
40,1P3CA,1CQQA,Glutamyl Endopeptidase From Bacillus Intermedius,2.6,139,180,16.5
41,3BEUA,1CQQA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.5,139,180,15.1
42,2XW9A,1CQQA,Crystal Structure Of Complement Factor D Mutant S183a,2.7,137,180,13.1
43,3WOOA,1CQQA,Crystal Structure Of The Dap Bii Hexapeptide Complex I,2.8,137,180,10.9
44,5EU8A,1CQQA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,137,180,13.9
45,2F91A,1CQQA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.5,136,180,14.7
46,2QXIA,1CQQA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.4,136,180,16.2
47,4WMEA,1CQQA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.5,136,180,14.0
48,4XFQA,1CQQA,Crystal Structure Basis For Pedv 3c Like Protease,2.6,135,180,12.6
49,2HLCA,1CQQA,Hl Collagenase Structure At 1.7a Resolution,2.5,134,180,9.0
50,4LK4A,1CQQA,Structure Of Vibrio Cholerae Vesb Protease,2.5,134,180,15.7
51,4ZROA,1CQQA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.5,132,180,14.4
52,4Z6AH,1CQQA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.6,132,180,15.9
53,1ZYOA,1CQQA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,131,180,13.7
54,1EQ9A,1CQQA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.6,130,180,15.4
55,1VZQH,1CQQA,Complex Of Thrombin With Designed Inhibitor 7165,2.6,130,180,16.2
56,3F1SB,1CQQA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.6,127,180,15.0
57,4FXGH,1CQQA,Complement C4 In Complex With Masp-2,2.4,127,180,17.3
58,3NXPA,1CQQA,Crystal Structure Of Human Prethrombin-1,2.5,126,180,17.5
59,4X2VB,1CQQA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.4,125,180,13.6
60,1FIZA,1CQQA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.3,124,180,16.9
61,5EDMA,1CQQA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,124,180,16.9
62,2GGVB,1CQQA,"Crystal Structure Of The West Nile Virus Ns2b-Ns3 Protease, His51ala Mutant",2.5,118,180,8.5
63,2QV1B,1CQQA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.3,117,180,15.4
64,3TVJB,1CQQA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.0,117,180,18.8
65,2SNWA,1CQQA,"Sindbis Virus Capsid Protein, Type3 Crystal Form",3.0,115,180,13.9
66,5EPNA,1CQQA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.2,114,180,14.9
