,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,1TONA,Human Chymase - Fynomer Complex,1.4,217,235,34.6
1,2F91A,1TONA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.9,215,235,33.0
2,2QXIA,1TONA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,214,235,44.4
3,4FXGH,1TONA,Complement C4 In Complex With Masp-2,1.6,212,235,31.1
4,2AIQA,1TONA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.3,211,235,38.4
5,4I8HA,1TONA,Bovine Trypsin At 0.75 Resolution,1.2,211,235,43.6
6,5AVDA,1TONA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,211,235,31.8
7,4Z6AH,1TONA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.7,211,235,36.0
8,1AZZA,1TONA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,210,235,35.2
9,1EAXA,1TONA,Crystal Structure Of Mtsp1 (Matriptase),1.4,209,235,33.5
10,1VZQH,1TONA,Complex Of Thrombin With Designed Inhibitor 7165,1.5,209,235,30.6
11,3H7TA,1TONA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,208,235,23.6
12,3TVJB,1TONA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,208,235,31.7
13,1FIZA,1TONA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,207,235,34.8
14,2XW9A,1TONA,Crystal Structure Of Complement Factor D Mutant S183a,1.3,207,235,36.2
15,1M9UA,1TONA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,206,235,28.6
16,1PQ7A,1TONA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,206,235,32.0
17,2OQ5A,1TONA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.6,204,235,33.3
18,1EQ9A,1TONA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,201,235,31.8
19,5EDMA,1TONA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,200,235,30.5
20,2B9LA,1TONA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.3,199,235,31.2
21,3BEUA,1TONA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,199,235,28.6
22,2HLCA,1TONA,Hl Collagenase Structure At 1.7a Resolution,1.9,198,235,25.3
23,3H7OA,1TONA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,196,235,27.6
24,4WVPE,1TONA,Crystal Structure Of An Activity-based Probe Hne Complex,1.4,196,235,33.7
25,2OLGA,1TONA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,195,235,30.8
26,5EDKA,1TONA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,194,235,32.0
27,4XSKU,1TONA,"Structure Of Paitrap, An Upa Mutant",1.7,194,235,36.1
28,3NXPA,1TONA,Crystal Structure Of Human Prethrombin-1,2.0,193,235,31.6
29,4A5TS,1TONA,Structural Basis For The Conformational Modulation,1.8,192,235,41.1
30,4MNWA,1TONA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,191,235,36.6
31,1DDJA,1TONA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.7,189,235,40.7
32,3WY8A,1TONA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,186,235,12.4
33,4LK4A,1TONA,Structure Of Vibrio Cholerae Vesb Protease,2.2,185,235,27.6
34,5HU6C,1TONA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,182,235,28.0
35,3F1SB,1TONA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,179,235,25.1
36,1WCZA,1TONA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,170,235,12.9
37,4FLNA,1TONA,Crystal Structure Of Plant Protease Deg2,2.7,169,235,14.2
38,1P3CA,1TONA,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,168,235,17.9
39,3LGIB,1TONA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.5,165,235,21.2
40,1AGJA,1TONA,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,160,235,18.1
41,1ZYOA,1TONA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,159,235,17.0
42,3K6YA,1TONA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,159,235,21.4
43,1ARBA,1TONA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,157,235,17.2
