,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
1,1L1JA,1LVMA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,3.3,171,229,12.3
2,2HALA,1LVMA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.7,170,229,14.7
3,5HM2E,1LVMA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,166,229,13.9
4,1TE0B,1LVMA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",3.4,163,229,13.5
5,2J92A,1LVMA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.5,163,229,14.7
6,3LGIB,1LVMA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.2,162,229,14.2
7,4FLNA,1LVMA,Crystal Structure Of Plant Protease Deg2,3.0,162,229,11.1
8,5HMAA,1LVMA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),3.1,162,229,16.0
9,2Z9IA,1LVMA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.9,161,229,12.4
10,1AGJA,1LVMA,Epidermolytic Toxin A From Staphylococcus Aureus,2.9,159,229,20.1
11,3K6YA,1LVMA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.7,158,229,12.7
12,2F91A,1LVMA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",3.2,157,229,10.8
13,3H7TA,1LVMA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),3.2,156,229,11.5
14,3WY8A,1LVMA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.0,156,229,9.6
15,3UFAA,1LVMA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.8,155,229,17.4
16,3BEUA,1LVMA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,3.2,154,229,12.3
17,4LK4A,1LVMA,Structure Of Vibrio Cholerae Vesb Protease,3.3,153,229,17.0
18,5AVDA,1LVMA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,3.0,153,229,13.7
19,1AZZA,1LVMA,Fiddler Crab Collagenase Complexed To Ecotin,2.8,152,229,17.8
20,3NXPA,1LVMA,Crystal Structure Of Human Prethrombin-1,3.6,152,229,15.8
21,1M9UA,1LVMA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,3.0,151,229,10.6
22,1VZQH,1LVMA,Complex Of Thrombin With Designed Inhibitor 7165,3.2,151,229,15.9
23,4FXGH,1LVMA,Complement C4 In Complex With Masp-2,3.0,150,229,14.0
24,5BPEA,1LVMA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,150,229,15.3
25,1FIZA,1LVMA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.9,149,229,14.8
26,2AIQA,1LVMA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.9,149,229,13.4
27,2QXIA,1LVMA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.9,149,229,14.8
28,4AFQA,1LVMA,Human Chymase - Fynomer Complex,2.8,149,229,13.4
29,4I8HA,1LVMA,Bovine Trypsin At 0.75 Resolution,3.0,149,229,12.1
30,4Z6AH,1LVMA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,3.1,149,229,13.4
31,4MNWA,1LVMA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,3.2,148,229,14.9
32,1EQ9A,1LVMA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,3.0,147,229,12.9
33,1PQ7A,1LVMA,"Trypsin At 0.8 A, Ph5  BORAX",2.8,147,229,12.2
34,1WQSA,1LVMA,Crystal Structure Of Norovirus 3c-Like Protease,3.2,147,229,13.6
35,2XYAA,1LVMA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.4,147,229,14.3
36,3TVJB,1LVMA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.8,147,229,13.6
37,4XSKU,1LVMA,"Structure Of Paitrap, An Upa Mutant",3.1,147,229,14.3
38,2HLCA,1LVMA,Hl Collagenase Structure At 1.7a Resolution,2.7,146,229,13.7
39,1ARBA,1LVMA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,146,229,13.0
40,5DGJA,1LVMA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",3.1,146,229,13.7
41,2W5EA,1LVMA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.8,145,229,16.6
42,4WVPE,1LVMA,Crystal Structure Of An Activity-based Probe Hne Complex,2.7,144,229,14.6
43,1EAXA,1LVMA,Crystal Structure Of Mtsp1 (Matriptase),2.8,143,229,11.2
44,1P3CA,1LVMA,Glutamyl Endopeptidase From Bacillus Intermedius,2.9,143,229,18.9
45,3H7OA,1LVMA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.8,143,229,14.7
46,2OLGA,1LVMA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.1,142,229,14.8
47,5HU6C,1LVMA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,3.0,142,229,11.3
48,2OQ5A,1LVMA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.0,141,229,11.3
49,2XW9A,1LVMA,Crystal Structure Of Complement Factor D Mutant S183a,2.9,141,229,12.8
