,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
1,4XSKU,1FIZA,"Structure Of Paitrap, An Upa Mutant",2.0,237,263,30.8
2,1VZQH,1FIZA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,233,263,34.3
3,1EAXA,1FIZA,Crystal Structure Of Mtsp1 (Matriptase),1.2,232,263,34.9
4,5AVDA,1FIZA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,232,263,33.6
5,4MNWA,1FIZA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,231,263,32.0
6,2F91A,1FIZA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,230,263,34.3
7,4Z6AH,1FIZA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,230,263,35.2
8,2OQ5A,1FIZA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.1,227,263,39.6
9,2XW9A,1FIZA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,224,263,29.9
10,1PQ7A,1FIZA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,221,263,33.0
11,3TVJB,1FIZA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,221,263,34.4
12,1AZZA,1FIZA,Fiddler Crab Collagenase Complexed To Ecotin,1.8,220,263,31.4
13,3H7TA,1FIZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.1,220,263,24.5
14,4I8HA,1FIZA,Bovine Trypsin At 0.75 Resolution,1.4,220,263,37.7
15,5EDMA,1FIZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,219,263,33.3
16,1M9UA,1FIZA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,218,263,33.9
17,4FXGH,1FIZA,Complement C4 In Complex With Masp-2,1.5,218,263,33.9
18,4AFQA,1FIZA,Human Chymase - Fynomer Complex,1.8,217,263,31.3
19,2QXIA,1FIZA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,216,263,31.5
20,5EDKA,1FIZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,216,263,34.3
21,3NXPA,1FIZA,Crystal Structure Of Human Prethrombin-1,2.1,215,263,33.5
22,4WVPE,1FIZA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,214,263,32.7
23,2HLCA,1FIZA,Hl Collagenase Structure At 1.7a Resolution,1.7,212,263,28.3
24,1DDJA,1FIZA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,212,263,39.1
25,1EQ9A,1FIZA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.2,212,263,31.6
26,2AIQA,1FIZA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.6,211,263,33.2
27,4A5TS,1FIZA,Structural Basis For The Conformational Modulation,1.7,210,263,37.6
28,3H7OA,1FIZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,209,263,23.4
29,2OLGA,1FIZA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,206,263,33.0
30,4LK4A,1FIZA,Structure Of Vibrio Cholerae Vesb Protease,2.2,203,263,31.0
31,2B9LA,1FIZA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.8,199,263,32.7
32,3F1SB,1FIZA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,199,263,18.1
33,5HU6C,1FIZA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,197,263,28.9
34,3BEUA,1FIZA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,195,263,37.4
35,2XRCB,1FIZA,Human Complement Factor I,2.3,179,263,37.4
36,1WCZA,1FIZA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,175,263,18.3
37,1P3CA,1FIZA,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,174,263,16.7
38,3WY8A,1FIZA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,174,263,13.2
39,1AGJA,1FIZA,Epidermolytic Toxin A From Staphylococcus Aureus,2.2,170,263,18.8
40,3LGIB,1FIZA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,170,263,12.9
41,3WOKA,1FIZA,Crystal Structure Of The Dap Bii (space),2.9,170,263,15.3
42,2HALA,1FIZA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.0,166,263,12.7
43,1ARBA,1FIZA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,163,263,14.1
44,1ZYOA,1FIZA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.5,160,263,17.5
45,5HM2E,1FIZA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.3,159,263,11.3
46,3K6YA,1FIZA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,158,263,17.1
47,3UFAA,1FIZA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.9,158,263,15.8
48,5HMAA,1FIZA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.3,158,263,13.3
49,4RI0A,1FIZA,"Serine Protease Htra3, Mutationally Inactivated",2.6,157,263,17.8
50,1TE0A,1FIZA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,156,263,12.8
51,2Z9IA,1FIZA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.1,150,263,18.7
52,1LVMA,1FIZA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,149,263,14.8
53,1L1JA,1FIZA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,143,263,17.5
54,1WQSA,1FIZA,Crystal Structure Of Norovirus 3c-Like Protease,3.2,143,263,16.8
55,2J92A,1FIZA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,142,263,11.3
56,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
57,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
58,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
59,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
60,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
61,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
62,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
63,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
64,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
65,4FLNA,1P3CA,Crystal Structure Of Plant Protease Deg2,2.2,163,215,17.2
66,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
67,1LCYA,2HALA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.3,167,212,10.8
68,5BPEA,2HALA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.1,167,212,21.6
69,2XYAA,2HALA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.1,163,212,21.5
70,2W5EA,1ZYOA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.9,148,191,18.9
71,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
72,2QA9E,5HMAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.7,160,191,14.4
73,2H5CA,5HMAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,156,191,14.1
74,2OUAA,5HMAA,Crystal Structure Of Nocardiopsis Protease (Napase),2.5,155,191,16.1
75,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
76,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
77,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
78,4X2VB,1WQSA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,1.9,169,173,58.6
79,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
80,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
81,4WMEA,1WQSA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.5,133,173,14.3
82,1FY4A,1WQSA,Fusarium Oxysporum Trypsin At Atomic Resolution,3.3,131,173,13.7
83,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
84,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
85,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
