,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2XYAA,2ZU3A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,1.3,171,183,49.1
1,5HM2E,2ZU3A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.3,170,183,17.1
2,2J92A,2ZU3A,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.2,169,183,18.9
3,2HALA,2ZU3A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.1,167,183,22.8
4,1L1JA,2ZU3A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,164,183,11.6
5,3K6YA,2ZU3A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",3.0,162,183,16.7
6,3LGIB,2ZU3A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.0,159,183,13.2
7,5HMAA,2ZU3A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,158,183,16.5
8,3H7OA,2ZU3A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),3.0,155,183,11.0
9,1AGJA,2ZU3A,Epidermolytic Toxin A From Staphylococcus Aureus,3.0,152,183,15.1
10,4RI0A,2ZU3A,"Serine Protease Htra3, Mutationally Inactivated",2.9,152,183,9.2
11,2OLGA,2ZU3A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.2,151,183,17.2
12,4FLNA,2ZU3A,Crystal Structure Of Plant Protease Deg2,2.7,151,183,9.9
13,5AVDA,2ZU3A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,3.1,150,183,14.0
14,2H5CA,2ZU3A,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.9,149,183,12.8
15,2W5EA,2ZU3A,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.6,149,183,12.1
16,1LVMA,2ZU3A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.6,149,183,14.8
17,5HU6C,2ZU3A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.9,148,183,12.8
18,1WCZA,2ZU3A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.7,147,183,12.2
19,1TE0A,2ZU3A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,147,183,11.6
20,1AZZA,2ZU3A,Fiddler Crab Collagenase Complexed To Ecotin,2.6,146,183,14.4
21,4WVPE,2ZU3A,Crystal Structure Of An Activity-based Probe Hne Complex,2.7,146,183,14.4
22,2OUAA,2ZU3A,Crystal Structure Of Nocardiopsis Protease (Napase),2.7,145,183,10.3
23,3H7TA,2ZU3A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.6,145,183,9.7
24,5DGJA,2ZU3A,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,145,183,11.7
25,1ARBA,2ZU3A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.4,144,183,13.9
26,3WY8A,2ZU3A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,143,183,5.6
27,3BEUA,2ZU3A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.7,142,183,13.4
28,4XSKU,2ZU3A,"Structure Of Paitrap, An Upa Mutant",2.8,142,183,14.1
29,1DDJA,2ZU3A,Crystal Structure Of Human Plasminogen Catalytic Domain,2.9,141,183,14.2
30,2QXIA,2ZU3A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.7,141,183,17.0
31,3UFAA,2ZU3A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.8,141,183,10.6
32,1P3CA,2ZU3A,Glutamyl Endopeptidase From Bacillus Intermedius,2.7,140,183,10.0
33,2AIQA,2ZU3A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.5,140,183,17.1
34,2OQ5A,2ZU3A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.7,140,183,16.4
35,2QA9E,2ZU3A,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.4,140,183,15.7
36,4I8HA,2ZU3A,Bovine Trypsin At 0.75 Resolution,2.7,140,183,16.4
37,1PQ7A,2ZU3A,"Trypsin At 0.8 A, Ph5  BORAX",2.5,139,183,12.9
38,2XW9A,2ZU3A,Crystal Structure Of Complement Factor D Mutant S183a,2.8,139,183,15.1
39,4MNWA,2ZU3A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.8,139,183,15.1
40,4WMEA,2ZU3A,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,138,183,9.4
41,4FXGH,2ZU3A,Complement C4 In Complex With Masp-2,2.7,137,183,17.5
42,4X2VB,2ZU3A,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.8,137,183,11.7
43,4ZROA,2ZU3A,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.6,136,183,15.4
44,5EU8A,2ZU3A,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.6,136,183,15.4
45,1M9UA,2ZU3A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.6,135,183,10.4
46,1ZYOA,2ZU3A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.0,135,183,14.1
47,3TVJB,2ZU3A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.6,135,183,17.8
48,4Z6AH,2ZU3A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.6,135,183,17.0
49,4XFQA,2ZU3A,Crystal Structure Basis For Pedv 3c Like Protease,2.6,134,183,11.9
50,2HLCA,2ZU3A,Hl Collagenase Structure At 1.7a Resolution,2.5,132,183,10.6
51,2F91A,2ZU3A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.4,132,183,14.4
52,4CR9A,2ZU3A,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.5,132,183,16.7
53,1EQ9A,2ZU3A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.5,130,183,14.6
54,1VZQH,2ZU3A,Complex Of Thrombin With Designed Inhibitor 7165,2.6,130,183,14.6
55,4LK4A,2ZU3A,Structure Of Vibrio Cholerae Vesb Protease,2.3,128,183,10.9
56,3NXPA,2ZU3A,Crystal Structure Of Human Prethrombin-1,2.5,127,183,15.0
57,1WYKA,2ZU3A,Sindbis Virus Capsid Protein (114-264),3.3,126,183,12.7
58,5EDKA,2ZU3A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.5,123,183,15.4
59,5EDMA,2ZU3A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.5,123,183,14.6
60,3F1SB,2ZU3A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,118,183,11.9
61,4MG3B,2ZU3A,Crystal Structural Analysis Of 2a Protease From Coxsackievirus A16,2.4,118,183,16.1
62,2QV1B,2ZU3A,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.3,114,183,16.7
63,2YOLA,2ZU3A,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.5,113,183,6.2
64,1FIZA,2ZU3A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.2,112,183,17.0
65,5EPYA,2ZU3A,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.1,111,183,18.9
66,5EPNA,2ZU3A,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.1,109,183,17.4
67,4AFQA,2ZU3A,Human Chymase - Fynomer Complex,1.7,107,183,15.9
68,2HRVA,2ZU3A,2a Cysteine Proteinase From Human Rhinovirus 2,1.7,102,183,18.6
69,5BPEA,2XYAA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,1.2,171,182,49.1
70,1EAXA,2XYAA,Crystal Structure Of Mtsp1 (Matriptase),2.9,144,182,12.5
71,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
72,4JCNA,5HM2E,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.5,158,209,13.3
73,1LCYA,2HALA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.3,167,212,10.8
74,2Z9IA,3LGIB,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,1.3,180,237,40.6
