,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1FIZA,1CGHA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.8,221,224,29.4
1,1VZQH,1CGHA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,221,224,28.5
2,5AVDA,1CGHA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.7,221,224,33.9
3,4AFQA,1CGHA,Human Chymase - Fynomer Complex,0.9,220,224,51.8
4,1EAXA,1CGHA,Crystal Structure Of Mtsp1 (Matriptase),1.5,218,224,28.9
5,2F91A,1CGHA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.6,218,224,31.7
6,4Z6AH,1CGHA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,217,224,29.0
7,4XSKU,1CGHA,"Structure Of Paitrap, An Upa Mutant",1.7,217,224,30.0
8,1AZZA,1CGHA,Fiddler Crab Collagenase Complexed To Ecotin,1.1,216,224,38.0
9,2QXIA,1CGHA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,216,224,36.6
10,4MNWA,1CGHA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,216,224,30.6
11,3TVJB,1CGHA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.6,215,224,26.0
12,4FXGH,1CGHA,Complement C4 In Complex With Masp-2,1.5,215,224,26.0
13,4I8HA,1CGHA,Bovine Trypsin At 0.75 Resolution,1.3,215,224,34.9
14,1M9UA,1CGHA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,214,224,31.8
15,2XW9A,1CGHA,Crystal Structure Of Complement Factor D Mutant S183a,1.6,214,224,40.2
16,1PQ7A,1CGHA,"Trypsin At 0.8 A, Ph5  BORAX",1.7,213,224,27.2
17,2AIQA,1CGHA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,213,224,28.6
18,3H7TA,1CGHA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,213,224,24.4
19,2OQ5A,1CGHA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.8,212,224,31.1
20,1EQ9A,1CGHA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,209,224,32.1
21,3NXPA,1CGHA,Crystal Structure Of Human Prethrombin-1,2.1,209,224,29.7
22,3H7OA,1CGHA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,208,224,26.0
23,4WVPE,1CGHA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,208,224,36.1
24,2HLCA,1CGHA,Hl Collagenase Structure At 1.7a Resolution,1.5,207,224,31.4
25,5EDKA,1CGHA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.0,203,224,29.6
26,5EDMA,1CGHA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,202,224,30.2
27,3BEUA,1CGHA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,200,224,28.5
28,2OLGA,1CGHA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,198,224,30.3
29,1DDJA,1CGHA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,197,224,36.0
30,4A5TS,1CGHA,Structural Basis For The Conformational Modulation,2.0,195,224,37.9
31,5HU6C,1CGHA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,194,224,27.8
32,3F1SB,1CGHA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,193,224,24.4
33,2XWBF,1CGHA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.0,192,224,25.0
34,4LK4A,1CGHA,Structure Of Vibrio Cholerae Vesb Protease,2.0,192,224,29.2
35,2B9LA,1CGHA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,191,224,30.4
36,3WY8A,1CGHA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,179,224,16.8
37,1WCZA,1CGHA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,178,224,16.3
38,1P3CA,1CGHA,Glutamyl Endopeptidase From Bacillus Intermedius,1.9,174,224,17.8
39,2XRCB,1CGHA,Human Complement Factor I,2.0,174,224,28.2
40,1AGJA,1CGHA,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,172,224,13.4
41,3LGIB,1CGHA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.5,168,224,13.7
42,4FLNA,1CGHA,Crystal Structure Of Plant Protease Deg2,2.9,166,224,18.7
43,5HMAA,1CGHA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,164,224,15.2
44,1ZYOA,1CGHA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,163,224,14.1
45,1TE0A,1CGHA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,162,224,14.2
46,1ARBA,1CGHA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,162,224,17.3
