,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,2BDGA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,220,223,35.9
1,2QXIA,2BDGA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,220,223,47.7
2,5AVDA,2BDGA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.7,219,223,28.3
3,1AZZA,2BDGA,Fiddler Crab Collagenase Complexed To Ecotin,1.7,218,223,32.1
4,4I8HA,2BDGA,Bovine Trypsin At 0.75 Resolution,1.3,218,223,41.3
5,1EAXA,2BDGA,Crystal Structure Of Mtsp1 (Matriptase),1.3,216,223,33.8
6,1FIZA,2BDGA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,215,223,31.6
7,2AIQA,2BDGA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,215,223,34.0
8,3H7TA,2BDGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,215,223,24.7
9,4AFQA,2BDGA,Human Chymase - Fynomer Complex,1.7,215,223,35.8
10,1PQ7A,2BDGA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,214,223,33.2
11,2F91A,2BDGA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.6,214,223,34.6
12,2XW9A,2BDGA,Crystal Structure Of Complement Factor D Mutant S183a,1.6,214,223,35.0
13,4FXGH,2BDGA,Complement C4 In Complex With Masp-2,1.6,213,223,30.5
14,4Z6AH,2BDGA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,213,223,34.3
15,1M9UA,2BDGA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,211,223,27.0
16,3TVJB,2BDGA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.4,211,223,31.3
17,2HLCA,2BDGA,Hl Collagenase Structure At 1.7a Resolution,1.8,210,223,29.0
18,2OQ5A,2BDGA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,207,223,29.5
19,4WVPE,2BDGA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,207,223,32.4
20,1EQ9A,2BDGA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,206,223,29.1
21,3BEUA,2BDGA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,205,223,29.8
22,5EDMA,2BDGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,205,223,35.1
23,5EDKA,2BDGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.4,202,223,35.6
24,4XSKU,2BDGA,"Structure Of Paitrap, An Upa Mutant",1.7,201,223,35.8
25,1DDJA,2BDGA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.9,200,223,33.5
26,3H7OA,2BDGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,200,223,24.0
27,4MNWA,2BDGA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,200,223,36.5
28,2OLGA,2BDGA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.1,198,223,32.3
29,3NXPA,2BDGA,Crystal Structure Of Human Prethrombin-1,2.0,196,223,36.2
30,4A5TS,2BDGA,Structural Basis For The Conformational Modulation,1.8,196,223,35.2
31,2B9LA,2BDGA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.1,193,223,31.6
32,5HU6C,2BDGA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.0,193,223,32.6
33,3F1SB,2BDGA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.5,191,223,19.9
34,4LK4A,2BDGA,Structure Of Vibrio Cholerae Vesb Protease,1.9,190,223,32.6
35,3WY8A,2BDGA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,187,223,11.8
36,1WCZA,2BDGA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.5,174,223,10.9
37,1P3CA,2BDGA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,171,223,18.7
38,1AGJA,2BDGA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,170,223,14.1
39,1ARBA,2BDGA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,169,223,14.2
40,3LGIB,2BDGA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,169,223,17.8
41,5HMAA,2BDGA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.6,165,223,16.4
