,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2IGSF,2F91B,Crystal Structure Of The Hypothetical Protein From Pseudomonas Aeruginosa,1.0,17,35,5.9
1,3VCFA,2F91B,Ssv1 Integrase C-Terminal Catalytic Domain (174-335aa),1.7,16,35,0.0
2,1FCYA,2F91B,Isotype Selectivity Of The Human Retinoic Acid Nuclear Receptor Hrar: The Complex With The RarbetaGAMMA-Selective Retinoid Cd564,1.4,15,35,6.7
3,4DQMA,2F91B,Revealing A Marine Natural Product As A Novel Agonist For Retinoic Acid Receptors With A Unique Binding Mode And Antitumor Activity,1.5,15,35,6.7
4,1Q4XA,2F91B,Crystal Structure Of Human Thyroid Hormone Receptor Beta Lbd In Complex With Specific Agonist Gc-24,1.1,14,35,0.0
5,1QSAA,2F91B,Crystal Structure Of The 70 Kda Soluble Lytic Transglycosylase Slt70 From Escherichia Coli At 1.65 Angstroms Resolution,1.2,13,35,7.7
6,1XLSE,2F91B,Crystal Structure Of The Mouse CarRXR LBD HETERODIMER Bound To Tcpobop And 9cra And A Tif2 Peptide Containg The Third Lxxll Motifs,1.6,13,35,0.0
7,1ZB1A,2F91B,Structure Basis For Endosomal Targeting By The Bro1 Domain,0.8,13,35,7.7
8,2VE7D,2F91B,Crystal Structure Of A Bonsai Version Of The Human Ndc80 Complex,1.9,13,35,7.7
9,3C3QA,2F91B,Alix Bro1-Domain:chmip4b Co-Crystal Structure,0.8,13,35,7.7
10,3KYTA,2F91B,Crystal Structure Of Orphan Nuclear Receptor Rorgamma In Complex With Natural Ligand,0.9,13,35,0.0
11,3RKOD,2F91B,Crystal Structure Of The Membrane Domain Of Respiratory Complex I From E. Coli At 3.0 Angstrom Resolution,1.6,13,35,0.0
12,4HJVB,2F91B,Crystal Structure Of E. Coli Mlte With Bound Bulgecin And Murodipeptide,1.2,13,35,7.7
13,5AYGA,2F91B,Crystal Structure Of The Human Ror Gamma Ligand Binding Domain With 3g,1.0,13,35,0.0
14,3ILZA,1FCYA,Structure Of Tr-Alfa Bound To Selective Thyromimetic Gc-1 In Space Group,2.4,234,236,36.3
15,1NQ7A,1FCYA,Characterization Of Ligands For The Orphan Nuclear Receptor Rorbeta,2.8,233,236,28.3
16,1XVPC,1FCYA,"Crystal Structure Of CarRXR HETERODIMER BOUND WITH SRC1 Peptide, Fatty Acid And Citco",3.0,225,236,26.2
17,4JGVA,1FCYA,Crystal Structure Of Human Nur77 Ligand-binding Domain In Complex With Thpn,2.3,223,236,31.4
18,5APHA,1FCYA,Ligand Complex Of Rorg Lbd,2.6,219,236,27.4
19,3B0TA,1FCYA,Human Vdr Ligand Binding Domain In Complex With Maxacalcitol,1.7,214,236,26.6
20,4OZTE,1FCYA,Crystal Structure Of The Ligand Binding Domains Of The Bovicola Ovis Ecdysone Receptor Ecr/usp Heterodimer (pona Crystal),1.5,213,236,33.3
21,2R40D,1FCYA,Crystal Structure Of 20e Bound EcrUSP,1.7,211,236,28.4
22,3UP3A,1FCYA,Nuclear Receptor Daf-12 From Hookworm Ancylostoma Ceylanicum In Complex With (25s)-Cholestenoic Acid,3.1,211,236,13.7
23,5C4TA,1FCYA,Identification Of A Novel Allosteric Binding Site For Rorgt Inhibitors,2.7,210,236,26.2
24,1XVPB,1FCYA,"Crystal Structure Of CarRXR HETERODIMER BOUND WITH SRC1 Peptide, Fatty Acid And Citco",1.9,209,236,27.3
25,1ZGYA,1FCYA,Structural And Biochemical Basis For Selective Repression Of The Orphan Nuclear Receptor Lrh-1 By Shp,1.7,208,236,27.4
26,4R06A,1FCYA,Crystal Structure Of Sr2067 Bound To Ppargamma,1.6,208,236,27.4
27,1ZH7A,1FCYA,Structural And Biochemical Basis For Selective Repression Of The Orphan Nuclear Receptor Lrh-1 By Shp,2.4,204,236,25.0
28,3L3XA,1FCYA,Crystal Structure Of Dht-Bound Androgen Receptor In Complex With The First Motif Of Steroid Receptor Coactivator 3,2.6,204,236,16.2
29,5A86B,1FCYA,Structure Of Pregnane X Receptor In Complex With A Sphingosine 1-phosphate Receptor 1 Antagonist,1.9,204,236,26.5
30,5APKB,1FCYA,Ligand Complex Of Rorg Lbd,2.5,204,236,26.5
31,5EC9A,1FCYA,Retinoic Acid Receptor Alpha In Complex With Chiral Dihydrobenzofuran Benzoic Acid 9a And A Fragment Of The Coactivator Tif2,2.0,203,236,28.6
32,5CJ6A,1FCYA,Crystal Structure Of A Selective Androgen Receptor Modulator Bound To The Ligand Binding Domain Of The Human Androgen Receptor,2.7,202,236,15.8
33,4PLEA,1FCYA,"Human Nuclear Receptor Liver Receptor Homologue-1, Lrh-1, Bound To An E. Coli Phospholipid And A Fragment Of Tif-2",2.2,201,236,24.4
34,5HCVA,1FCYA,Identification Of Spirooxindole And Dibenzoxazepine Motifs As Potent Mineralocorticoid Receptor Antagonists,2.6,200,236,19.0
