,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,1FI8A,Human Chymase - Fynomer Complex,1.0,222,228,52.7
1,1EAXA,1FI8A,Crystal Structure Of Mtsp1 (Matriptase),1.4,219,228,31.5
2,1VZQH,1FI8A,Complex Of Thrombin With Designed Inhibitor 7165,1.4,217,228,33.6
3,4FXGH,1FI8A,Complement C4 In Complex With Masp-2,1.4,217,228,29.0
4,4I8HA,1FI8A,Bovine Trypsin At 0.75 Resolution,1.3,217,228,40.1
5,1AZZA,1FI8A,Fiddler Crab Collagenase Complexed To Ecotin,1.2,216,228,37.0
6,1M9UA,1FI8A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.8,216,228,28.7
7,2AIQA,1FI8A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,216,228,29.2
8,4MNWA,1FI8A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,216,228,31.9
9,4XSKU,1FI8A,"Structure Of Paitrap, An Upa Mutant",1.7,216,228,31.9
10,2F91A,1FI8A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,215,228,34.4
11,2QXIA,1FI8A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,215,228,38.1
12,3H7TA,1FI8A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,215,228,25.6
13,3TVJB,1FI8A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.4,215,228,29.8
14,5AVDA,1FI8A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,215,228,35.8
15,1PQ7A,1FI8A,"Trypsin At 0.8 A, Ph5  BORAX",1.8,214,228,26.2
16,2XW9A,1FI8A,Crystal Structure Of Complement Factor D Mutant S183a,1.7,214,228,40.2
17,4Z6AH,1FI8A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,213,228,31.5
18,2HLCA,1FI8A,Hl Collagenase Structure At 1.7a Resolution,1.6,212,228,28.8
19,1FIZA,1FI8A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,211,228,35.1
20,2OQ5A,1FI8A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,210,228,31.9
21,3H7OA,1FI8A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,209,228,29.7
22,3BEUA,1FI8A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,207,228,30.4
23,1EQ9A,1FI8A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.5,206,228,32.5
24,4WVPE,1FI8A,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,206,228,34.5
25,3NXPA,1FI8A,Crystal Structure Of Human Prethrombin-1,2.0,203,228,34.0
26,5EDMA,1FI8A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,201,228,34.8
27,5EDKA,1FI8A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.8,195,228,35.4
28,2OLGA,1FI8A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.5,194,228,30.9
29,1DDJA,1FI8A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,193,228,39.4
30,3F1SB,1FI8A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,191,228,24.6
31,5HU6C,1FI8A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.7,190,228,29.5
32,4A5TS,1FI8A,Structural Basis For The Conformational Modulation,1.8,188,228,40.4
33,4LK4A,1FI8A,Structure Of Vibrio Cholerae Vesb Protease,1.9,188,228,30.9
34,2B9LA,1FI8A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,185,228,30.8
35,1WCZA,1FI8A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,179,228,16.8
36,3WY8A,1FI8A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.5,178,228,13.5
