,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2XW9A,1MZAA,Crystal Structure Of Complement Factor D Mutant S183a,1.6,221,240,43.0
1,1FIZA,1MZAA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,219,240,35.6
2,3TVJB,1MZAA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.3,219,240,26.9
3,5AVDA,1MZAA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.8,219,240,33.3
4,4Z6AH,1MZAA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.1,219,240,31.1
5,2F91A,1MZAA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.1,217,240,34.1
6,1AZZA,1MZAA,Fiddler Crab Collagenase Complexed To Ecotin,2.2,216,240,34.3
7,4XSKU,1MZAA,"Structure Of Paitrap, An Upa Mutant",1.9,216,240,31.9
8,4MNWA,1MZAA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.9,215,240,31.6
9,1PQ7A,1MZAA,"Trypsin At 0.8 A, Ph5  BORAX",2.0,214,240,30.4
10,5EDKA,1MZAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.8,214,240,28.0
11,1EQ9A,1MZAA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.8,213,240,29.1
12,1VZQH,1MZAA,Complex Of Thrombin With Designed Inhibitor 7165,1.8,213,240,29.1
13,2AIQA,1MZAA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.1,213,240,32.9
14,2OQ5A,1MZAA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.8,213,240,34.3
15,4FXGH,1MZAA,Complement C4 In Complex With Masp-2,2.1,213,240,28.6
16,1EAXA,1MZAA,Crystal Structure Of Mtsp1 (Matriptase),1.7,212,240,31.6
17,4A5TS,1MZAA,Structural Basis For The Conformational Modulation,2.2,212,240,34.9
18,4AFQA,1MZAA,Human Chymase - Fynomer Complex,1.8,212,240,38.7
19,1M9UA,1MZAA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.9,211,240,27.5
20,2QXIA,1MZAA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.7,211,240,34.6
21,4I8HA,1MZAA,Bovine Trypsin At 0.75 Resolution,1.8,209,240,38.3
22,1DDJA,1MZAA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,208,240,36.1
23,5EDMA,1MZAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,208,240,29.8
24,3H7TA,1MZAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,207,240,24.2
25,3BEUA,1MZAA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.4,206,240,29.6
26,3H7OA,1MZAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.5,206,240,20.4
27,2B9LA,1MZAA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.6,202,240,26.7
28,3NXPA,1MZAA,Crystal Structure Of Human Prethrombin-1,2.5,202,240,29.2
29,4WVPE,1MZAA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,201,240,33.3
30,2HLCA,1MZAA,Hl Collagenase Structure At 1.7a Resolution,2.1,200,240,26.5
31,2OLGA,1MZAA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,195,240,29.2
32,3WY8A,1MZAA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.1,188,240,13.8
33,5HU6C,1MZAA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.1,187,240,29.9
34,4LK4A,1MZAA,Structure Of Vibrio Cholerae Vesb Protease,2.1,185,240,31.9
35,3F1SB,1MZAA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.5,184,240,19.6
36,1P3CA,1MZAA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,180,240,18.3
37,2XRCB,1MZAA,Human Complement Factor I,2.6,179,240,28.5
38,1WCZA,1MZAA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.9,173,240,15.6
39,1AGJA,1MZAA,Epidermolytic Toxin A From Staphylococcus Aureus,2.4,172,240,15.7
40,3LGIB,1MZAA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,168,240,12.5
41,1ARBA,1MZAA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.1,166,240,15.1
42,4FLNA,1MZAA,Crystal Structure Of Plant Protease Deg2,3.0,163,240,14.7
43,5HMAA,1MZAA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.3,158,240,15.8
44,1TE0A,1MZAA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,156,240,12.8
45,1ZYOA,1MZAA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,156,240,16.0
46,1L1JA,1MZAA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,155,240,16.1
47,3UFAA,1MZAA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.9,155,240,15.5
48,4RI0A,1MZAA,"Serine Protease Htra3, Mutationally Inactivated",2.5,155,240,18.1
49,2Z9IA,1MZAA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,154,240,16.9
50,3WOKA,1MZAA,Crystal Structure Of The Dap Bii (space),2.3,151,240,15.2
51,3K6YA,1MZAA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,149,240,19.5
52,5HM2E,1MZAA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.6,148,240,14.2
53,2J92A,1MZAA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.5,147,240,12.2
54,1LVMA,1MZAA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,147,240,10.2
55,2HALA,1MZAA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,145,240,13.8
56,2XYAA,1MZAA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.0,139,240,16.5
57,2QAAA,1MZAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 7.3,3.0,137,240,18.2
58,5BPEA,1MZAA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.9,135,240,15.6
59,4WMEA,1MZAA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,126,240,15.9
