,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1EAXA,1HNEE,Crystal Structure Of Mtsp1 (Matriptase),1.6,217,218,29.5
1,1VZQH,1HNEE,Complex Of Thrombin With Designed Inhibitor 7165,1.8,216,218,28.2
2,1FIZA,1HNEE,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,215,218,32.6
3,4MNWA,1HNEE,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.7,213,218,27.7
4,4XSKU,1HNEE,"Structure Of Paitrap, An Upa Mutant",1.7,213,218,26.8
5,2F91A,1HNEE,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.5,212,218,34.0
6,1M9UA,1HNEE,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,211,218,30.3
7,3TVJB,1HNEE,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.9,211,218,24.6
8,5AVDA,1HNEE,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,211,218,39.3
9,4Z6AH,1HNEE,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,211,218,30.3
10,1PQ7A,1HNEE,"Trypsin At 0.8 A, Ph5  BORAX",1.7,210,218,28.1
11,2XW9A,1HNEE,Crystal Structure Of Complement Factor D Mutant S183a,1.5,210,218,34.3
12,4FXGH,1HNEE,Complement C4 In Complex With Masp-2,1.9,210,218,24.8
13,2OQ5A,1HNEE,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,209,218,28.2
14,2QXIA,1HNEE,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,209,218,28.2
15,4I8HA,1HNEE,Bovine Trypsin At 0.75 Resolution,1.4,209,218,33.0
16,1AZZA,1HNEE,Fiddler Crab Collagenase Complexed To Ecotin,1.6,208,218,36.1
17,4AFQA,1HNEE,Human Chymase - Fynomer Complex,1.6,208,218,33.7
18,5EDMA,1HNEE,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.3,208,218,27.9
19,1EQ9A,1HNEE,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,206,218,35.4
20,3H7TA,1HNEE,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.9,205,218,24.4
21,2AIQA,1HNEE,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,203,218,28.1
22,3NXPA,1HNEE,Crystal Structure Of Human Prethrombin-1,2.3,202,218,27.7
23,2HLCA,1HNEE,Hl Collagenase Structure At 1.7a Resolution,1.9,200,218,28.0
24,3H7OA,1HNEE,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,200,218,25.5
25,1DDJA,1HNEE,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,198,218,35.4
26,3BEUA,1HNEE,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.0,195,218,25.1
27,4A5TS,1HNEE,Structural Basis For The Conformational Modulation,1.9,195,218,36.4
28,5EDKA,1HNEE,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,194,218,28.4
29,2B9LA,1HNEE,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.9,190,218,28.9
30,5HU6C,1HNEE,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.1,188,218,19.7
