,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,3FZZA,Human Chymase - Fynomer Complex,1.4,223,227,48.4
1,1EAXA,3FZZA,Crystal Structure Of Mtsp1 (Matriptase),1.6,218,227,29.8
2,4MNWA,3FZZA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.0,218,227,28.9
3,1AZZA,3FZZA,Fiddler Crab Collagenase Complexed To Ecotin,1.3,217,227,33.6
4,1M9UA,3FZZA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.9,217,227,27.2
5,1FIZA,3FZZA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.8,216,227,27.3
6,2QXIA,3FZZA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,216,227,36.1
7,3H7TA,3FZZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,216,227,25.0
8,5AVDA,3FZZA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.6,216,227,32.9
9,4Z6AH,3FZZA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,216,227,30.1
10,1VZQH,3FZZA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,215,227,31.2
11,4FXGH,3FZZA,Complement C4 In Complex With Masp-2,1.6,215,227,26.5
12,2HLCA,3FZZA,Hl Collagenase Structure At 1.7a Resolution,1.5,214,227,29.9
13,2AIQA,3FZZA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.6,214,227,27.6
14,2F91A,3FZZA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.6,213,227,31.0
15,3TVJB,3FZZA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,213,227,26.3
16,4I8HA,3FZZA,Bovine Trypsin At 0.75 Resolution,1.4,213,227,36.2
17,2OQ5A,3FZZA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.9,212,227,27.8
18,4XSKU,3FZZA,"Structure Of Paitrap, An Upa Mutant",1.6,211,227,29.9
19,1PQ7A,3FZZA,"Trypsin At 0.8 A, Ph5  BORAX",1.8,210,227,26.2
20,3H7OA,3FZZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,210,227,26.7
21,4WVPE,3FZZA,Crystal Structure Of An Activity-based Probe Hne Complex,1.9,209,227,33.0
22,5EDMA,3FZZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,209,227,30.1
23,1EQ9A,3FZZA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,206,227,33.0
24,3BEUA,3FZZA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,203,227,28.6
25,2XW9A,3FZZA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,203,227,39.9
26,3NXPA,3FZZA,Crystal Structure Of Human Prethrombin-1,2.0,200,227,31.5
27,2OLGA,3FZZA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.9,195,227,31.8
28,5EDKA,3FZZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.8,194,227,32.0
29,5HU6C,3FZZA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,190,227,27.4
30,2B9LA,3FZZA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,188,227,28.2
31,3F1SB,3FZZA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,188,227,22.9
32,4LK4A,3FZZA,Structure Of Vibrio Cholerae Vesb Protease,1.7,186,227,30.1
33,1DDJA,3FZZA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,185,227,40.5
34,3WY8A,3FZZA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.8,183,227,14.8
35,4A5TS,3FZZA,Structural Basis For The Conformational Modulation,1.7,182,227,41.8
36,1WCZA,3FZZA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,181,227,14.4
37,1P3CA,3FZZA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,175,227,18.3
