,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2QXIA,2ZCHP,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,223,237,43.5
1,5AVDA,2ZCHP,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,223,237,33.6
2,1VZQH,2ZCHP,Complex Of Thrombin With Designed Inhibitor 7165,1.4,222,237,32.0
3,1FIZA,2ZCHP,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,221,237,32.6
4,2AIQA,2ZCHP,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,221,237,35.7
5,4I8HA,2ZCHP,Bovine Trypsin At 0.75 Resolution,1.0,221,237,42.1
6,1AZZA,2ZCHP,Fiddler Crab Collagenase Complexed To Ecotin,1.5,220,237,35.0
7,1EAXA,2ZCHP,Crystal Structure Of Mtsp1 (Matriptase),1.2,219,237,32.0
8,4Z6AH,2ZCHP,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.4,219,237,36.5
9,4AFQA,2ZCHP,Human Chymase - Fynomer Complex,1.4,218,237,38.1
10,1M9UA,2ZCHP,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.4,217,237,29.0
11,2F91A,2ZCHP,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,215,237,33.5
12,3TVJB,2ZCHP,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.3,215,237,32.6
13,4FXGH,2ZCHP,Complement C4 In Complex With Masp-2,1.3,215,237,32.1
14,1PQ7A,2ZCHP,"Trypsin At 0.8 A, Ph5  BORAX",1.5,213,237,33.3
15,2OQ5A,2ZCHP,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,213,237,33.3
16,2XW9A,2ZCHP,Crystal Structure Of Complement Factor D Mutant S183a,1.3,213,237,40.8
17,3H7TA,2ZCHP,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,211,237,25.1
18,1EQ9A,2ZCHP,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,209,237,33.0
19,3BEUA,2ZCHP,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.5,209,237,26.8
20,3NXPA,2ZCHP,Crystal Structure Of Human Prethrombin-1,2.0,209,237,32.5
21,4WVPE,2ZCHP,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,209,237,32.5
22,5EDMA,2ZCHP,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,209,237,32.5
23,2HLCA,2ZCHP,Hl Collagenase Structure At 1.7a Resolution,1.9,207,237,29.0
24,3H7OA,2ZCHP,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,206,237,29.1
25,1DDJA,2ZCHP,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,205,237,42.9
26,4A5TS,2ZCHP,Structural Basis For The Conformational Modulation,1.9,202,237,44.1
27,4MNWA,2ZCHP,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,202,237,36.6
28,4XSKU,2ZCHP,"Structure Of Paitrap, An Upa Mutant",1.3,202,237,36.1
29,5EDKA,2ZCHP,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.8,201,237,32.8
30,2B9LA,2ZCHP,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.2,199,237,31.7
31,2OLGA,2ZCHP,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.6,199,237,31.2
32,3F1SB,2ZCHP,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,192,237,25.0
33,4LK4A,2ZCHP,Structure Of Vibrio Cholerae Vesb Protease,1.8,189,237,28.6
34,5HU6C,2ZCHP,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,189,237,28.6
35,3WY8A,2ZCHP,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,186,237,10.8
36,1P3CA,2ZCHP,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,183,237,16.9
37,1AGJA,2ZCHP,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,180,237,16.7
38,1WCZA,2ZCHP,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,180,237,13.3
39,1ARBA,2ZCHP,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,167,237,18.0
40,3LGIB,2ZCHP,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,165,237,23.0
41,1ZYOA,2ZCHP,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,164,237,16.5
42,3UFAA,2ZCHP,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.9,164,237,17.1
43,4FLNA,2ZCHP,Crystal Structure Of Plant Protease Deg2,2.7,162,237,13.6
44,5HMAA,2ZCHP,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,162,237,20.4
45,2XRCB,2ZCHP,Human Complement Factor I,1.9,161,237,35.4
46,3K6YA,2ZCHP,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,159,237,17.6
47,1TE0A,2ZCHP,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,157,237,22.9
48,2Z9IA,2ZCHP,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,157,237,17.8
49,3WOKA,2ZCHP,Crystal Structure Of The Dap Bii (space),2.2,155,237,16.1
50,1L1JA,2ZCHP,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.4,153,237,15.0
51,1LVMA,2ZCHP,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,152,237,13.8
52,4RI0A,2ZCHP,"Serine Protease Htra3, Mutationally Inactivated",2.3,152,237,15.1
53,2QA9E,2ZCHP,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.7,145,237,19.3
54,2H5CA,2ZCHP,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.3,140,237,19.3
55,2XYAA,2ZCHP,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.6,139,237,17.3
56,2HALA,2ZCHP,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,139,237,14.4
57,2W5EA,2ZCHP,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,138,237,10.1
58,4WMEA,2ZCHP,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,137,237,9.5
59,2OUAA,2ZCHP,Crystal Structure Of Nocardiopsis Protease (Napase),2.4,135,237,17.8
60,5BPEA,2ZCHP,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.4,135,237,17.0
61,2PKAB,2ZCHP,Kallikrein A (E.C.3.4.21.8),0.7,133,237,62.4
62,1MBMB,2ZCHP,Nsp4 Proteinase From Equine Arteritis Virus,3.0,130,237,14.6
63,2J92A,2ZCHP,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,128,237,14.8
64,5EU8A,2ZCHP,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.2,126,237,12.7
65,5HM2E,2ZCHP,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,126,237,15.9
66,4X2VB,2ZCHP,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.6,124,237,14.5
67,4XFQA,2ZCHP,Crystal Structure Basis For Pedv 3c Like Protease,2.4,124,237,12.1
68,1WYKA,2ZCHP,Sindbis Virus Capsid Protein (114-264),2.8,122,237,17.2
69,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
70,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
71,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
72,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
73,2XWBF,2AIQA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,187,231,21.9
74,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
75,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
76,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
77,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
78,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
79,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
80,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
81,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
82,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
83,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
84,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
85,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
86,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
