,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2QA9E,2SFAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,0.9,183,191,68.3
1,2OUAA,2SFAA,Crystal Structure Of Nocardiopsis Protease (Napase),1.4,181,191,44.2
2,2H5CA,2SFAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.3,178,191,36.5
3,5HMAA,2SFAA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,162,191,16.0
4,1ARBA,2SFAA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.9,154,191,17.5
5,2Z9IA,2SFAA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.1,151,191,25.8
6,4FLNA,2SFAA,Crystal Structure Of Plant Protease Deg2,2.4,151,191,16.6
7,5BPEA,2SFAA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,146,191,17.1
8,1AZZA,2SFAA,Fiddler Crab Collagenase Complexed To Ecotin,2.2,145,191,24.8
9,2QXIA,2SFAA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.8,145,191,20.0
10,3H7OA,2SFAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.6,145,191,18.6
11,3K6YA,2SFAA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,145,191,16.6
12,3LGIB,2SFAA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.5,144,191,18.1
13,1L1JA,2SFAA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.0,143,191,21.0
14,1VZQH,2SFAA,Complex Of Thrombin With Designed Inhibitor 7165,2.7,143,191,16.8
15,1YM0A,2SFAA,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",2.4,142,191,20.4
16,2XYAA,2SFAA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,141,191,12.1
17,1TE0A,2SFAA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.3,140,191,17.9
18,2AIQA,2SFAA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.5,140,191,18.6
19,3H7TA,2SFAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,140,191,14.3
20,2XW9A,2SFAA,Crystal Structure Of Complement Factor D Mutant S183a,2.9,140,191,19.3
