,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
1,5EDMA,2OLGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.3,216,278,33.3
2,3NXPA,2OLGA,Crystal Structure Of Human Prethrombin-1,2.2,214,278,33.2
3,5EDKA,2OLGA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,212,278,33.5
4,4XSKU,2OLGA,"Structure Of Paitrap, An Upa Mutant",2.1,210,278,27.6
5,4AFQA,2OLGA,Human Chymase - Fynomer Complex,1.9,209,278,29.7
6,1FIZA,2OLGA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.0,206,278,33.0
7,2B9LA,2OLGA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,206,278,32.0
8,2F91A,2OLGA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.9,205,278,31.7
9,4MNWA,2OLGA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.0,205,278,28.8
10,5AVDA,2OLGA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.8,205,278,30.2
11,1M9UA,2OLGA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.8,204,278,27.5
12,4FXGH,2OLGA,Complement C4 In Complex With Masp-2,1.9,204,278,31.4
13,1VZQH,2OLGA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,202,278,34.2
14,3TVJB,2OLGA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.9,202,278,31.7
15,1EAXA,2OLGA,Crystal Structure Of Mtsp1 (Matriptase),1.6,201,278,31.3
16,2AIQA,2OLGA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.1,199,278,30.7
17,4A5TS,2OLGA,Structural Basis For The Conformational Modulation,2.5,199,278,33.2
18,1DDJA,2OLGA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.2,198,278,32.8
19,2OQ5A,2OLGA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,198,278,33.3
20,4I8HA,2OLGA,Bovine Trypsin At 0.75 Resolution,1.8,198,278,30.8
21,4Z6AH,2OLGA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,198,278,30.8
22,1PQ7A,2OLGA,"Trypsin At 0.8 A, Ph5  BORAX",1.9,194,278,29.4
23,3H7OA,2OLGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,194,278,25.3
24,4WVPE,2OLGA,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,194,278,24.2
25,2HLCA,2OLGA,Hl Collagenase Structure At 1.7a Resolution,2.3,193,278,32.1
26,1AZZA,2OLGA,Fiddler Crab Collagenase Complexed To Ecotin,1.7,193,278,33.7
27,2QXIA,2OLGA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.9,193,278,32.1
28,2XW9A,2OLGA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,193,278,26.9
29,3F1SB,2OLGA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,189,278,22.2
30,3H7TA,2OLGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,188,278,23.9
31,1EQ9A,2OLGA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.8,187,278,31.0
32,4LK4A,2OLGA,Structure Of Vibrio Cholerae Vesb Protease,2.3,186,278,29.0
33,2XWBF,2OLGA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.0,184,278,27.7
34,5HU6C,2OLGA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,184,278,28.3
35,2XRCB,2OLGA,Human Complement Factor I,2.4,182,278,30.8
36,3BEUA,2OLGA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.9,176,278,29.5
37,3LGIB,2OLGA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,172,278,16.3
38,1ARBA,2OLGA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,169,278,15.4
39,3WY8A,2OLGA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.1,168,278,13.1
40,1WCZA,2OLGA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.5,166,278,13.9
41,1AGJA,2OLGA,Epidermolytic Toxin A From Staphylococcus Aureus,2.4,165,278,18.8
42,1TE0A,2OLGA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,164,278,15.2
43,5HMAA,2OLGA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.9,162,278,17.9
44,1P3CA,2OLGA,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,161,278,19.3
45,4RI0A,2OLGA,"Serine Protease Htra3, Mutationally Inactivated",2.8,161,278,17.4
46,2J92A,2OLGA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.0,160,278,13.8
47,4FLNA,2OLGA,Crystal Structure Of Plant Protease Deg2,2.8,159,278,15.1
48,2HALA,2OLGA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.1,158,278,10.1
49,1ZYOA,2OLGA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,155,278,14.2
50,5HM2E,2OLGA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.8,152,278,12.5
51,3K6YA,2OLGA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.4,151,278,19.2
52,1L1JA,2OLGA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,149,278,19.5
53,2Z9IA,2OLGA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,149,278,18.1
54,2XYAA,2OLGA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.0,143,278,16.1
55,1LVMA,2OLGA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,142,278,14.8
56,5BPEA,2OLGA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,3.0,142,278,18.3
57,3UFAA,2OLGA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.6,140,278,17.1
58,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
59,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
60,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
61,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
62,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
63,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
64,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
65,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
66,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
67,2QA9E,5HMAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.7,160,191,14.4
68,3WOKA,5HMAA,Crystal Structure Of The Dap Bii (space),2.3,158,191,19.6
69,2H5CA,5HMAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,156,191,14.1
70,2OUAA,5HMAA,Crystal Structure Of Nocardiopsis Protease (Napase),2.5,155,191,16.1
71,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
72,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
73,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
74,1LCYA,2HALA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.3,167,212,10.8
75,2W5EA,1ZYOA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.9,148,191,18.9
76,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
77,4WMEA,2XYAA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,137,182,13.9
78,5DGJA,5BPEA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,146,180,11.6
79,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
80,4K3JA,4JCNA,Crystal Structure Of Onartuzumab Fab In Complex With Met And Hgf-beta,2.2,181,216,12.2
81,4WJG2,4JCNA,Structure Of T. Brucei Haptoglobin-hemoglobin Receptor Binding To Human Haptoglobin-hemoglobin,2.1,179,216,12.8
82,4CBNA,4JCNA,Crystal Structure Of Complement Factor D Mutant R202a After Conventional Refinement,2.2,177,216,14.7
83,4IBLH,4JCNA,Rubidium Sites In Blood Coagulation Factor Viia,2.2,176,216,12.5
84,4M7GA,4JCNA,Streptomyces Erythraeus Trypsin,2.2,173,216,15.0
85,4K8YA,4JCNA,Atomic Resolution Crystal Structures Of Kallikrein-related Peptidase 4 Complexed With Sunflower Trypsin Inhibitor (sfti-1),2.4,171,216,11.1
86,4KP0A,4JCNA,Crystal Structure Of The Human Chymase With Tjk002,2.2,164,216,18.3
87,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
88,1MBMA,2W5EA,Nsp4 Proteinase From Equine Arteritis Virus,2.4,133,163,17.3
89,3FANA,2W5EA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),2.6,129,163,18.6
90,5EQQA,2W5EA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.5,126,163,11.9
91,5EPNA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.8
92,5EPYA,2W5EA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.5,125,163,12.0
93,4X2VB,5DGJA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,1.0,152,188,56.6
94,4FLNC,4INKA,Crystal Structure Of Plant Protease Deg2,1.7,154,205,23.4
95,1CU1A,5EQQA,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,0.8,188,190,86.7
96,1WQSA,4X2VB,Crystal Structure Of Norovirus 3c-Like Protease,1.9,169,185,58.6
97,1LVBB,4X2VB,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,3.0,143,185,14.0
98,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
99,4ZROC,1WQSA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,135,173,18.5
