,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5AVDA,1NPMA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.4,220,225,32.7
1,1AZZA,1NPMA,Fiddler Crab Collagenase Complexed To Ecotin,1.6,218,225,34.9
2,2QXIA,1NPMA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.1,218,225,48.2
3,4I8HA,1NPMA,Bovine Trypsin At 0.75 Resolution,1.1,218,225,46.3
4,1EAXA,1NPMA,Crystal Structure Of Mtsp1 (Matriptase),1.2,217,225,32.7
5,1FIZA,1NPMA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.3,215,225,35.8
6,1VZQH,1NPMA,Complex Of Thrombin With Designed Inhibitor 7165,1.3,215,225,37.2
7,1PQ7A,1NPMA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,214,225,31.8
8,2XW9A,1NPMA,Crystal Structure Of Complement Factor D Mutant S183a,1.3,214,225,38.3
9,4AFQA,1NPMA,Human Chymase - Fynomer Complex,1.5,214,225,33.2
10,4Z6AH,1NPMA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,214,225,38.8
11,2AIQA,1NPMA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,213,225,38.0
12,2OQ5A,1NPMA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.4,213,225,34.7
13,3TVJB,1NPMA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,212,225,34.0
14,1M9UA,1NPMA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.4,210,225,29.0
15,4FXGH,1NPMA,Complement C4 In Complex With Masp-2,1.3,210,225,33.3
16,1EQ9A,1NPMA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,209,225,30.1
17,2F91A,1NPMA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.1,209,225,33.5
18,3H7TA,1NPMA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.1,209,225,24.4
19,3BEUA,1NPMA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,207,225,29.0
20,2HLCA,1NPMA,Hl Collagenase Structure At 1.7a Resolution,1.9,206,225,29.1
21,4WVPE,1NPMA,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,205,225,28.3
22,4XSKU,1NPMA,"Structure Of Paitrap, An Upa Mutant",1.5,201,225,37.8
23,4MNWA,1NPMA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,200,225,38.5
24,5EDMA,1NPMA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.9,200,225,36.5
25,1DDJA,1NPMA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,197,225,41.1
26,3H7OA,1NPMA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,197,225,24.9
27,5EDKA,1NPMA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.0,196,225,39.3
28,4A5TS,1NPMA,Structural Basis For The Conformational Modulation,1.7,193,225,40.9
29,2B9LA,1NPMA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.8,192,225,32.3
30,2OLGA,1NPMA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.6,192,225,33.3
31,3NXPA,1NPMA,Crystal Structure Of Human Prethrombin-1,1.7,191,225,39.3
32,2XWBF,1NPMA,Crystal Structure Of Complement C3b In Complex With Factors B And D,1.9,190,225,30.0
33,3WY8A,1NPMA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,189,225,11.1
34,5HU6C,1NPMA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.8,189,225,30.2
35,3F1SB,1NPMA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,188,225,21.8
36,4LK4A,1NPMA,Structure Of Vibrio Cholerae Vesb Protease,1.6,188,225,30.9
37,1P3CA,1NPMA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,177,225,17.5
38,1WCZA,1NPMA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,169,225,16.6
39,3LGIB,1NPMA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,169,225,18.9
40,1AGJA,1NPMA,Epidermolytic Toxin A From Staphylococcus Aureus,2.4,167,225,22.8
41,4FLNA,1NPMA,Crystal Structure Of Plant Protease Deg2,2.8,163,225,14.1
42,1ARBA,1NPMA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,162,225,18.5
43,5HMAA,1NPMA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,160,225,17.5
44,1ZYOA,1NPMA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,159,225,17.0
45,2XRCB,1NPMA,Human Complement Factor I,1.8,159,225,39.6
46,3K6YA,1NPMA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,158,225,20.3
47,3WOKA,1NPMA,Crystal Structure Of The Dap Bii (space),2.3,154,225,18.2
48,1L1JA,1NPMA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,153,225,17.0
49,2Z9IA,1NPMA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,153,225,18.3
50,3UFAA,1NPMA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.7,152,225,18.4
51,4RI0A,1NPMA,"Serine Protease Htra3, Mutationally Inactivated",2.4,151,225,17.9
52,1LVMA,1NPMA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,150,225,14.0
53,1TE0A,1NPMA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.3,146,225,18.5
54,2H5CA,1NPMA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.7,145,225,16.6
55,2QA9E,1NPMA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.8,145,225,19.3
56,2HALA,1NPMA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,138,225,14.5
57,5BPEA,1NPMA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.4,133,225,18.0
58,2OUAA,1NPMA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,132,225,18.9
59,4WMEA,1NPMA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.5,132,225,6.8
60,2XYAA,1NPMA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.4,131,225,18.3
61,1MBMB,1NPMA,Nsp4 Proteinase From Equine Arteritis Virus,3.1,128,225,16.4
62,2J92A,1NPMA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.5,128,225,14.8
63,4XFQA,1NPMA,Crystal Structure Basis For Pedv 3c Like Protease,2.4,127,225,10.2
