,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1FIZA,2ZGCA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.6,228,240,33.3
1,5AVDA,2ZGCA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,227,240,36.1
2,2OQ5A,2ZGCA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.6,226,240,30.5
3,4XSKU,2ZGCA,"Structure Of Paitrap, An Upa Mutant",1.7,226,240,31.9
4,1EAXA,2ZGCA,Crystal Structure Of Mtsp1 (Matriptase),1.6,225,240,32.0
5,3TVJB,2ZGCA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.1,225,240,29.8
6,1VZQH,2ZGCA,Complex Of Thrombin With Designed Inhibitor 7165,1.8,224,240,29.9
7,4MNWA,2ZGCA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,224,240,33.0
8,4Z6AH,2ZGCA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.9,224,240,30.4
9,1M9UA,2ZGCA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.8,223,240,29.1
10,2XW9A,2ZGCA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,223,240,43.5
11,3H7TA,2ZGCA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,222,240,24.3
12,2F91A,2ZGCA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.6,221,240,28.1
13,4FXGH,2ZGCA,Complement C4 In Complex With Masp-2,2.0,221,240,29.9
14,1AZZA,2ZGCA,Fiddler Crab Collagenase Complexed To Ecotin,1.9,218,240,32.1
15,2QXIA,2ZGCA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,218,240,32.6
16,1PQ7A,2ZGCA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,217,240,29.0
17,1EQ9A,2ZGCA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,216,240,31.9
