,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OUAA,2ALPA,Crystal Structure Of Nocardiopsis Protease (Napase),1.1,180,198,47.2
1,2QA9E,2ALPA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,1.3,172,198,37.2
2,1ARBA,2ALPA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,158,198,16.5
3,5HMAA,2ALPA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,157,198,14.0
4,3K6YA,2ALPA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.6,151,198,17.2
5,5BPEA,2ALPA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.8,149,198,14.8
6,4FLNA,2ALPA,Crystal Structure Of Plant Protease Deg2,2.4,148,198,17.6
7,2J92A,2ALPA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.7,146,198,13.0
8,3H7OA,2ALPA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.7,146,198,15.1
9,3TJOA,2ALPA,"Htra1 Catalytic Domain, Mutationally Inactivated",2.5,146,198,15.1
10,1M9UA,2ALPA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.7,145,198,16.6
11,2XYAA,2ALPA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.1,144,198,10.4
12,3LGIB,2ALPA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.1,143,198,16.1
13,5HM2E,2ALPA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,143,198,16.1
14,1TE0A,2ALPA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,141,198,17.0
15,2AIQA,2ALPA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.2,141,198,19.9
