,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5AVDA,1AO5A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,224,237,32.6
1,2QXIA,1AO5A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.2,222,237,44.1
2,4I8HA,1AO5A,Bovine Trypsin At 0.75 Resolution,1.2,221,237,39.4
3,1VZQH,1AO5A,Complex Of Thrombin With Designed Inhibitor 7165,1.3,220,237,31.4
4,2AIQA,1AO5A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,220,237,36.8
5,4Z6AH,1AO5A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,220,237,32.3
6,1EAXA,1AO5A,Crystal Structure Of Mtsp1 (Matriptase),1.2,219,237,36.1
7,1AZZA,1AO5A,Fiddler Crab Collagenase Complexed To Ecotin,1.6,218,237,32.1
8,1FIZA,1AO5A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,218,237,32.1
9,1M9UA,1AO5A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,217,237,28.6
10,3TVJB,1AO5A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,216,237,32.4
11,4AFQA,1AO5A,Human Chymase - Fynomer Complex,1.3,216,237,34.3
12,2F91A,1AO5A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,215,237,34.9
13,2XW9A,1AO5A,Crystal Structure Of Complement Factor D Mutant S183a,1.5,215,237,34.4
14,1PQ7A,1AO5A,"Trypsin At 0.8 A, Ph5  BORAX",1.6,214,237,29.4
15,2OQ5A,1AO5A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.6,214,237,30.4
16,3H7TA,1AO5A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,212,237,22.6
17,4FXGH,1AO5A,Complement C4 In Complex With Masp-2,1.3,212,237,32.5
18,1EQ9A,1AO5A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,210,237,31.4
19,4WVPE,1AO5A,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,210,237,28.6
20,5EDMA,1AO5A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,208,237,31.2
21,3BEUA,1AO5A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,207,237,27.5
22,5EDKA,1AO5A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,206,237,32.5
23,2HLCA,1AO5A,Hl Collagenase Structure At 1.7a Resolution,1.9,205,237,26.8
24,1DDJA,1AO5A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.9,205,237,40.0
25,3H7OA,1AO5A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,205,237,28.3
26,2OLGA,1AO5A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,204,237,28.9
27,4A5TS,1AO5A,Structural Basis For The Conformational Modulation,1.9,203,237,39.9
28,3NXPA,1AO5A,Crystal Structure Of Human Prethrombin-1,1.9,202,237,31.2
29,4MNWA,1AO5A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,202,237,31.2
30,4XSKU,1AO5A,"Structure Of Paitrap, An Upa Mutant",1.5,202,237,30.7
31,2B9LA,1AO5A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.1,196,237,30.6
32,4LK4A,1AO5A,Structure Of Vibrio Cholerae Vesb Protease,2.0,195,237,24.6
33,3F1SB,1AO5A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,192,237,25.0
34,5HU6C,1AO5A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,192,237,25.5
35,3WY8A,1AO5A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,187,237,11.8
36,1AGJA,1AO5A,Epidermolytic Toxin A From Staphylococcus Aureus,2.7,173,237,19.1
37,1P3CA,1AO5A,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,169,237,15.4
38,1WCZA,1AO5A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,168,237,11.9
39,3LGIB,1AO5A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,168,237,17.9
40,1ARBA,1AO5A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,167,237,17.4
41,1ZYOA,1AO5A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,165,237,16.4
42,4FLNA,1AO5A,Crystal Structure Of Plant Protease Deg2,2.9,165,237,14.5
43,1TE0A,1AO5A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.8,162,237,17.3
44,3WOKA,1AO5A,Crystal Structure Of The Dap Bii (space),2.6,161,237,16.8
45,5HMAA,1AO5A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,160,237,15.6
46,2XRCB,1AO5A,Human Complement Factor I,1.9,158,237,32.9
47,4RI0A,1AO5A,"Serine Protease Htra3, Mutationally Inactivated",2.8,158,237,12.7
48,1LVMA,1AO5A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,157,237,13.4
49,3K6YA,1AO5A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,156,237,16.0
50,3UFAA,1AO5A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.8,154,237,14.9
51,2Z9IA,1AO5A,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,151,237,14.6
52,1L1JA,1AO5A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.5,149,237,14.1
53,2W5EA,1AO5A,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.6,145,237,11.7
54,2XYAA,1AO5A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,138,237,15.9
55,2QAAA,1AO5A,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 7.3,2.7,138,237,19.6
56,4WMEA,1AO5A,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,138,237,11.6
