,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4AFQA,1IAUA,Human Chymase - Fynomer Complex,1.1,223,227,53.4
1,1VZQH,1IAUA,Complex Of Thrombin With Designed Inhibitor 7165,1.5,217,227,29.0
2,4FXGH,1IAUA,Complement C4 In Complex With Masp-2,1.6,217,227,28.6
3,1AZZA,1IAUA,Fiddler Crab Collagenase Complexed To Ecotin,1.2,216,227,36.1
4,3H7TA,1IAUA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.6,216,227,25.5
5,3TVJB,1IAUA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,216,227,28.7
6,4XSKU,1IAUA,"Structure Of Paitrap, An Upa Mutant",1.7,216,227,31.5
7,1EAXA,1IAUA,Crystal Structure Of Mtsp1 (Matriptase),1.0,215,227,32.6
8,1M9UA,1IAUA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.7,215,227,28.4
9,2AIQA,1IAUA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.4,215,227,30.7
10,2QXIA,1IAUA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,215,227,35.8
11,4I8HA,1IAUA,Bovine Trypsin At 0.75 Resolution,1.1,215,227,37.7
12,1PQ7A,1IAUA,"Trypsin At 0.8 A, Ph5  BORAX",1.7,214,227,25.2
13,2F91A,1IAUA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,214,227,31.8
14,5AVDA,1IAUA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,213,227,31.9
15,4Z6AH,1IAUA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.4,212,227,31.1
16,2HLCA,1IAUA,Hl Collagenase Structure At 1.7a Resolution,1.4,211,227,32.2
17,4MNWA,1IAUA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,211,227,32.7
18,1FIZA,1IAUA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,210,227,33.3
19,2XW9A,1IAUA,Crystal Structure Of Complement Factor D Mutant S183a,1.5,210,227,38.6
20,3H7OA,1IAUA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,209,227,27.8
21,1EQ9A,1IAUA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.4,206,227,33.0
22,2OQ5A,1IAUA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,206,227,30.6
23,4WVPE,1IAUA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,205,227,37.1
24,3NXPA,1IAUA,Crystal Structure Of Human Prethrombin-1,2.1,201,227,29.9
25,2OLGA,1IAUA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,198,227,30.3
26,5EDMA,1IAUA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.9,198,227,30.3
27,5EDKA,1IAUA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.9,195,227,31.3
28,3BEUA,1IAUA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.3,194,227,28.9
29,5HU6C,1IAUA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,194,227,26.3
30,1DDJA,1IAUA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.5,189,227,41.8
31,3F1SB,1IAUA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,188,227,24.5
32,4A5TS,1IAUA,Structural Basis For The Conformational Modulation,1.7,187,227,43.9
33,4LK4A,1IAUA,Structure Of Vibrio Cholerae Vesb Protease,1.8,185,227,31.4
34,2B9LA,1IAUA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.8,183,227,31.1
35,3WY8A,1IAUA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.6,181,227,13.8
36,1WCZA,1IAUA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,178,227,15.7
37,1P3CA,1IAUA,Glutamyl Endopeptidase From Bacillus Intermedius,1.9,176,227,18.2
38,2XRCB,1IAUA,Human Complement Factor I,2.1,175,227,31.4
39,1AGJA,1IAUA,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,173,227,15.0
40,4FLNA,1IAUA,Crystal Structure Of Plant Protease Deg2,2.6,167,227,16.8
41,3LGIB,1IAUA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.5,165,227,13.3
42,1ARBA,1IAUA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,162,227,18.5
43,3UFAA,1IAUA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.0,162,227,14.8
44,1TE0A,1IAUA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,161,227,13.7
45,2Z9IA,1IAUA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,159,227,16.4
46,3K6YA,1IAUA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,157,227,18.5
47,1L1JA,1IAUA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.2,156,227,16.0
48,4RI0A,1IAUA,"Serine Protease Htra3, Mutationally Inactivated",2.3,152,227,17.1
49,5HMAA,1IAUA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.5,152,227,19.1
50,1ZYOA,1IAUA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,150,227,14.7
51,1LVMA,1IAUA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.8,150,227,13.3
52,3WOKA,1IAUA,Crystal Structure Of The Dap Bii (space),2.4,149,227,14.8
53,5BPEA,1IAUA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,148,227,14.2
54,2XYAA,1IAUA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,145,227,15.2
55,2OUAA,1IAUA,Crystal Structure Of Nocardiopsis Protease (Napase),2.2,136,227,18.4
56,2J92A,1IAUA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,134,227,14.9
57,2HALA,1IAUA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,133,227,15.8
58,5HM2E,1IAUA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.4,133,227,12.8
59,2H5CA,1IAUA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.0,132,227,17.4
60,2QA9E,1IAUA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.0,131,227,20.6
61,4WMEA,1IAUA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.2,130,227,9.2
62,2W5EA,1IAUA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.0,126,227,15.1
63,1MBMA,1IAUA,Nsp4 Proteinase From Equine Arteritis Virus,2.8,123,227,15.4
64,5EU8A,1IAUA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.2,123,227,10.6
65,5DGJA,1IAUA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.8,123,227,16.3
66,4X2VB,1IAUA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.6,122,227,13.9
67,1VCPA,1IAUA,Semliki Forest Virus Capsid Protein (Crystal Form I),3.2,120,227,14.2
68,1YPHC,1IAUA,High Resolution Structure Of Bovine Alpha-Chymotrypsin,0.9,120,227,35.8
69,2QV1B,1IAUA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.8,120,227,11.7
70,4ZROA,1IAUA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.1,119,227,9.2
71,4XFQA,1IAUA,Crystal Structure Basis For Pedv 3c Like Protease,2.1,119,227,10.1
72,2GGVB,1IAUA,"Crystal Structure Of The West Nile Virus Ns2b-Ns3 Protease, His51ala Mutant",2.5,117,227,13.7
73,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
74,2XWBF,3H7TA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.0,189,235,20.1
75,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
76,4JCNA,4XSKU,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.7,197,246,13.7
77,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
78,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
79,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
80,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
81,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
82,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
83,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
84,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
85,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
86,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
87,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
