,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4X2VB,1WQSA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,1.9,169,173,58.6
1,5HM2E,1WQSA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.7,154,173,12.3
2,2HALA,1WQSA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.4,153,173,12.4
3,2OQ5A,1WQSA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.4,150,173,12.7
4,2J92A,1WQSA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.6,149,173,10.1
5,1ARBA,1WQSA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",3.2,149,173,11.4
6,4I8HA,1WQSA,Bovine Trypsin At 0.75 Resolution,3.4,148,173,10.8
7,1LVMA,1WQSA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.2,147,173,13.6
8,5BPEA,1WQSA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,3.3,147,173,13.6
9,3K6YA,1WQSA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",3.5,146,173,17.8
10,3NXPA,1WQSA,Crystal Structure Of Human Prethrombin-1,3.4,145,173,13.1
11,1DDJA,1WQSA,Crystal Structure Of Human Plasminogen Catalytic Domain,3.0,143,173,16.8
12,1FIZA,1WQSA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,3.2,143,173,16.8
13,3CP7A,1WQSA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,3.2,143,173,11.9
14,5HMAA,1WQSA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),3.5,143,173,16.8
15,2HLCA,1WQSA,Hl Collagenase Structure At 1.7a Resolution,3.2,142,173,14.8
16,2F91A,1WQSA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",3.1,142,173,11.3
17,2OLGA,1WQSA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.7,139,173,15.8
18,2QXIA,1WQSA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,3.1,139,173,15.8
19,2Z9IA,1WQSA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,3.6,139,173,13.7
20,3TVJB,1WQSA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.8,139,173,13.7
21,4CR9A,1WQSA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,3.1,139,173,14.4
22,2XYAA,1WQSA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.0,138,173,14.5
23,3UFAA,1WQSA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,3.0,138,173,12.3
24,4Z6AH,1WQSA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.9,138,173,13.0
25,2H5DA,1WQSA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",3.2,137,173,8.8
26,3BEUA,1WQSA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,3.0,137,173,15.3
27,4FXGH,1WQSA,Complement C4 In Complex With Masp-2,2.8,137,173,12.4
28,5AVDA,1WQSA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,3.2,137,173,14.6
