,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2QY0A,3GOVA,Active Dimeric Structure Of The Catalytic Domain Of C1r Reveals Enzyme-Product Like Contacts,2.2,140,155,40.7
1,1QUBA,3GOVA,Crystal Structure Of The Glycosylated Five-Domain Human Beta2-Glycoprotein I Purified From Blood Plasma,3.1,121,155,23.1
2,2XRDA,3GOVA,Structure Of The N-Terminal Four Domains Of The Complement Regulator Rat Crry,2.2,120,155,19.2
3,1NWVA,3GOVA,Solution Structure Of A Functionally Active Component Of Decay Accelerating Factor,3.7,119,155,23.5
4,1OK3A,3GOVA,Decay Accelerating Factor (Cd55): The Structure Of An Intact Human Complement Regulator,2.3,118,155,24.6
5,2O39C,3GOVA,"Human Adenovirus Type 11 Knob In Complex With Domains Scr1 And Scr2 Of Cd46 (Membrane Cofactor Protein, Mcp)",4.2,118,155,17.8
6,1GKGA,3GOVA,"Structure Determination And Rational Mutagenesis Reveal Binding Surface Of Immune Adherence Receptor, Cr1 (Cd35)",2.4,117,155,23.1
7,2RLQA,3GOVA,Nmr Structure Of Ccp Modules 2-3 Of Complement Factor H,2.5,116,155,20.7
8,4C16A,3GOVA,"E-selectin Lectin, Egf-like And Two Scr Domains Complexed With Glycomimetic Antagonist",2.1,116,155,25.0
9,1E5GA,3GOVA,Solution Structure Of Central Cp Module Pair Of A Pox Virus Complement Inhibitor,3.2,114,155,21.9
10,1H03P,3GOVA,Human Cd55 Domains 3 & 4,1.8,107,155,27.1
11,1GKNA,3GOVA,"Structure Determination And Rational Mutagenesis Reveal Binding Surface Of Immune Adherence Receptor, Cr1 (Cd35)",4.0,104,155,17.3
12,4LOSA,3GOVA,C1s Cub2-ccp1,2.7,100,155,12.0
13,4IGDA,2QY0A,Crystal Structure Of The Zymogen Catalytic Region Of Human Masp-1,2.0,140,159,40.7
14,2XRBA,2O39C,Structure Of The N-Terminal Four Domains Of The Complement Regulator Rat Crry,2.4,116,126,29.3
15,2RLPA,2O39C,Nmr Structure Of Ccp Modules 1-2 Of Complement Factor H,2.3,105,126,23.8
16,4FXGG,1E5GA,Complement C4 In Complex With Masp-2,3.5,115,120,23.5
17,3ERBA,1E5GA,"The Crystal Structure Of C2b, A Fragment Of Complement Component C2 Produced During C3-Convertase Formation",3.0,110,120,27.3
18,2WIIC,1E5GA,Complement C3b In Complex With Factor H Domains 1-4,4.5,109,120,27.5
19,2XWBF,3ERBA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.1,177,223,48.6
