,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OUAA,1SGPE,Crystal Structure Of Nocardiopsis Protease (Napase),1.3,175,185,42.9
1,2H5CA,1SGPE,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.3,173,185,36.4
2,5HMAA,1SGPE,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.6,158,185,13.3
3,1ARBA,1SGPE,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.9,155,185,21.3
4,1L1JA,1SGPE,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,153,185,19.6
5,3H7OA,1SGPE,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),3.2,153,185,16.3
6,3K6YA,1SGPE,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.8,152,185,18.4
7,2Z9IA,1SGPE,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,150,185,26.0
8,5HM2E,1SGPE,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.1,148,185,15.5
9,4FLNA,1SGPE,Crystal Structure Of Plant Protease Deg2,2.3,147,185,17.7
10,1AZZA,1SGPE,Fiddler Crab Collagenase Complexed To Ecotin,2.5,146,185,26.7
11,2QXIA,1SGPE,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.7,146,185,21.2
12,5BPEA,1SGPE,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,145,185,14.5
13,1ZYOA,1SGPE,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.5,144,185,21.5
14,3LGIB,1SGPE,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.4,144,185,18.1
15,1TE0A,1SGPE,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,143,185,18.2
16,1DDJA,1SGPE,Crystal Structure Of Human Plasminogen Catalytic Domain,2.9,142,185,14.1
17,2AIQA,1SGPE,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.5,141,185,16.3
18,2OLGA,1SGPE,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.0,141,185,21.3
19,1PQAA,1SGPE,Trypsin With Pmsf At Atomic Resolution,2.7,140,185,19.3
20,4FXGH,1SGPE,Complement C4 In Complex With Masp-2,2.5,140,185,16.4
21,1YM0A,1SGPE,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",2.3,139,185,20.9
22,2XYAA,1SGPE,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.9,139,185,15.8
23,1FUJA,1SGPE,Pr3 (Myeloblastin),2.7,138,185,18.8
24,1AGJA,1SGPE,Epidermolytic Toxin A From Staphylococcus Aureus,2.2,138,185,12.3
25,1EQ9A,1SGPE,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.5,138,185,25.4
26,1FIWA,1SGPE,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,2.7,138,185,18.8
27,3TVJB,1SGPE,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.5,138,185,17.4
28,1VZQH,1SGPE,Complex Of Thrombin With Designed Inhibitor 7165,2.6,137,185,17.5
29,1LVMA,1SGPE,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,136,185,12.5
30,2HLCA,1SGPE,Hl Collagenase Structure At 1.7a Resolution,2.4,135,185,23.7
31,4CR9A,1SGPE,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.8,135,185,20.7
32,5AVDA,1SGPE,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.7,135,185,20.0
33,4XSKU,1SGPE,"Structure Of Paitrap, An Upa Mutant",2.8,135,185,17.8
34,5HU6C,1SGPE,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.3,135,185,15.6
35,1M9UA,1SGPE,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.3,134,185,23.1
