,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3FANA,1MBMA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),3.1,173,198,35.3
1,4ZROA,1MBMA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.7,137,198,16.8
2,5EU8A,1MBMA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.6,137,198,16.8
3,2XYAA,1MBMA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,3.5,136,198,11.0
4,2QAAB,1MBMA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 7.3,2.8,136,198,16.9
5,3CP7A,1MBMA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,2.4,133,198,18.0
6,2W5EA,1MBMA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,133,198,17.3
7,4WMEA,1MBMA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.5,132,198,12.9
8,4XFQA,1MBMA,Crystal Structure Basis For Pedv 3c Like Protease,2.6,130,198,15.4
9,2HLCA,1MBMA,Hl Collagenase Structure At 1.7a Resolution,2.7,128,198,18.0
10,2PFEB,1MBMA,Crystal Structure Of Thermobifida Fusca Protease A (Tfpa),2.8,126,198,15.9
11,1WYKA,1MBMA,Sindbis Virus Capsid Protein (114-264),3.0,125,198,16.8
12,2QY0B,1MBMA,Active Dimeric Structure Of The Catalytic Domain Of C1r Reveals Enzyme-Product Like Contacts,2.5,124,198,16.1
13,3TJOA,1MBMA,"Htra1 Catalytic Domain, Mutationally Inactivated",2.5,124,198,16.9
14,4KELA,1MBMA,Atomic Resolution Crystal Structure Of Kallikrein-related Peptidase 4 Complexed With A Modified Sfti Inhibitor Fcqr(n),3.0,124,198,12.1
15,3H7TB,1MBMA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,120,198,15.8
16,4NSYB,1MBMA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,2.4,120,198,18.3
17,2R3UC,1MBMA,Crystal Structure Of The Pdz Deletion Mutant Of Degs,2.7,119,198,18.5
18,4X2VB,1MBMA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.1,118,198,21.2
19,3K6ZB,1MBMA,"Crystal Structure Of Rv3671c Protease, Inactive Form",2.4,116,198,20.7
20,2OC1A,1MBMA,Structure Of The Hcv Ns34A PROTEASE INHIBITOR CVS4819,2.7,114,198,14.0
21,5DGJA,1MBMA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.0,106,198,19.8
22,3U1IB,1MBMA,Dengue Virus Protease Covalently Bound To A Peptide,2.5,104,198,16.3
23,5BPEA,2XYAA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,1.2,171,182,49.1
24,5HM2E,2XYAA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.1,164,182,17.1
25,2J92A,2XYAA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.1,163,182,17.2
26,2HALA,2XYAA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.1,163,182,21.5
27,3K6YA,2XYAA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",3.0,160,182,13.1
28,1L1JA,2XYAA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.8,158,182,15.8
29,1TE0A,2XYAA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",3.0,156,182,11.5
30,3LGIB,2XYAA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.8,154,182,12.3
31,1WCZA,2XYAA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.9,153,182,12.4
32,4RI0A,2XYAA,"Serine Protease Htra3, Mutationally Inactivated",2.9,152,182,11.2
33,1AGJA,2XYAA,Epidermolytic Toxin A From Staphylococcus Aureus,2.9,151,182,12.6
34,1DDJA,2XYAA,Crystal Structure Of Human Plasminogen Catalytic Domain,3.1,150,182,13.3
35,3H7TA,2XYAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.8,150,182,10.0
36,3WY8A,2XYAA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.2,150,182,8.7
37,4AFQA,2XYAA,Human Chymase - Fynomer Complex,2.8,149,182,14.8
38,4WVPE,2XYAA,Crystal Structure Of An Activity-based Probe Hne Complex,2.9,149,182,14.1
39,1LVMA,2XYAA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.4,147,182,14.3
40,5HMAA,2XYAA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,147,182,15.0
41,1EQ9A,2XYAA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,3.1,146,182,14.4
42,1M9UA,2XYAA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.8,146,182,11.6
43,3H7OA,2XYAA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.8,146,182,13.7
44,1ZYOA,2XYAA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.3,145,182,12.4
45,1ARBA,2XYAA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.5,145,182,18.6
46,4FLNA,2XYAA,Crystal Structure Of Plant Protease Deg2,2.6,145,182,7.6
47,1EAXA,2XYAA,Crystal Structure Of Mtsp1 (Matriptase),2.9,144,182,12.5
48,2OUAA,2XYAA,Crystal Structure Of Nocardiopsis Protease (Napase),3.1,144,182,11.1
49,2QA9E,2XYAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,3.1,144,182,14.6
50,5AVDA,2XYAA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.9,144,182,11.1
51,2OLGA,2XYAA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.0,143,182,16.1
52,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
53,1P3CA,2XYAA,Glutamyl Endopeptidase From Bacillus Intermedius,2.7,142,182,15.5
54,2OQ5A,2XYAA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.8,142,182,12.7
55,4XSKU,2XYAA,"Structure Of Paitrap, An Upa Mutant",2.9,141,182,17.0
56,5HU6C,2XYAA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.7,141,182,6.4
57,4I8HA,2XYAA,Bovine Trypsin At 0.75 Resolution,2.7,140,182,16.4
58,4MNWA,2XYAA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.8,139,182,17.3
59,1PQ7A,2XYAA,"Trypsin At 0.8 A, Ph5  BORAX",2.7,138,182,15.9
60,3BEUA,2XYAA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.5,138,182,15.2
61,4FXGH,2XYAA,Complement C4 In Complex With Masp-2,2.8,138,182,17.4
62,2AIQA,2XYAA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.6,137,182,18.2
63,2XW9A,2XYAA,Crystal Structure Of Complement Factor D Mutant S183a,2.8,137,182,13.1
64,2H5CA,2QAAB,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.4,176,185,36.4
65,2Z9IA,2QAAB,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,153,185,25.5
66,2WV5D,2QAAB,Crystal Structure Of Foot-And-Mouth Disease Virus 3c Protease In Complex With A Decameric Peptide Corresponding To The Vp1-2a Cleavage Junction With A Gln To Glu Substitution At P1,3.6,151,185,17.2
67,2QXIA,2QAAB,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.6,144,185,20.8
68,4CR9A,2QAAB,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,3.0,144,185,19.4
69,1AZZA,2QAAB,Fiddler Crab Collagenase Complexed To Ecotin,2.2,143,185,27.3
70,3TVJB,2QAAB,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.7,143,185,17.5
