,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OUAA,2PFEA,Crystal Structure Of Nocardiopsis Protease (Napase),0.8,183,186,59.6
1,2H5CA,2PFEA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,0.9,179,186,52.5
2,2QA9E,2PFEA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,1.3,174,186,45.4
3,5HMAA,2PFEA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,157,186,19.1
4,3K6YA,2PFEA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.5,150,186,17.3
5,3QO6B,2PFEA,Crystal Structure Analysis Of The Plant Protease Deg1,2.4,150,186,18.0
6,4NSYB,2PFEA,Wild-type Lysobacter Enzymogenes Lysc Endoproteinase Covalently Inhibited By Tlck,2.8,148,186,14.9
7,3LGIB,2PFEA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.5,146,186,17.1
8,5HM2E,2PFEA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.8,145,186,17.2
9,4FLNA,2PFEA,Crystal Structure Of Plant Protease Deg2,2.4,142,186,17.6
10,2AIQA,2PFEA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.6,141,186,17.7
11,1EAXA,2PFEA,Crystal Structure Of Mtsp1 (Matriptase),2.6,140,186,13.6
12,3BEUA,2PFEA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.5,138,186,17.4
13,5BPEA,2PFEA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,138,186,8.7
14,1L1JA,2PFEA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.0,137,186,19.0
15,2QXIA,2PFEA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.6,137,186,19.0
16,2W5EA,2PFEA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.6,137,186,15.3
17,3H7OA,2PFEA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.5,137,186,18.2
18,4I8HA,2PFEA,Bovine Trypsin At 0.75 Resolution,2.6,137,186,20.4
19,5AVDA,2PFEA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,137,186,19.7
20,3TVJB,2PFEA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.7,135,186,12.6
21,4RI0A,2PFEA,"Serine Protease Htra3, Mutationally Inactivated",2.3,135,186,17.0
22,1M9UA,2PFEA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.7,134,186,16.4
23,1ZYOA,2PFEA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.0,134,186,14.9
24,2OQ5A,2PFEA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.6,134,186,17.9
25,3H7TA,2PFEA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,134,186,14.2
26,2XW9A,2PFEA,Crystal Structure Of Complement Factor D Mutant S183a,2.9,134,186,14.2
27,1FUJA,2PFEA,Pr3 (Myeloblastin),2.7,133,186,19.5
28,1AZZA,2PFEA,Fiddler Crab Collagenase Complexed To Ecotin,2.3,133,186,22.6
29,1PQ7A,2PFEA,"Trypsin At 0.8 A, Ph5  BORAX",2.4,133,186,19.5
30,1P3EA,2PFEA,Structure Of Glu Endopeptidase In Complex With Mpd,2.5,133,186,19.5
31,3CP7A,2PFEA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,2.6,133,186,19.5
32,2XYAA,2PFEA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.9,133,186,9.8
33,4FXGH,2PFEA,Complement C4 In Complex With Masp-2,2.6,133,186,12.8
34,5HU6C,2PFEA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.4,133,186,11.3
35,2J92A,2PFEA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.3,132,186,16.7
36,4AFQA,2PFEA,Human Chymase - Fynomer Complex,2.1,132,186,18.9
37,4XSKU,2PFEA,"Structure Of Paitrap, An Upa Mutant",2.3,132,186,16.7
38,2HLCA,2PFEA,Hl Collagenase Structure At 1.7a Resolution,2.3,131,186,18.3
39,2QV1B,2PFEA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.7,131,186,13.7
40,4GLYA,2PFEA,Human Urokinase-type Plasminogen Activator Upa In Complex With The Two-disulfide Bridge Peptide Uk504,2.3,131,186,18.3
41,1DDJA,2PFEA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.8,129,186,15.5
42,1WCZA,2PFEA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,128,186,14.1
43,2OLGA,2PFEA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.6,128,186,17.2
44,2AS9A,2PFEA,Functional And Structural Characterization Of Spl Proteases From Staphylococcus Aureus,2.1,127,186,15.7
45,1LVMB,2PFEA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,125,186,12.8
46,4Z6AH,2PFEA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.3,125,186,16.0
47,1AGJA,2PFEA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,122,186,13.9
48,2BZ6H,2PFEA,Orally Available Factor7a Inhibitor,2.5,122,186,17.2
49,4X2YB,2PFEA,Crystal Structure Of A Chimeric Murine Norovirus Ns6 Protease (inactive C139a Mutant) In Which The P4-p4 Prime Residues Of The Cleavage Junction In The Extended C-terminus Have Been Replaced By The Corresponding Residues From The Ns2-3 Junction,2.7,122,186,16.4
50,1EQ9A,2PFEA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.4,121,186,19.8
