,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,2GV6A,Complex Of Thrombin With Designed Inhibitor 7165,1.3,232,241,35.8
1,4XSKU,2GV6A,"Structure Of Paitrap, An Upa Mutant",1.3,232,241,32.3
2,1FIZA,2GV6A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.1,231,241,35.1
3,4MNWA,2GV6A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.3,231,241,33.3
4,2OQ5A,2GV6A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.2,230,241,48.3
5,4Z6AH,2GV6A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.3,229,241,37.1
6,2F91A,2GV6A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.1,228,241,39.0
7,5AVDA,2GV6A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,228,241,34.2
8,4FXGH,2GV6A,Complement C4 In Complex With Masp-2,1.4,227,241,30.8
9,5EDMA,2GV6A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.0,224,241,35.7
10,1M9UA,2GV6A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.3,222,241,34.7
11,1PQ7A,2GV6A,"Trypsin At 0.8 A, Ph5  BORAX",1.4,222,241,32.9
12,3TVJB,2GV6A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.3,222,241,31.5
13,4AFQA,2GV6A,Human Chymase - Fynomer Complex,1.7,221,241,29.9
14,5EDKA,2GV6A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.2,221,241,35.7
15,1AZZA,2GV6A,Fiddler Crab Collagenase Complexed To Ecotin,1.4,220,241,29.1
16,4I8HA,2GV6A,Bovine Trypsin At 0.75 Resolution,1.0,220,241,39.5
17,2QXIA,2GV6A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,218,241,32.1
18,3H7TA,2GV6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.7,218,241,22.5
19,2XW9A,2GV6A,Crystal Structure Of Complement Factor D Mutant S183a,1.3,218,241,33.0
20,1EQ9A,2GV6A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.3,217,241,34.6
21,3BEUA,2GV6A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,216,241,31.9
22,3NXPA,2GV6A,Crystal Structure Of Human Prethrombin-1,1.9,216,241,36.6
23,2AIQA,2GV6A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,214,241,29.4
24,4WVPE,2GV6A,Crystal Structure Of An Activity-based Probe Hne Complex,1.5,214,241,29.9
25,2HLCA,2GV6A,Hl Collagenase Structure At 1.7a Resolution,1.8,213,241,33.3
26,4A5TS,2GV6A,Structural Basis For The Conformational Modulation,1.7,211,241,41.2
27,1DDJA,2GV6A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.5,210,241,40.5
28,3H7OA,2GV6A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.8,209,241,22.5
29,2OLGA,2GV6A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,204,241,31.4
30,2B9LA,2GV6A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.8,203,241,32.5
31,5HU6C,2GV6A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.7,200,241,25.5
32,3F1SB,2GV6A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,199,241,20.1
33,4LK4A,2GV6A,Structure Of Vibrio Cholerae Vesb Protease,1.6,196,241,32.1
34,1WCZA,2GV6A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,185,241,14.6
35,3WY8A,2GV6A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.0,184,241,12.5
36,1AGJA,2GV6A,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,177,241,15.8
37,1P3CA,2GV6A,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,175,241,16.0
38,2XRCB,2GV6A,Human Complement Factor I,1.7,175,241,34.9
39,3LGIB,2GV6A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.1,173,241,14.5
40,1ARBA,2GV6A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,165,241,14.5
41,1TE0A,2GV6A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.6,161,241,14.9
42,2HALA,2GV6A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.2,161,241,12.4
43,1ZYOA,2GV6A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,160,241,16.9
44,4RI0A,2GV6A,"Serine Protease Htra3, Mutationally Inactivated",2.5,160,241,14.4
45,1L1JA,2GV6A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.7,159,241,13.8
46,2J92A,2GV6A,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.0,158,241,10.1
47,2Z9IA,2GV6A,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.4,158,241,15.2
48,5HM2E,2GV6A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.0,158,241,9.5
49,3K6YA,2GV6A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.5,156,241,19.9
50,5HMAA,2GV6A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,152,241,13.8
51,3UFAA,2GV6A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.5,149,241,15.4
52,1LVMA,2GV6A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.1,148,241,10.8
53,5BPEA,2GV6A,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,146,241,17.1
54,2XYAA,2GV6A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,145,241,12.4
55,1WQSA,2GV6A,Crystal Structure Of Norovirus 3c-Like Protease,3.2,144,241,12.5
56,2QAAA,2GV6A,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 7.3,2.7,138,241,18.1
57,2W5EA,2GV6A,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.3,131,241,14.5
58,5EU8A,2GV6A,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.3,131,241,9.9
59,4ZROA,2GV6A,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.3,129,241,10.1
60,5DGJA,2GV6A,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.6,127,241,14.2
61,1VCPB,2GV6A,Semliki Forest Virus Capsid Protein (Crystal Form I),3.0,126,241,14.3
62,4XFQA,2GV6A,Crystal Structure Basis For Pedv 3c Like Protease,2.2,126,241,7.9
63,1YPHC,2GV6A,High Resolution Structure Of Bovine Alpha-Chymotrypsin,0.7,122,241,41.8
64,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
