,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3K6YA,1L1JA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,184,239,27.2
1,3LGIB,1L1JA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.0,182,239,40.1
2,1TE0A,1L1JA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.1,181,239,40.9
3,4RI0A,1L1JA,"Serine Protease Htra3, Mutationally Inactivated",1.3,177,239,45.8
4,5HMAA,1L1JA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.1,176,239,25.6
5,2Z9IA,1L1JA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,1.5,174,239,40.2
6,1LVMA,1L1JA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.3,171,239,12.3
7,3H7OA,1L1JA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.7,170,239,13.5
8,2J92A,1L1JA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,166,239,14.5
9,1PQ7A,1L1JA,"Trypsin At 0.8 A, Ph5  BORAX",2.8,165,239,16.4
10,5HM2E,1L1JA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,165,239,15.2
11,1ARBA,1L1JA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,163,239,15.3
12,1WCZA,1L1JA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.1,162,239,24.1
13,2AIQA,1L1JA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.7,162,239,16.0
14,3H7TA,1L1JA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,162,239,15.4
15,4AFQA,1L1JA,Human Chymase - Fynomer Complex,2.4,162,239,20.4
16,5BPEA,1L1JA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,162,239,11.7
17,5HU6C,1L1JA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.4,162,239,12.3
18,5AVDA,1L1JA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.8,161,239,12.4
19,2OQ5A,1L1JA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.7,160,239,11.9
20,4FLNA,1L1JA,Crystal Structure Of Plant Protease Deg2,2.0,160,239,34.4
21,1M9UA,1L1JA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.6,159,239,15.1
22,2F91A,1L1JA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.9,159,239,14.5
23,4FXGH,1L1JA,Complement C4 In Complex With Masp-2,2.6,159,239,17.6
24,2QXIA,1L1JA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.8,158,239,15.8
25,2XYAA,1L1JA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.8,158,239,15.8
26,1AGJA,1L1JA,Epidermolytic Toxin A From Staphylococcus Aureus,2.0,157,239,22.3
27,1P3CA,1L1JA,Glutamyl Endopeptidase From Bacillus Intermedius,2.2,157,239,19.1
28,2XW9A,1L1JA,Crystal Structure Of Complement Factor D Mutant S183a,2.4,157,239,17.2
29,3BEUA,1L1JA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.7,156,239,19.2
30,1AZZA,1L1JA,Fiddler Crab Collagenase Complexed To Ecotin,2.3,155,239,21.9
31,1EAXA,1L1JA,Crystal Structure Of Mtsp1 (Matriptase),2.5,155,239,13.5
32,4MNWA,1L1JA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.5,155,239,18.1
33,1DDJA,1L1JA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.5,154,239,14.9
34,4A5TS,1L1JA,Structural Basis For The Conformational Modulation,2.7,154,239,15.6
35,2QA9E,1L1JA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.3,152,239,19.7
36,4WVPE,1L1JA,Crystal Structure Of An Activity-based Probe Hne Complex,2.6,152,239,15.8
37,1EQ9A,1L1JA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.2,151,239,21.2
38,4I8HA,1L1JA,Bovine Trypsin At 0.75 Resolution,2.5,151,239,15.2
39,2OLGA,1L1JA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.6,149,239,19.5
40,4XSKU,1L1JA,"Structure Of Paitrap, An Upa Mutant",2.4,149,239,16.8
