,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1CU1A,1A1RA,Crystal Structure Of An Enzyme Complex From Hepatitis C Virus,1.0,151,198,88.1
1,3K6YA,1A1RA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,133,198,15.0
2,3CP7A,1A1RA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,3.0,129,198,10.9
3,2H5DA,1A1RA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",2.7,126,198,11.9
4,2W5EA,1A1RA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.1,124,198,11.3
5,2HLCA,1A1RA,Hl Collagenase Structure At 1.7a Resolution,2.4,123,198,12.2
6,1ZYOA,1A1RA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.3,122,198,13.9
7,1AZZA,1A1RA,Fiddler Crab Collagenase Complexed To Ecotin,2.4,119,198,12.6
8,3FANA,1A1RA,Crystal Structure Of Chymotrypsin-Like ProteasePROTEINASE (3clspNSP4) OF PORCINE REPRODUCTIVE AND RESPIRATORY Syndrome Virus (Prrsv),3.3,119,198,15.1
9,1M9UA,1A1RA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.8,118,198,12.7
10,4I8HA,1A1RA,Bovine Trypsin At 0.75 Resolution,2.7,118,198,14.4
11,2YOLA,1A1RA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.8,118,198,16.9
12,5HMAA,1A1RA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.3,118,198,19.5
13,1FIZA,1A1RA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.8,117,198,13.7
14,1LVBA,1A1RA,Catalytically Inactive Tobacco Etch Virus Protease Complexed With Substrate,2.9,117,198,17.1
15,2OQ5A,1A1RA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.8,117,198,17.1
16,3H7TA,1A1RA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.5,117,198,9.4
