,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5BPEA,1L1NA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,0.9,176,183,59.1
1,2J92A,1L1NA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.1,172,183,20.9
2,5HM2E,1L1NA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.0,167,183,19.8
3,2XYAA,1L1NA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,1.2,166,183,44.0
4,2HALA,1L1NA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.2,165,183,18.2
5,3K6YA,1L1NA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.8,160,183,11.9
6,5HMAA,1L1NA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,159,183,12.6
7,1L1JA,1L1NA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,3.0,158,183,13.9
8,1AGJA,1L1NA,Epidermolytic Toxin A From Staphylococcus Aureus,3.0,155,183,13.5
9,3LGIB,1L1NA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.9,153,183,13.7
10,1WCZA,1L1NA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,3.0,152,183,10.5
11,2H5CA,1L1NA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.9,152,183,12.5
12,2OQ5A,1L1NA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",3.1,151,183,10.6
13,5AVDA,1L1NA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,3.0,151,183,9.9
14,2OLGA,1L1NA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,3.1,150,183,12.7
15,4FLNA,1L1NA,Crystal Structure Of Plant Protease Deg2,2.6,150,183,9.3
16,1ARBA,1L1NA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.5,149,183,13.4
17,1LVMA,1L1NA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.6,149,183,12.8
18,3WOOA,1L1NA,Crystal Structure Of The Dap Bii Hexapeptide Complex I,3.2,149,183,10.1
19,3H7TA,1L1NA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.8,148,183,12.8
20,1M9UA,1L1NA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.9,147,183,10.2
21,2OUAA,1L1NA,Crystal Structure Of Nocardiopsis Protease (Napase),2.8,147,183,10.9
22,1EAXA,1L1NA,Crystal Structure Of Mtsp1 (Matriptase),2.8,146,183,11.6
23,1TE0B,1L1NA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,146,183,15.1
24,5DGJA,1L1NA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,146,183,13.7
25,1AZZA,1L1NA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,145,183,11.7
26,1PQ7A,1L1NA,"Trypsin At 0.8 A, Ph5  BORAX",2.7,145,183,15.9
27,1P3CA,1L1NA,Glutamyl Endopeptidase From Bacillus Intermedius,2.8,145,183,13.8
28,2QA9E,1L1NA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.5,145,183,13.8
29,4MNWA,1L1NA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,3.0,145,183,12.4
30,3WY8A,1L1NA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.0,145,183,8.3
31,1DDJA,1L1NA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.9,144,183,13.9
32,4XSKU,1L1NA,"Structure Of Paitrap, An Upa Mutant",2.9,144,183,13.2
33,2AIQA,1L1NA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.6,143,183,15.4
34,3UFAA,1L1NA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.7,143,183,11.2
35,3H7OA,1L1NA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.5,142,183,12.0
36,2W5EA,1L1NA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,141,183,17.0
37,2XW9A,1L1NA,Crystal Structure Of Complement Factor D Mutant S183a,2.9,141,183,10.6
38,4I8HA,1L1NA,Bovine Trypsin At 0.75 Resolution,2.7,140,183,15.0
39,5HU6C,1L1NA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.7,139,183,11.5
40,2HLCA,1L1NA,Hl Collagenase Structure At 1.7a Resolution,2.8,138,183,10.9
41,2F91A,1L1NA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.6,138,183,15.2
42,4FXGH,1L1NA,Complement C4 In Complex With Masp-2,2.7,137,183,16.8
43,4LK4A,1L1NA,Structure Of Vibrio Cholerae Vesb Protease,2.6,136,183,13.2
44,4WMEA,1L1NA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.7,136,183,11.0
45,5EU8A,1L1NA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,136,183,14.0
46,2QXIA,1L1NA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.4,135,183,13.3
47,3BEUA,1L1NA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.4,135,183,11.9
48,4XFQA,1L1NA,Crystal Structure Basis For Pedv 3c Like Protease,2.7,135,183,9.6
49,1VZQH,1L1NA,Complex Of Thrombin With Designed Inhibitor 7165,2.7,133,183,12.8
50,4Z6AH,1L1NA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.7,132,183,9.8
51,4RI0A,1L1NA,"Serine Protease Htra3, Mutationally Inactivated",2.3,130,183,13.8
52,4X2VB,1L1NA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.6,130,183,16.2
53,4ZROA,1L1NA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.3,130,183,13.8
54,1ZYOA,1L1NA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,129,183,17.1
