,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,1SGFA,Complex Of Thrombin With Designed Inhibitor 7165,2.0,184,240,31.0
1,2B9LA,1SGFA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.5,181,240,34.3
2,5AVDA,1SGFA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.9,179,240,33.0
3,5EDMA,1SGFA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,178,240,32.6
4,2AIQA,1SGFA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.7,177,240,34.5
5,2QXIA,1SGFA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,177,240,46.3
6,3H7TA,1SGFA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,176,240,22.7
7,5EDKA,1SGFA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,176,240,33.0
8,1AZZA,1SGFA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,175,240,33.7
9,3NXPA,1SGFA,Crystal Structure Of Human Prethrombin-1,2.2,175,240,33.1
10,4I8HA,1SGFA,Bovine Trypsin At 0.75 Resolution,1.6,175,240,42.9
11,1M9UA,1SGFA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.6,174,240,29.3
12,4FXGH,1SGFA,Complement C4 In Complex With Masp-2,1.6,174,240,32.2
13,5HU6C,1SGFA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,174,240,25.3
14,3TVJB,1SGFA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.7,173,240,32.9
15,1EAXA,1SGFA,Crystal Structure Of Mtsp1 (Matriptase),1.6,172,240,35.5
16,4Z6AH,1SGFA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.7,172,240,35.5
17,2OLGA,1SGFA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.6,171,240,32.2
18,3BEUA,1SGFA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.9,171,240,28.7
19,2XW9A,1SGFA,Crystal Structure Of Complement Factor D Mutant S183a,1.8,171,240,37.4
20,4A5TS,1SGFA,Structural Basis For The Conformational Modulation,2.2,171,240,44.4
21,2HLCA,1SGFA,Hl Collagenase Structure At 1.7a Resolution,1.8,170,240,24.1
22,1DDJA,1SGFA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.0,170,240,43.5
23,1PQ7A,1SGFA,"Trypsin At 0.8 A, Ph5  BORAX",1.8,170,240,31.8
24,4AFQA,1SGFA,Human Chymase - Fynomer Complex,1.3,170,240,36.5
25,1EQ9A,1SGFA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,168,240,33.3
26,2F91A,1SGFA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.7,168,240,36.3
27,3H7OA,1SGFA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.9,168,240,28.0
28,3F1SB,1SGFA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.0,168,240,23.8
29,1FIZA,1SGFA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,167,240,35.3
30,2OQ5A,1SGFA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.5,166,240,31.9
31,4MNWA,1SGFA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.1,165,240,37.6
32,4WVPE,1SGFA,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,165,240,28.5
33,4XSKU,1SGFA,"Structure Of Paitrap, An Upa Mutant",2.1,165,240,37.0
34,3WY8A,1SGFA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,162,240,13.0
35,2XRCB,1SGFA,Human Complement Factor I,2.1,158,240,34.2
36,4LK4A,1SGFA,Structure Of Vibrio Cholerae Vesb Protease,1.9,158,240,26.6
37,1P3CA,1SGFA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,152,240,14.5
38,2XWBF,1SGFA,Crystal Structure Of Complement C3b In Complex With Factors B And D,1.5,152,240,30.3
39,1L1JA,1SGFA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.5,150,240,14.7
40,3LGIB,1SGFA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.4,150,240,17.3
41,4FLNA,1SGFA,Crystal Structure Of Plant Protease Deg2,2.5,150,240,16.7
42,1TE0A,1SGFA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.7,148,240,20.9
43,3K6YA,1SGFA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,146,240,19.2
44,5HMAA,1SGFA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,145,240,16.6
45,1WCZA,1SGFA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.9,144,240,11.8
46,2Z9IA,1SGFA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,144,240,15.3
47,4RI0A,1SGFA,"Serine Protease Htra3, Mutationally Inactivated",2.3,143,240,14.7
48,1LVMA,1SGFA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.8,141,240,14.2
49,1AGJA,1SGFA,Epidermolytic Toxin A From Staphylococcus Aureus,2.0,139,240,20.9
50,1ARBA,1SGFA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.6,139,240,17.3
51,3UFAA,1SGFA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.9,138,240,16.7
52,1ZYOA,1SGFA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.5,133,240,15.8
