,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4MNWA,1YBWA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.6,233,283,39.1
1,4XSKU,1YBWA,"Structure Of Paitrap, An Upa Mutant",1.6,231,283,39.0
2,1FIZA,1YBWA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.8,227,283,34.8
3,2OQ5A,1YBWA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.6,226,283,35.4
4,5AVDA,1YBWA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,225,283,33.3
5,1EAXA,1YBWA,Crystal Structure Of Mtsp1 (Matriptase),1.3,222,283,33.8
6,2XW9A,1YBWA,Crystal Structure Of Complement Factor D Mutant S183a,1.6,222,283,31.5
7,2F91A,1YBWA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.0,220,283,33.2
8,2AIQA,1YBWA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.5,218,283,29.8
9,3H7TA,1YBWA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,217,283,24.0
10,1PQ7A,1YBWA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,216,283,30.1
11,1EQ9A,1YBWA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.9,214,283,24.8
12,1M9UA,1YBWA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,214,283,30.4
13,4Z6AH,1YBWA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,214,283,34.6
14,1DDJA,1YBWA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,209,283,34.9
15,1VZQH,1YBWA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,208,283,34.6
16,4AFQA,1YBWA,Human Chymase - Fynomer Complex,1.6,205,283,34.6
17,3NXPA,1YBWA,Crystal Structure Of Human Prethrombin-1,2.4,204,283,30.9
18,3TVJB,1YBWA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.6,203,283,30.5
19,4A5TS,1YBWA,Structural Basis For The Conformational Modulation,1.5,203,283,35.0
20,1AZZA,1YBWA,Fiddler Crab Collagenase Complexed To Ecotin,1.7,202,283,31.2
21,5EDMA,1YBWA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,202,283,34.7
22,4I8HA,1YBWA,Bovine Trypsin At 0.75 Resolution,1.6,201,283,41.8
23,2B9LA,1YBWA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.0,200,283,26.0
24,2OLGA,1YBWA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,200,283,35.5
25,3H7OA,1YBWA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.8,200,283,21.5
26,4WVPE,1YBWA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,200,283,33.0
27,4FXGH,1YBWA,Complement C4 In Complex With Masp-2,1.6,199,283,31.2
28,3WY8A,1YBWA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.3,199,283,13.6
29,2QXIA,1YBWA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,197,283,39.1
30,2HLCA,1YBWA,Hl Collagenase Structure At 1.7a Resolution,1.8,196,283,26.0
31,5HU6C,1YBWA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.0,196,283,24.5
32,1WCZA,1YBWA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.7,192,283,9.9
33,3BEUA,1YBWA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.7,189,283,32.3
34,5EDKA,1YBWA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.9,188,283,34.0
35,4LK4A,1YBWA,Structure Of Vibrio Cholerae Vesb Protease,2.2,185,283,30.8
36,2XRCB,1YBWA,Human Complement Factor I,2.3,179,283,33.0
37,1AGJA,1YBWA,Epidermolytic Toxin A From Staphylococcus Aureus,2.6,175,283,14.3
38,3F1SB,1YBWA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.4,174,283,19.5
39,3UFAA,1YBWA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.8,173,283,14.5
40,3LGIB,1YBWA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.6,168,283,15.5
41,5HMAA,1YBWA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),3.4,165,283,15.8
42,1TE0A,1YBWA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.8,161,283,17.4
43,1P3CA,1YBWA,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,160,283,19.4
44,1L1JA,1YBWA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,159,283,14.5
45,1ARBA,1YBWA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,155,283,17.4
46,4RI0A,1YBWA,"Serine Protease Htra3, Mutationally Inactivated",2.5,154,283,14.9
47,1LVMA,1YBWA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,147,283,12.9
48,2J92A,1YBWA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.6,146,283,11.6
49,2HALA,1YBWA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.2,146,283,11.6
50,1ZYOA,1YBWA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.5,144,283,14.6
51,5HM2E,1YBWA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,144,283,11.8
52,5BPEA,1YBWA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.8,142,283,15.5
53,4JCNA,4MNWA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.6,194,245,14.4
54,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
55,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
56,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
57,2XWBF,2XW9A,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.1,180,228,23.3
58,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
59,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
60,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
61,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
62,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
63,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
64,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
65,4FLNA,3UFAA,Crystal Structure Of Plant Protease Deg2,1.9,156,200,24.4
66,3WOKA,3UFAA,Crystal Structure Of The Dap Bii (space),1.9,151,200,26.5
67,2Z9IA,3LGIB,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,1.3,180,237,40.6
68,3K6YA,5HMAA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.2,175,191,19.4
69,2QA9E,5HMAA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.7,160,191,14.4
70,2H5CA,5HMAA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,156,191,14.1
71,2OUAA,5HMAA,Crystal Structure Of Nocardiopsis Protease (Napase),2.5,155,191,16.1
72,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
73,2XYAA,5HMAA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,147,191,15.0
74,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
75,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
76,1LCYA,1LVMA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.4,175,229,13.1
