,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,2OUAA,1HPGA,Crystal Structure Of Nocardiopsis Protease (Napase),1.7,181,187,38.1
1,2QA9E,1HPGA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,1.2,180,187,55.6
2,2H5CA,1HPGA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,1.2,178,187,36.0
3,5HMAA,1HPGA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,157,187,17.2
4,1ARBA,1HPGA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,150,187,15.3
5,4FLNA,1HPGA,Crystal Structure Of Plant Protease Deg2,2.6,150,187,17.3
6,2J92A,1HPGA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.3,148,187,14.2
7,2Z9IA,1HPGA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,148,187,24.3
8,2AIQA,1HPGA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.7,147,187,15.6
9,1YM0A,1HPGA,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",2.5,145,187,20.7
10,5BPEA,1HPGA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.4,145,187,13.1
11,5HM2E,1HPGA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.9,145,187,16.6
12,2QXIA,1HPGA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.6,144,187,18.1
13,3K6YA,1HPGA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.6,144,187,16.7
14,1L1JA,1HPGA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,143,187,19.6
15,3H7OA,1HPGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,143,187,15.4
16,1AZZA,1HPGA,Fiddler Crab Collagenase Complexed To Ecotin,2.3,142,187,16.2
17,1ZYOA,1HPGA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,3.2,141,187,15.6
18,3CP7A,1HPGA,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,2.5,141,187,22.7
19,3LGIB,1HPGA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.1,141,187,19.1
20,2XYAA,1HPGA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.9,141,187,12.1
21,4FXGH,1HPGA,Complement C4 In Complex With Masp-2,2.6,141,187,17.7
22,5AVDA,1HPGA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.7,139,187,17.3
23,1DDJA,1HPGA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.6,137,187,13.1
24,1M9UA,1HPGA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.5,137,187,18.2
25,1VZQH,1HPGA,Complex Of Thrombin With Designed Inhibitor 7165,2.5,137,187,17.5
26,3TVJB,1HPGA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.3,137,187,19.0
27,4GLYA,1HPGA,Human Urokinase-type Plasminogen Activator Upa In Complex With The Two-disulfide Bridge Peptide Uk504,2.6,137,187,19.7
28,1PQ7A,1HPGA,"Trypsin At 0.8 A, Ph5  BORAX",2.3,136,187,21.3
29,1TE0A,1HPGA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.3,136,187,19.9
30,1PPFE,1HPGA,Human Leukocyte Elastase (Hle) (Neutrophil Elastase (Hne)) (E.C.3.4.21.37) Complex With The Third Domain Of Turkey Ovomucoid Inhibitor (Omtky3),2.6,135,187,20.0
31,1P3CA,1HPGA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,135,187,22.2
32,3H7TA,1HPGA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.3,135,187,11.9
33,5HU6C,1HPGA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.3,135,187,17.0
34,1AGJA,1HPGA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,134,187,14.9
35,2HLCA,1HPGA,Hl Collagenase Structure At 1.7a Resolution,2.3,134,187,17.2
36,1EQ9A,1HPGA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.4,134,187,20.1
37,4I8HA,1HPGA,Bovine Trypsin At 0.75 Resolution,2.3,134,187,22.4
38,3UFAA,1HPGA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.1,134,187,17.2
39,2OLGA,1HPGA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.4,133,187,20.3
40,2OQ5A,1HPGA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.3,133,187,21.1
41,4AFQA,1HPGA,Human Chymase - Fynomer Complex,2.0,132,187,15.9
42,2HALA,1HPGA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.6,132,187,12.9
43,4RI0A,1HPGA,"Serine Protease Htra3, Mutationally Inactivated",2.1,132,187,16.7
44,4LK4A,1HPGA,Structure Of Vibrio Cholerae Vesb Protease,2.4,131,187,19.1
45,1WQSD,1HPGA,Crystal Structure Of Norovirus 3c-Like Protease,3.0,130,187,10.8
46,2W5EA,1HPGA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.6,130,187,13.1
47,1LVMA,1HPGA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.9,129,187,12.4
48,1EAXA,1HPGA,Crystal Structure Of Mtsp1 (Matriptase),2.1,128,187,21.1
49,4Z6AH,1HPGA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.3,128,187,19.5
50,3BEUA,1HPGA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.3,127,187,18.9
51,4XSKU,1HPGA,"Structure Of Paitrap, An Upa Mutant",2.3,127,187,21.3
52,3H5CB,1HPGA,X-Ray Structure Of Protein Z-Protein Z Inhibitor Complex,2.6,126,187,9.5
53,4WMEA,1HPGA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,125,187,8.8
54,1WCZA,1HPGA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.9,124,187,18.5
55,2XW9A,1HPGA,Crystal Structure Of Complement Factor D Mutant S183a,2.6,123,187,16.3
56,5DG6A,1HPGA,"2.35a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (21-mer) Inhibitor",2.6,123,187,10.6
57,4Y01A,1HPGA,Crystal Structure Of Dipeptidyl Peptidase 11 (dpp11) From Porphyromonas Gingivalis,2.0,117,187,17.1
58,2QV1B,1HPGA,Crystal Structure Of Hcv Ns3-4a V36m Mutant,2.2,115,187,13.0
59,2HRVA,1HPGA,2a Cysteine Proteinase From Human Rhinovirus 2,2.2,109,187,15.6
60,5EPYA,1HPGA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.0,109,187,13.8
61,2YOLA,1HPGA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.4,102,187,12.7
62,1Z8RA,1HPGA,2a Cysteine Proteinase From Human Coxsackievirus B4 (Strain Jvb  BENSCHOTEN  NEW YORK  51),2.4,96,187,13.5
63,1FY4A,2QA9E,Fusarium Oxysporum Trypsin At Atomic Resolution,2.9,148,185,20.3
64,4CR9A,2QA9E,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,2.9,139,185,20.1
65,2F91A,5HMAA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.7,165,191,16.4
66,4JCNA,5HMAA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.4,165,191,19.4
67,2B9LA,5HMAA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,3.1,164,191,15.2
68,4A5TS,5HMAA,Structural Basis For The Conformational Modulation,2.9,160,191,19.4
69,1FIZA,5HMAA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.3,158,191,13.3
70,3WOKA,5HMAA,Crystal Structure Of The Dap Bii (space),2.3,158,191,19.6
71,3NXPA,5HMAA,Crystal Structure Of Human Prethrombin-1,2.7,153,191,16.3
72,4MNWA,5HMAA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.6,153,191,20.3
73,4WVPE,5HMAA,Crystal Structure Of An Activity-based Probe Hne Complex,2.3,153,191,17.6
74,5EDMA,5HMAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.9,153,191,15.0
75,3F1SB,5HMAA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,152,191,13.8
76,5EDKA,5HMAA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.8,151,191,15.9
77,4ZROA,5HMAA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.9,149,191,16.1
78,3WY8A,5HMAA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.7,146,191,17.1
79,4XFQA,5HMAA,Crystal Structure Basis For Pedv 3c Like Protease,2.8,146,191,15.1
80,5EU8A,5HMAA,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.7,144,191,16.7
81,2XWBF,2AIQA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,187,231,21.9
82,2XRCB,1YM0A,Human Complement Factor I,2.3,182,238,29.1
83,5DGJA,5BPEA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.9,146,180,11.6
84,3S9CA,2QXIA,"Russell's Viper Venom Serine Proteinase, Rvv-V In Complex With The Fragment (Residues 1533-1546) Of Human Factor V",1.6,214,224,34.1
85,1AZZB,2XYAA,Fiddler Crab Collagenase Complexed To Ecotin,2.6,142,182,13.4
86,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
87,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
88,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
89,2XXLA,2OLGA,Crystal Structure Of Drosophila Grass Clip Serine Protease Of Toll Pathway,2.4,244,278,38.1
90,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
91,1LCYA,2HALA,Crystal Structure Of The Mitochondrial Serine Protease Htra2,3.3,167,212,10.8
92,4X2VB,1WQSD,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,1.4,163,173,59.5
