,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4XSKU,1EQ9A,"Structure Of Paitrap, An Upa Mutant",1.9,219,222,27.9
1,2F91A,1EQ9A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.4,218,222,41.3
2,4MNWA,1EQ9A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,217,222,27.2
3,1M9UA,1EQ9A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.2,216,222,35.2
4,1VZQH,1EQ9A,Complex Of Thrombin With Designed Inhibitor 7165,1.4,216,222,33.3
5,1EAXA,1EQ9A,Crystal Structure Of Mtsp1 (Matriptase),1.2,215,222,34.9
6,2OQ5A,1EQ9A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,215,222,29.8
7,2XW9A,1EQ9A,Crystal Structure Of Complement Factor D Mutant S183a,1.6,215,222,31.2
8,4Z6AH,1EQ9A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.5,215,222,31.6
9,1AZZA,1EQ9A,Fiddler Crab Collagenase Complexed To Ecotin,1.5,214,222,33.6
10,1PQ7A,1EQ9A,"Trypsin At 0.8 A, Ph5  BORAX",1.4,214,222,30.8
11,5AVDA,1EQ9A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,214,222,35.0
12,1FIZA,1EQ9A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.2,212,222,31.6
13,2QXIA,1EQ9A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.3,211,222,30.8
14,2AIQA,1EQ9A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.9,210,222,23.3
15,3H7TA,1EQ9A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.0,210,222,28.6
16,3TVJB,1EQ9A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.4,210,222,30.5
17,4I8HA,1EQ9A,Bovine Trypsin At 0.75 Resolution,1.2,210,222,33.3
18,4AFQA,1EQ9A,Human Chymase - Fynomer Complex,1.9,209,222,29.7
19,4FXGH,1EQ9A,Complement C4 In Complex With Masp-2,1.4,209,222,30.6
20,3H7OA,1EQ9A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.0,208,222,26.4
21,4WVPE,1EQ9A,Crystal Structure Of An Activity-based Probe Hne Complex,1.7,208,222,35.6
22,2HLCA,1EQ9A,Hl Collagenase Structure At 1.7a Resolution,1.5,207,222,34.8
23,3BEUA,1EQ9A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,206,222,31.6
24,3NXPA,1EQ9A,Crystal Structure Of Human Prethrombin-1,1.8,200,222,34.5
25,5EDMA,1EQ9A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.7,198,222,33.8
26,1DDJA,1EQ9A,Crystal Structure Of Human Plasminogen Catalytic Domain,1.7,196,222,35.7
27,4A5TS,1EQ9A,Structural Basis For The Conformational Modulation,1.9,196,222,35.7
28,5EDKA,1EQ9A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.8,196,222,34.7
29,4LK4A,1EQ9A,Structure Of Vibrio Cholerae Vesb Protease,1.7,195,222,32.3
30,5HU6C,1EQ9A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,193,222,27.5
31,3F1SB,1EQ9A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,191,222,21.5
32,2B9LA,1EQ9A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.7,190,222,30.0
33,2OLGA,1EQ9A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,187,222,31.0
34,1WCZA,1EQ9A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.2,185,222,16.8
35,1P3CA,1EQ9A,Glutamyl Endopeptidase From Bacillus Intermedius,2.5,184,222,17.9
36,1AGJA,1EQ9A,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,178,222,16.9
37,2XRCB,1EQ9A,Human Complement Factor I,2.3,178,222,25.8
38,3WY8A,1EQ9A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,3.0,177,222,11.9
39,1ARBA,1EQ9A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.8,176,222,17.0
40,1ZYOA,1EQ9A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,163,222,12.9
41,3LGIB,1EQ9A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.3,162,222,15.4
42,4FLNA,1EQ9A,Crystal Structure Of Plant Protease Deg2,2.8,162,222,16.7
43,3K6YA,1EQ9A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,160,222,17.5
