,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4MG3B,2HRVA,Crystal Structural Analysis Of 2a Protease From Coxsackievirus A16,1.3,136,142,36.8
1,3K6YA,2HRVA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.9,117,142,12.8
2,2OUAA,2HRVA,Crystal Structure Of Nocardiopsis Protease (Napase),2.3,112,142,14.3
3,2QA9E,2HRVA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.4,112,142,17.9
4,2H5CA,2HRVA,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.4,110,142,13.6
5,5EPNA,2HRVA,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.3,110,142,18.2
6,5EPYA,2HRVA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.3,109,142,17.4
7,5ETXB,2HRVA,Crystal Structure Of Hcv Ns3/4a Protease A156t Variant In Complex With 5172-linear (mk-5172 Linear Analogue),2.4,108,142,16.7
8,5EQQA,2HRVA,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.1,107,142,18.7
9,2Z9IA,2HRVA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.5,105,142,15.2
10,4X2VB,2HRVA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.2,105,142,20.0
11,1ARBA,2HRVA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.5,104,142,13.5
12,5HMAA,2HRVA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.7,104,142,14.4
13,5BPEA,2HRVA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,1.9,102,142,19.6
14,1L1JA,2HRVA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,101,142,21.8
15,2AIQA,2HRVA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.3,100,142,16.0
16,2J92A,2HRVA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,98,142,20.4
17,2XYAA,2HRVA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.0,98,142,17.3
18,2W5EA,2HRVA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.1,97,142,11.3
19,5DGJA,2HRVA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.1,97,142,18.6
20,1WYKA,2HRVA,Sindbis Virus Capsid Protein (114-264),2.7,96,142,13.5
21,3S9BA,2HRVA,"Russell's Viper Venom Serine Proteinase, Rvv-V (Open-Form)",2.1,96,142,15.6
22,3LGIB,2HRVA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.2,95,142,17.9
23,3FFGA,2HRVA,"Factor Xa In Complex With The Inhibitor (R)-6-(2'-((3- Hydroxypyrrolidin-1-Yl)methyl)biphenyl-4-Yl)-1-(3-(5-Oxo-4, 5-Dihydro-1h-1,2,4-Triazol-3-Yl)phenyl)-3- (Trifluoromethyl)-5,6-Dihydro-1h-Pyrazolo[3,4-C]pyridin- 7(4h)-One",2.2,94,142,16.0
24,5HM2E,2HRVA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.4,94,142,21.3
25,2O8LA,2HRVA,Structure Of V8 Protease From Staphylococcus Aureus,2.3,93,142,18.3
26,1DDJD,2HRVA,Crystal Structure Of Human Plasminogen Catalytic Domain,2.3,90,142,12.2
27,2YOLA,2HRVA,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.3,90,142,15.6
28,2VU8E,2HRVA,Crystal Structure Of An Insect Inhibitor With A Fungal Trypsin,2.2,89,142,18.0
29,4AFQA,2HRVA,Human Chymase - Fynomer Complex,2.1,89,142,19.1
30,1TE0A,2HRVA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.1,87,142,17.2
