,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1VZQH,3DFJA,Complex Of Thrombin With Designed Inhibitor 7165,1.6,231,263,36.8
1,4Z6AH,3DFJA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.6,231,263,37.2
2,4FXGH,3DFJA,Complement C4 In Complex With Masp-2,1.8,230,263,32.6
3,1EAXA,3DFJA,Crystal Structure Of Mtsp1 (Matriptase),1.3,229,263,40.6
4,3TVJB,3DFJA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,229,263,33.2
5,2F91A,3DFJA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,226,263,36.7
6,1M9UA,3DFJA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,225,263,32.0
7,3H7TA,3DFJA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,225,263,21.3
8,1FIZA,3DFJA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.4,223,263,39.5
9,5AVDA,3DFJA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,223,263,35.9
10,4XSKU,3DFJA,"Structure Of Paitrap, An Upa Mutant",1.6,222,263,38.7
11,2B9LA,3DFJA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.2,221,263,30.3
12,4MNWA,3DFJA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.5,221,263,38.9
13,1EQ9A,3DFJA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.6,220,263,33.6
14,2OQ5A,3DFJA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.4,220,263,38.6
15,1PQ7A,3DFJA,"Trypsin At 0.8 A, Ph5  BORAX",1.5,218,263,38.5
16,2QXIA,3DFJA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,218,263,37.2
17,5EDMA,3DFJA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.1,218,263,38.1
18,4I8HA,3DFJA,Bovine Trypsin At 0.75 Resolution,1.2,216,263,39.8
19,2XW9A,3DFJA,Crystal Structure Of Complement Factor D Mutant S183a,1.4,215,263,39.1
20,2HLCA,3DFJA,Hl Collagenase Structure At 1.7a Resolution,2.1,214,263,29.9
21,1AZZA,3DFJA,Fiddler Crab Collagenase Complexed To Ecotin,1.5,213,263,34.3
22,2AIQA,3DFJA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.6,213,263,32.9
23,3NXPA,3DFJA,Crystal Structure Of Human Prethrombin-1,2.0,213,263,38.5
24,4WVPE,3DFJA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,213,263,31.0
25,1DDJA,3DFJA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,212,263,37.3
26,3H7OA,3DFJA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.8,212,263,28.3
27,4AFQA,3DFJA,Human Chymase - Fynomer Complex,1.6,211,263,29.9
28,5EDKA,3DFJA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,211,263,35.5
29,3BEUA,3DFJA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,208,263,34.1
30,4A5TS,3DFJA,Structural Basis For The Conformational Modulation,1.8,208,263,38.0
31,5HU6C,3DFJA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,2.0,206,263,27.7
32,2OLGA,3DFJA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,203,263,34.0
33,3F1SB,3DFJA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,194,263,25.3
34,4LK4A,3DFJA,Structure Of Vibrio Cholerae Vesb Protease,2.1,193,263,34.2
35,2XRCB,3DFJA,Human Complement Factor I,2.5,181,263,36.5
36,1WCZA,3DFJA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.0,177,263,16.4
37,3WY8A,3DFJA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,177,263,16.9
38,1AGJA,3DFJA,Epidermolytic Toxin A From Staphylococcus Aureus,2.3,174,263,14.9
39,1P3CA,3DFJA,Glutamyl Endopeptidase From Bacillus Intermedius,2.3,173,263,14.5
40,3LGIB,3DFJA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.7,170,263,14.1
41,2H9HA,3DFJA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,3.2,162,263,12.3
42,2J92A,3DFJA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.8,161,263,14.9
43,1L1JA,3DFJA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.6,159,263,15.7
44,5HM2E,3DFJA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.7,159,263,13.2
45,1ZYOA,3DFJA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.6,158,263,16.5
46,5HMAA,3DFJA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.4,158,263,18.4
47,1ARBA,3DFJA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,157,263,17.8
48,2Z9IA,3DFJA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.5,157,263,14.6
49,4RI0A,3DFJA,"Serine Protease Htra3, Mutationally Inactivated",2.7,157,263,17.2
50,1TE0A,3DFJA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.9,156,263,14.7
51,3K6YA,3DFJA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.7,156,263,21.8
52,1LVMA,3DFJA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.4,154,263,10.4
53,3UFAA,3DFJA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.7,152,263,15.8
54,5BPEA,3DFJA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.9,149,263,16.1
55,1QRWA,3DFJA,"Crystal Structure Of An Alpha-Lytic Protease Mutant With Accelerated Folding Kinetics, R102hG134S, PH 8",2.5,143,263,14.0
56,2XYAA,3DFJA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.9,143,263,18.9
57,4WMEA,3DFJA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.9,141,263,9.9
58,2QAAA,3DFJA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 7.3,2.7,140,263,17.9
59,2OUAA,3DFJA,Crystal Structure Of Nocardiopsis Protease (Napase),2.6,138,263,15.2
60,2W5EA,3DFJA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.4,134,263,13.4
61,4X2VB,3DFJA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.9,132,263,15.9
62,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
63,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
64,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
65,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
66,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
67,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
68,4JCNA,5AVDA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.3,183,240,16.9
69,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
