,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5AVDA,1AZZA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.5,222,226,34.7
1,1EAXA,1AZZA,Crystal Structure Of Mtsp1 (Matriptase),1.6,221,226,29.0
2,2F91A,1AZZA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.9,221,226,34.4
3,1FIZA,1AZZA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.8,220,226,31.4
4,1VZQH,1AZZA,Complex Of Thrombin With Designed Inhibitor 7165,1.7,219,226,32.4
5,2QXIA,1AZZA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.6,219,226,31.1
6,4XSKU,1AZZA,"Structure Of Paitrap, An Upa Mutant",2.1,219,226,30.1
7,4I8HA,1AZZA,Bovine Trypsin At 0.75 Resolution,1.5,218,226,35.8
8,4MNWA,1AZZA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.2,218,226,29.4
9,1M9UA,1AZZA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.5,217,226,33.6
10,2AIQA,1AZZA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.8,217,226,34.1
11,4AFQA,1AZZA,Human Chymase - Fynomer Complex,1.4,217,226,34.6
12,3H7TA,1AZZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),1.8,216,226,24.1
13,4FXGH,1AZZA,Complement C4 In Complex With Masp-2,1.5,216,226,31.0
14,4Z6AH,1AZZA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.8,216,226,31.5
15,1PQ7A,1AZZA,"Trypsin At 0.8 A, Ph5  BORAX",1.7,215,226,30.2
16,3TVJB,1AZZA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,215,226,32.1
17,1EQ9A,1AZZA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.5,214,226,33.6
18,2XW9A,1AZZA,Crystal Structure Of Complement Factor D Mutant S183a,1.7,214,226,29.9
19,2HLCA,1AZZA,Hl Collagenase Structure At 1.7a Resolution,1.4,213,226,39.0
20,4WVPE,1AZZA,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,213,226,35.2
21,2OQ5A,1AZZA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.7,212,226,33.5
22,5EDMA,1AZZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,210,226,32.4
23,3BEUA,1AZZA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.8,207,226,28.5
24,3H7OA,1AZZA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),1.6,204,226,24.5
25,3NXPA,1AZZA,Crystal Structure Of Human Prethrombin-1,2.3,203,226,33.0
26,5EDKA,1AZZA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,200,226,34.0
27,3WY8A,1AZZA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,196,226,14.3
28,1DDJA,1AZZA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.8,194,226,36.6
29,2OLGA,1AZZA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,193,226,33.7
30,4A5TS,1AZZA,Structural Basis For The Conformational Modulation,1.9,192,226,37.0
31,4LK4A,1AZZA,Structure Of Vibrio Cholerae Vesb Protease,1.8,192,226,33.3
32,2B9LA,1AZZA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.1,191,226,25.7
33,3F1SB,1AZZA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.3,191,226,22.0
34,5HU6C,1AZZA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.5,190,226,27.9
35,1WCZA,1AZZA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.3,188,226,12.8
36,1P3CA,1AZZA,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,185,226,19.5
37,1AGJA,1AZZA,Epidermolytic Toxin A From Staphylococcus Aureus,2.0,174,226,17.2
38,3UFAA,1AZZA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,2.2,171,226,14.0
39,3LGIB,1AZZA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.3,170,226,14.7
40,5HMAA,1AZZA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.8,170,226,12.4
41,2XRCB,1AZZA,Human Complement Factor I,1.9,169,226,29.0
42,1TE0A,1AZZA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.5,166,226,15.7
43,1ARBA,1AZZA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.7,166,226,18.1
44,1ZYOA,1AZZA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.7,162,226,16.7
45,4RI0A,1AZZA,"Serine Protease Htra3, Mutationally Inactivated",2.5,161,226,18.6
46,3K6YA,1AZZA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",1.9,159,226,21.4
47,2Z9IA,1AZZA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.2,158,226,24.1
48,3WOKA,1AZZA,Crystal Structure Of The Dap Bii (space),2.3,156,226,19.2
49,1L1JA,1AZZA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,155,226,21.9
50,1LVMA,1AZZA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.8,152,226,17.8
51,5BPEA,1AZZA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,143,226,13.3
52,2H5DA,1AZZA,"0.9a Resolution Crystal Structure Of Alpha-Lytic Protease Complexed With A Transition State Analogue, Meosuc-Ala-Ala- Pro-Val Boronic Acid",2.3,141,226,22.0
53,2QA9E,1AZZA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.2,141,226,26.2
54,2J92B,1AZZA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.7,140,226,12.1
