,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,3UFAA,2AS9A,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.2,188,210,52.7
1,1P3CA,2AS9A,Glutamyl Endopeptidase From Bacillus Intermedius,2.1,186,210,24.2
2,1WCZA,2AS9A,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,1.9,184,210,30.4
3,1AGJA,2AS9A,Epidermolytic Toxin A From Staphylococcus Aureus,2.0,176,210,27.3
4,3BEUA,2AS9A,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.4,175,210,11.4
5,3WY8A,2AS9A,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.5,174,210,14.4
6,1AZZA,2AS9A,Fiddler Crab Collagenase Complexed To Ecotin,2.2,171,210,15.8
7,2F91A,2AS9A,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",2.4,171,210,17.0
8,3TVJB,2AS9A,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,2.2,164,210,17.1
9,2B9LA,2AS9A,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,2.7,163,210,11.7
10,3H7TA,2AS9A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.2,163,210,18.4
11,4WVPE,2AS9A,Crystal Structure Of An Activity-based Probe Hne Complex,2.3,163,210,14.7
12,4Z6AH,2AS9A,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,2.4,163,210,10.4
13,1PQ7A,2AS9A,"Trypsin At 0.8 A, Ph5  BORAX",2.1,162,210,19.1
14,2OQ5A,2AS9A,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",2.1,162,210,16.0
15,4MNWA,2AS9A,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.2,162,210,12.3
16,3H7OA,2AS9A,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.1,160,210,15.0
17,4LK4A,2AS9A,Structure Of Vibrio Cholerae Vesb Protease,2.2,160,210,15.6
18,5AVDA,2AS9A,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,2.1,160,210,16.2
19,1DDJA,2AS9A,Crystal Structure Of Human Plasminogen Catalytic Domain,2.3,159,210,13.2
20,1EAXA,2AS9A,Crystal Structure Of Mtsp1 (Matriptase),2.1,159,210,15.1
21,1M9UA,2AS9A,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,2.0,159,210,12.6
22,2AIQA,2AS9A,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.2,159,210,13.2
23,1EQ9A,2AS9A,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,2.1,158,210,13.9
24,4A5TS,2AS9A,Structural Basis For The Conformational Modulation,2.1,158,210,13.9
25,4FLNA,2AS9A,Crystal Structure Of Plant Protease Deg2,2.0,158,210,25.9
26,4I8HA,2AS9A,Bovine Trypsin At 0.75 Resolution,2.0,157,210,15.9
27,4XSKU,2AS9A,"Structure Of Paitrap, An Upa Mutant",2.1,157,210,12.1
28,2HLCA,2AS9A,Hl Collagenase Structure At 1.7a Resolution,2.0,156,210,17.9
29,1FIZA,2AS9A,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,2.1,156,210,16.0
30,2XW9A,2AS9A,Crystal Structure Of Complement Factor D Mutant S183a,1.8,156,210,12.2
31,4AFQA,2AS9A,Human Chymase - Fynomer Complex,1.9,156,210,16.7
32,4FXGH,2AS9A,Complement C4 In Complex With Masp-2,2.0,156,210,16.7
33,1VZQH,2AS9A,Complex Of Thrombin With Designed Inhibitor 7165,2.1,155,210,18.7
34,2QXIA,2AS9A,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,2.1,154,210,11.7
35,3LGIB,2AS9A,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,2.3,154,210,24.7
36,1TE0A,2AS9A,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.4,153,210,24.8
37,1LVMA,2AS9A,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,2.7,152,210,13.2
38,3WOKA,2AS9A,Crystal Structure Of The Dap Bii (space),1.9,152,210,20.4
39,1ZYOA,2AS9A,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.4,151,210,17.2
40,5EDMA,2AS9A,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.4,151,210,16.6
41,1L1JA,2AS9A,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.2,149,210,26.8
42,1ARBA,2AS9A,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.3,149,210,14.8
43,3K6YA,2AS9A,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.0,148,210,23.0
44,5HMAA,2AS9A,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.3,148,210,15.5
45,5HU6C,2AS9A,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.9,148,210,15.5
46,2Z9IA,2AS9A,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.3,146,210,24.7
47,2W5EA,2AS9A,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.2,146,210,19.9
48,3F1SB,2AS9A,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.2,142,210,12.7
49,3NXPA,2AS9A,Crystal Structure Of Human Prethrombin-1,2.0,142,210,16.2
50,4X2VB,2AS9A,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.9,142,210,16.2
51,5BPEA,2AS9A,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.7,142,210,7.7
52,2XYAA,2AS9A,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,140,210,10.0
53,2J92A,2AS9A,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),2.4,138,210,11.6
54,5HM2E,2AS9A,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,2.5,138,210,10.9
55,2OLGA,2AS9A,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.7,137,210,16.1
56,5EDKA,2AS9A,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.1,135,210,18.5
57,2QA9E,2AS9A,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.4,133,210,13.5
58,4RI0A,2AS9A,"Serine Protease Htra3, Mutationally Inactivated",1.9,133,210,25.6
59,4WMEA,2AS9A,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,133,210,11.3
60,2XRCB,2AS9A,Human Complement Factor I,1.9,132,210,19.7
61,2HALA,2AS9A,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.4,132,210,13.6
62,5EU8A,2AS9A,Structure Of Fipv Main Protease In Complex With Dual Inhibitors,2.4,132,210,14.4
63,5DGJA,2AS9A,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,132,210,13.6
64,2H5CA,2AS9A,0.82a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 5,2.1,129,210,14.0
65,4XFQA,2AS9A,Crystal Structure Basis For Pedv 3c Like Protease,2.4,126,210,14.3
66,2OUAA,2AS9A,Crystal Structure Of Nocardiopsis Protease (Napase),2.1,122,210,13.9
67,4ZROA,2AS9A,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.2,121,210,14.0
68,2YOLA,2AS9A,"West Nile Virus Ns2b-ns3 Protease In Complex With 3,4- Dichlorophenylacetyl-lys-lys-gcma",2.4,116,210,20.7
69,5EPNA,2AS9A,Crystal Structure Of Hcv Ns3/4a Protease In Complex With 5172-mcp1p3 (mk-5172 P1-p3 Macrocyclic Analogue),2.6,114,210,11.4
70,1WYKB,2AS9A,Sindbis Virus Capsid Protein (114-264),2.5,112,210,13.4
71,5EQQA,2AS9A,Crystal Structure Of Hcv Ns3/4a Wt Protease In Complex With 5172- Linear (mk-5172 Linear Analogue),2.3,108,210,11.1
72,4INKA,3UFAA,Crystal Structure Of Spld Protease From Staphylococcus Aureus At 1.56 A Resolution,1.3,192,200,46.9
73,2XWBF,3BEUA,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.2,177,224,25.4
74,3CP7A,3WY8A,Crystal Structure Of A Thermostable Serine Protease Al20 From Extremophilic Microoganism,1.1,209,219,52.6
