,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,4MNWA,1ZJDA,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,1.8,227,237,34.4
1,4XSKU,1ZJDA,"Structure Of Paitrap, An Upa Mutant",1.8,226,237,34.1
2,1FIZA,1ZJDA,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.5,224,237,40.6
3,1VZQH,1ZJDA,Complex Of Thrombin With Designed Inhibitor 7165,1.3,223,237,37.7
4,1EAXA,1ZJDA,Crystal Structure Of Mtsp1 (Matriptase),1.1,222,237,41.0
5,4Z6AH,1ZJDA,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.2,222,237,38.7
6,2F91A,1ZJDA,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.3,221,237,42.1
7,2OQ5A,1ZJDA,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.3,219,237,40.2
8,3H7TA,1ZJDA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,219,237,26.0
9,3TVJB,1ZJDA,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.5,219,237,34.2
10,4FXGH,1ZJDA,Complement C4 In Complex With Masp-2,1.4,217,237,33.6
11,5AVDA,1ZJDA,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.3,217,237,37.3
12,1PQ7A,1ZJDA,"Trypsin At 0.8 A, Ph5  BORAX",1.6,215,237,32.6
13,1M9UA,1ZJDA,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.2,214,237,35.0
14,1EQ9A,1ZJDA,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.1,212,237,34.0
15,4AFQA,1ZJDA,Human Chymase - Fynomer Complex,1.9,211,237,32.2
16,2QXIA,1ZJDA,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.4,209,237,34.0
17,3H7OA,1ZJDA,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.3,209,237,27.3
18,3NXPA,1ZJDA,Crystal Structure Of Human Prethrombin-1,2.1,209,237,36.8
19,1AZZA,1ZJDA,Fiddler Crab Collagenase Complexed To Ecotin,1.8,208,237,35.1
20,2XW9A,1ZJDA,Crystal Structure Of Complement Factor D Mutant S183a,1.3,206,237,30.1
21,2HLCA,1ZJDA,Hl Collagenase Structure At 1.7a Resolution,1.8,205,237,34.6
22,4I8HA,1ZJDA,Bovine Trypsin At 0.75 Resolution,1.1,205,237,42.9
23,2AIQA,1ZJDA,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,1.5,204,237,35.8
24,5EDKA,1ZJDA,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),1.6,204,237,37.7
25,3BEUA,1ZJDA,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,1.6,203,237,35.0
26,5EDMA,1ZJDA,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),1.5,203,237,38.4
27,4WVPE,1ZJDA,Crystal Structure Of An Activity-based Probe Hne Complex,1.6,201,237,31.3
28,4A5TS,1ZJDA,Structural Basis For The Conformational Modulation,1.7,198,237,36.4
29,2B9LA,1ZJDA,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.7,194,237,33.0
30,2OLGA,1ZJDA,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,1.8,194,237,35.1
31,1DDJA,1ZJDA,Crystal Structure Of Human Plasminogen Catalytic Domain,1.3,193,237,37.3
32,3F1SB,1ZJDA,Crystal Structure Of Protein Z Complexed With Protein Z- Dependent Inhibitor,2.1,191,237,25.1
33,5HU6C,1ZJDA,Structure Of The T. Brucei Haptoglobin-haemoglobin Receptor Bound To Human Haptolgobin-haemoglobin,1.6,190,237,30.0
34,1WCZA,1ZJDA,Crystal Structure Of An Alkaline Form Of V8 Protease From Staphylococcus Aureus,2.6,186,237,14.5
35,2XRCB,1ZJDA,Human Complement Factor I,2.5,182,237,36.8
36,4LK4A,1ZJDA,Structure Of Vibrio Cholerae Vesb Protease,1.8,182,237,35.2
37,3WY8A,1ZJDA,Crystal Structure Of Protease Anisep From Arthrobacter Nicotinovorans,2.9,176,237,13.6
38,1ARBA,1ZJDA,"The Primary Structure And Structural Characteristics Of Achromobacter Lyticus Protease I, A Lysine-Specific Serine Protease",2.9,173,237,17.9
39,3LGIB,1ZJDA,Structure Of The Protease Domain Of Degs (Degs-Deltapdz) At 1.65 A,3.3,171,237,14.0
40,4FLNA,1ZJDA,Crystal Structure Of Plant Protease Deg2,3.2,166,237,17.5
41,5HM2E,1ZJDA,Crystal Structure Of The 3c Protease From South African Territories Type 2 Foot-and-mouth Disease Virus,3.3,163,237,12.9
42,2J92A,1ZJDA,3c Protease From Type A10(61) Foot-And-Mouth Disease Virus- Crystal Packing Mutant (K51q),3.2,162,237,13.0
43,1TE0A,1ZJDA,"Structural Analysis Of Degs, A Stress Sensor Of The Bacterial Periplasm",2.8,161,237,16.1
44,1ZYOA,1ZJDA,Crystal Structure Of The Serine Protease Domain Of Sesbania Mosaic Virus Polyprotein,2.8,160,237,17.5
45,1P3CA,1ZJDA,Glutamyl Endopeptidase From Bacillus Intermedius,2.0,151,237,19.2
46,5HMAA,1ZJDA,Crystal Structure Of Mamo Protease Domain From Magnetospirillum Magneticum (ni Bound Form),2.6,150,237,20.0
47,3K6YA,1ZJDA,"Crystal Structure Of Rv3671c Protease From M. Tuberculosis, Active Form",2.3,148,237,20.9
48,1AGJA,1ZJDA,Epidermolytic Toxin A From Staphylococcus Aureus,2.1,146,237,17.8
49,1LVMA,1ZJDA,Catalytically Active Tobacco Etch Virus Protease Complexed With Product,3.0,145,237,18.6
50,3UFAA,1ZJDA,Crystal Structure Of The Staphylococcal Serine Protease Spla In Complex With A Specific Phosphonate Inhibitor,1.7,145,237,17.2
51,4RI0A,1ZJDA,"Serine Protease Htra3, Mutationally Inactivated",2.4,142,237,18.3
52,2OUAA,1ZJDA,Crystal Structure Of Nocardiopsis Protease (Napase),2.9,140,237,18.6
53,1L1JA,1ZJDA,Crystal Structure Of The Protease Domain Of An Atp- Independent Heat Shock Protease Htra,2.3,139,237,20.9
54,2Z9IA,1ZJDA,Crystal Structure Of Rv0983 From Mycobacterium Tuberculosis- Proteolytically Active Form,2.0,139,237,20.1
55,5BPEA,1ZJDA,Crystal Structure Of Ev71 3cpro In Complex With A Potent And Selective Inhibitor,2.6,139,237,18.0
56,2W5EA,1ZJDA,Structural And Biochemical Analysis Of Human Pathogenic Astrovirus Serine Protease At 2.0 Angstrom Resolution,2.5,137,237,16.1
57,4WMEA,1ZJDA,Crystal Structure Of Catalytically Inactive Mers-cov 3cl Protease (c148a) In Spacegroup C2,2.6,137,237,8.0
58,2QA9E,1ZJDA,Crystal Structure Of The Second Tetrahedral Intermediates Of Sgpb At Ph 4.2,2.6,134,237,20.1
59,2XYAA,1ZJDA,Non-Covalent Inhibtors Of Rhinovirus 3c Protease,2.7,134,237,18.7
60,2HALA,1ZJDA,An Episulfide Cation (Thiiranium Ring) Trapped In The Active Site Of Hav 3c Proteinase Inactivated By Peptide-Based Ketone Inhibitors,2.7,130,237,16.2
61,1SSXA,1ZJDA,0.83a Resolution Crystal Structure Of Alpha-Lytic Protease At Ph 8,2.4,129,237,16.3
62,4ZROC,1ZJDA,2.1 A X-ray Structure Of Fipv-3clpro Bound To Covalent Inhibitor,2.1,128,237,11.7
63,4X2VB,1ZJDA,Crystal Structure Of The Murine Norovirus Ns6 Protease (inactive C139a Mutant) With A C-terminal Extension To Include Residue P1 Prime Of Ns7,2.7,127,237,12.6
64,5DGJA,1ZJDA,"1.0a Resolution Structure Of Norovirus 3cl Protease In Complex An Oxadiazole-based, Cell Permeable Macrocyclic (20-mer) Inhibitor",2.7,122,237,16.4
65,2GGVB,1ZJDA,"Crystal Structure Of The West Nile Virus Ns2b-Ns3 Protease, His51ala Mutant",2.5,120,237,10.8
66,4JCNA,4MNWA,"Structure Of Esp, Serine Protease From Staphylococcus Epidermidis",2.6,194,245,14.4
67,1FIWA,1FIZA,Three-Dimensional Structure Of Beta-Acrosin From Ram Spermatozoa,0.9,260,263,81.5
68,2BZ6H,1VZQH,Orally Available Factor7a Inhibitor,1.6,234,250,35.9
69,4CR9A,1EAXA,Creating Novel F1 Inhibitors Through Fragment Based Lead Generation And Structure Aided Drug Design,1.2,225,241,40.4
70,2XWBF,4Z6AH,Crystal Structure Of Complement C3b In Complex With Factors B And D,2.3,205,249,22.4
71,1YM0A,2F91A,"Crystal Structure Of Earthworm Fibrinolytic Enzyme Component B: A Novel, Glycosylated Two-Chained Trypsin",1.5,231,237,42.0
72,3BN9A,2OQ5A,Crystal Structure Of Mt-Sp1 In Complex With Fab Inhibitor E2,1.1,227,232,48.5
73,3GOVB,3TVJB,Crystal Structure Of The Catalytic Region Of Human Masp-1,1.2,222,242,36.9
