,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,1N1TA,1SO7A,Trypanosoma Rangeli Sialidase In Complex With Dana At 1.6 A,2.7,320,382,17.2
1,3SILA,1SO7A,Sialidase From Salmonella Typhimurium,3.0,320,382,20.0
2,5HX0A,1SO7A,Crystal Structure Of Unknown Function Protein Dfer_1899 Fromdyadobacter Fermentans Dsm 18053,2.9,320,382,13.4
3,1KITA,1SO7A,Vibrio Cholerae Neuraminidase,2.3,317,382,21.1
4,3H72B,1SO7A,Crystal Structure Of Streptococcus Pneumoniae D39 Neuraminidase A Precursor (Nana) In Complex With Nana,1.9,317,382,24.3
5,1V3EA,1SO7A,Structure Of The Hemagglutinin-Neuraminidase From Human Parainfluenza Virus Type Iii: Complex With Zanamavir,4.2,316,382,6.6
6,4MZAB,1SO7A,Crystal Structure Of Hpiv3 Hemagglutinin-neuraminidase,4.2,316,382,6.6
7,1W8OA,1SO7A,Contribution Of The Active Site Aspartic Acid To Catalysis In The Bacterial Neuraminidase From Micromonospora Viridifaciens,1.8,312,382,27.9
8,4FJ6D,1SO7A,"Crystal Structure Of A Glycoside Hydrolase Family 33, Candidate Sialidase (Bdi_2946) From Parabacteroides Distasonis Atcc 8503 At 1.90 A Resolution",2.3,312,382,26.3
9,4AMFA,1SO7A,Pseudomonas Fluorescens Phox In Complex With The Substrate Analogue Appcp,4.2,309,382,8.4
10,4WJKA,1SO7A,Metal Ion And Ligand Binding Of Integrin,4.7,307,382,5.9
11,2W5NA,1SO7A,Native Structure Of The Gh93 Alpha-L-Arabinofuranosidase Of Fusarium Graminearum,3.2,306,382,10.5
12,4Z7QA,1SO7A,Integrin Alphaiibbeta3 In Complex With Agdv-nh2 Peptide,4.8,306,382,7.5
13,4Z7NA,1SO7A,Integrin Alphaiibbeta3 In Complex With Agdv Peptide,4.7,304,382,9.2
14,2W38A,1SO7A,Crystal Structure Of The Pseudaminidase From Pseudomonas Aeruginosa,3.4,303,382,14.5
15,2XZJA,1SO7A,The Aspergillus Fumigatus Sialidase Is A Kdnase: Structural And Mechanistic Insights,2.3,301,382,25.6
16,2SLIA,1SO7A,"Leech Intramolecular Trans-Sialidase Complexed With 2,7- Anhydro-Neu5ac, The Reaction Product",2.2,300,382,21.3
17,4XMIA,1SO7A,Crystal Structure Of The K499g Mutant Of Nanb Sialidase From Streptococcus Pneumoniae,2.4,299,382,17.7
18,4XYXA,1SO7A,Nanb Plus Optactamide,2.4,299,382,17.7
19,4XJWA,1SO7A,Crystal Structure Of The Nanb Sialidase From Streptococcus Pneumoniae In Complex With Optactin At Ph 7.4 In Pbs With Dmso As The Cryoprotectant,2.3,298,382,17.8
20,4XOGA,1SO7A,Crystal Structure Of The Nanb Sialidase From Streptococcus Pneumoniae In Complex With Optactin And Dana,2.3,298,382,17.4
21,5A10A,1SO7A,"The Crystal Structure Of Ta-tfp, A Thiocyanate-forming Protein Involved In Glucosinolate Breakdown (space Group C2)",4.6,296,382,6.4
22,3JU4A,1SO7A,Crystal Structure Analysis Of Endosialidasenf At 0.98 A Resolution,3.3,291,382,7.6
23,2P9WA,1SO7A,Crystal Structure Of The Major Malassezia Sympodialis Allergen Mala S 1,4.1,290,382,6.9
24,1H6LA,1SO7A,Beta-Propeller Phytase In Complex With Phosphate And Calcium Ions,3.9,287,382,8.4
25,1JOFC,1SO7A,"Neurospora Crassa 3-Carboxy-Cis,Cis-Mucoante Lactonizing Enzyme",4.4,287,382,4.9
26,4FTDA,1SO7A,Crystal Structure Of A Hypothetical Protein (Bacegg_03550) From Bacteroides Eggerthii Dsm 20697 At 1.91 A Resolution,3.9,285,382,8.1
27,4C1YB,1SO7A,Crystal Structure Of Fucose Binding Lectin From Aspergillus Fumigatus (afl) In Complex With B-methylfucoside,3.7,284,382,6.3
28,3Q6KB,1SO7A,Salivary Protein From Lutzomyia Longipalpis,4.0,280,382,5.4
29,3FVZA,1SO7A,Structure Of Peptidyl-Alpha-Hydroxyglycine Alpha-Amidating Lyase (Pal),4.5,277,382,10.8
30,1F8DA,1SO7A,"Native Influenza Neuraminidase In Complex With 9-Amino-2- Deoxy-2,3-Dehydro-N-Neuraminic Acid",3.9,276,382,10.1
31,2WFTA,1SO7A,Crystal Structure Of The Human Hip Ectodomain,3.9,276,382,6.2
32,3K6SA,1SO7A,Structure Of Integrin Alphaxbeta2 Ectodomain,4.4,273,382,6.6
33,3S9JA,1SO7A,Crystal Structure Of A Member Of Duf4221 Family (Bvu_1028) From Bacteroides Vulgatus At 1.75 A Resolution,4.7,271,382,7.4
34,2UVKB,1SO7A,Structure Of Yjht,3.7,270,382,8.1
35,2ZWAB,1SO7A,Crystal Structure Of Trna Wybutosine Synthesizing Enzyme Tyw4,4.2,270,382,5.9
36,4WWXY,1SO7A,Crystal Structure Of The Core Rag1/2 Recombinase,4.8,270,382,6.7
37,5E6SE,1SO7A,"Structures Of Leukocyte Integrin Alb2: The Ai Domain, The Headpiece, And The Pocket For The Internal Ligand",3.9,270,382,10.7
38,1YFQA,1SO7A,High Resolution S. Cerevisiae Bub3 Mitotic Checkpoint Protein,3.9,269,382,7.1
39,2G8SA,1SO7A,Crystal Structure Of The Soluble Aldose Sugar Dehydrogenase (Asd) From Escherichia Coli In The Apo-Form,3.7,268,382,10.1
40,4IRTA,1SO7A,Crystal Structure Of A Hypothetical Protein (bacova_03493) From Bacteroides Ovatus Atcc 8483 At 1.74 A Resolution,4.1,268,382,8.6
41,2IAVA,1SO7A,Crystal Structure Of Squid Ganglion Dfpase H287a Mutant,3.2,267,382,8.2
42,3NVNB,1SO7A,Molecular Mechanism Of Guidance Cue Recognition,4.7,267,382,9.7
43,3OM4A,1SO7A,Crystal Structure Of B. Megaterium Levansucrase Mutant K373a,4.7,265,382,8.7
44,3OKTA,1SO7A,"Mouse Plexin A2, Extracellular Domains 1-4",4.4,264,382,6.4
45,3IIYA,1SO7A,Crystal Structure Of Eed In Complex With A Trimethylated Histone H1k26 Peptide,4.3,263,382,7.2
46,4GDIA,1SO7A,A Subtype N10 Neuraminidase-Like Protein Of ALITTLE YELLOW-Shouldered BatGUATEMALA1642009,4.2,263,382,7.6
47,1Q7FB,1SO7A,Brain Tumor Nhl Domain,3.6,262,382,5.3
48,2P4OA,1SO7A,Crystal Structure Of Hypothetical Protein (Zp_00111901.1) From Nostoc Punctiforme Pcc 73102 At 1.90 A Resolution,3.3,262,382,5.7
49,3DASA,1SO7A,Structure Of The Pqq-Bound Form Of Aldose Sugar Dehydrogenase (Adh) From Streptomyces Coelicolor,3.7,262,382,8.4
50,4ZLRB,1SO7A,Structure Of The Brat-nhl Domain Bound To Consensus Rna Motif,3.7,261,382,4.6
51,1VKDA,1SO7A,Crystal Structure Of Hypothetical Protein (Tm1225) From Thermotoga Maritima At 2.10 A Resolution,4.1,260,382,8.1
52,2ECEA,1SO7A,"X-Ray Structure Of Hypothetical Selenium-Binding Protein From Sulfolobus Tokodaii, St0059",4.5,259,382,6.9
53,4IYGA,1SO7A,Structure Of Strictosidine Synthase In Complex With 2-(1h-indol-3-yl)- N-methylethanamine,3.5,259,382,6.9
54,2DSOC,1SO7A,"Crystal Structure Of D138n Mutant Of Drp35, A 35kda Drug Responsive Protein From Staphylococcus Aureus",3.1,258,382,6.6
55,3OW8D,1SO7A,Crystal Structure Of The Wd Repeat-Containing Protein 61,3.8,258,382,2.7
56,5EX7A,1SO7A,Crystal Structure Of Brat Nhl Domain In Complex With An 8-nt Hunchback Mrna,3.6,258,382,5.8
57,3ACPA,1SO7A,"Crystal Structure Of Yeast Rpn14, A Chaperone Of The 19s Regulatory Particle Of The Proteasome",3.9,257,382,6.2
58,5C2VB,1SO7A,Kuenenia Stuttgartiensis Hydrazine Synthase,3.7,257,382,6.2
59,3BWSB,1SO7A,Crystal Structure Of The Leptospiral Antigen Lp49,4.1,256,382,3.5
60,4H5JB,1SO7A,Crystal Structure Of The Guanine Nucleotide Exchange Factor Sec12 (P64 Form),4.1,256,382,6.2
61,4LG8A,1SO7A,Crystal Structure Of Prpf19 Wd40 Repeats,4.2,256,382,8.2
62,4P07A,1SO7A,Bacterial Aryl Sulfotransferase (asst) Soaked With Human Urine,3.8,256,382,6.6
63,4OZUA,1SO7A,Crystal Structure Of Wd40 Domain From Toxoplasma Gondii Coronin,4.5,256,382,4.7
64,4WJSA,1SO7A,Crystal Structure Of Rsa4 From Chaetomium Thermophilum,5.0,256,382,7.4
65,2B5NB,1SO7A,Crystal Structure Of The Ddb1 Bpb Domain,4.6,255,382,7.8
66,2YNOA,1SO7A,Yeast Betaprime Cop 1-304h6,4.1,255,382,4.7
67,4U7AA,1SO7A,The Carboxy-terminal Domain Of Erb1 Is A Seven-bladed Beta-propeller That Binds Rna,4.1,255,382,4.3
68,2PBID,1SO7A,The Multifunctional Nature Of Gbeta5RGS9 REVEALED FROM ITS Crystal Structure,3.8,254,382,7.1
69,4CZVA,1SO7A,Structure Of The Neurospora Crassa Pan2 Wd40 Domain,4.3,253,382,4.3
70,1SQ9A,1SO7A,"Structure Of Ski8p, A Wd Repeat Protein Involved In Mrna Degradation And Meiotic Recombination",3.9,252,382,8.3
71,3ZWLD,1SO7A,Structure Of Eukaryotic Translation Initiation Factor Eif3i Complex With Eif3b C-Terminus (655-700),3.8,252,382,4.4
72,3W15A,1SO7A,Structure Of Peroxisomal Targeting Signal 2 (pts2) Of Saccharomyces Cerevisiae 3-ketoacyl-coa Thiolase In Complex With Pex7p And Pex21p,3.9,252,382,6.0
