,name,seed_protein,description,rmsd,aligned_residue,seed_protein_total_residues,sequence_id
0,5AVDA,1PYTC,The 0.86 Angstrom Structure Of Elastase Crystallized In High-strength Agarose Hydrogel,1.0,231,253,53.7
1,4MNWA,1PYTC,Crystal Structure Of Urokinase-type Plasminogen Activator (upa) Complexed With Bicyclic Peptide Uk749,2.0,228,253,30.7
2,5EDMA,1PYTC,Crystal Structure Of Prothrombin Deletion Mutant Residues 154-167 ( Form I ),2.2,228,253,30.3
3,1VZQH,1PYTC,Complex Of Thrombin With Designed Inhibitor 7165,2.1,227,253,30.0
4,4XSKU,1PYTC,"Structure Of Paitrap, An Upa Mutant",1.9,226,253,30.5
5,5EDKA,1PYTC,Crystal Structure Of Prothrombin Deletion Mutant Residues 146-167 ( Form Ii ),2.4,225,253,30.7
6,1FIZA,1PYTC,Three Dimensional Structure Of Beta-Acrosin From Boar Spermatozoa,1.7,221,253,33.0
7,3NXPA,1PYTC,Crystal Structure Of Human Prethrombin-1,2.1,221,253,30.8
8,2F91A,1PYTC,"1.2a Resolution Structure Of A Crayfish Trypsin Complexed With A Peptide Inhibitor, Sgti",1.7,220,253,36.4
9,2OQ5A,1PYTC,"Crystal Structure Of Desc1, A New Member Of The Type Ii Transmembrane Serine Proteinases Family",1.9,219,253,27.9
10,2OLGA,1PYTC,Crystal Structure Of The Serine Protease Domain Of Prophenoloxidase Activating Factor-I In A Zymogen Form,2.0,218,253,31.7
11,1EAXA,1PYTC,Crystal Structure Of Mtsp1 (Matriptase),1.5,217,253,34.6
12,4Z6AH,1PYTC,Crystal Structure Of A Fviia-trypsin Chimera (yt) In Complex With Soluble Tissue Factor,1.7,217,253,31.8
13,1AZZA,1PYTC,Fiddler Crab Collagenase Complexed To Ecotin,1.7,213,253,32.9
14,4A5TS,1PYTC,Structural Basis For The Conformational Modulation,1.8,213,253,41.8
15,1M9UA,1PYTC,Crystal Structure Of Earthworm Fibrinolytic Enzyme Component A From Eisenia Fetida,1.8,212,253,34.9
16,2XW9A,1PYTC,Crystal Structure Of Complement Factor D Mutant S183a,1.2,212,253,31.6
17,4I8HA,1PYTC,Bovine Trypsin At 0.75 Resolution,1.5,212,253,39.6
18,1DDJA,1PYTC,Crystal Structure Of Human Plasminogen Catalytic Domain,1.6,211,253,41.7
19,1PQ7A,1PYTC,"Trypsin At 0.8 A, Ph5  BORAX",1.8,211,253,27.0
20,3H7TA,1PYTC,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-D1 (Smipp-S-D1),2.4,211,253,21.8
21,3TVJB,1PYTC,Catalytic Fragment Of Masp-2 In Complex With Its Specific Inhibitor Developed By Directed Evolution On Sgci Scaffold,1.8,211,253,28.4
22,4FXGH,1PYTC,Complement C4 In Complex With Masp-2,1.9,211,253,28.0
23,2QXIA,1PYTC,High Resolution Structure Of Human Kallikrein 7 In Complex With Suc-Ala-Ala-Pro-Phe-Chloromethylketone,1.5,210,253,31.9
24,3BEUA,1PYTC,Na+-Dependent Allostery Mediates Coagulation Factor Protease Active Site Selectivity,2.1,209,253,28.2
25,4AFQA,1PYTC,Human Chymase - Fynomer Complex,1.9,209,253,32.5
26,2HLCA,1PYTC,Hl Collagenase Structure At 1.7a Resolution,2.1,207,253,27.5
27,1EQ9A,1PYTC,Crystal Structure Of Fire Ant Chymotrypsin Complexed To Pmsf,1.8,207,253,33.3
28,2AIQA,1PYTC,Crystal Structure Of Benzamidine-Inhibited Protein C Activator From The Venom Of Copperhead Snake Agkistrodon Contortrix Contortrix,2.0,207,253,28.5
29,2B9LA,1PYTC,Crystal Structure Of Prophenoloxidase Activating Factor-Ii From The Beetle Holotrichia Diomphalia,1.6,206,253,31.6
30,4WVPE,1PYTC,Crystal Structure Of An Activity-based Probe Hne Complex,1.8,204,253,35.3
31,3H7OA,1PYTC,Crystal Structure Of Scabies Mite Inactivated Protease Paralogue S-I1 (Smipp-S-I1),2.2,201,253,26.4
